,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
97,"internal-pdf://1374344039/The Daily Journal, April 22, 1903.pdf",,,23-Apr-03,The Daily Journal,Menu included. Also mentioned on April 20.,Leslie M. E. Church,"Salem, Oregon",5949, Newspaper Article,,Ladies’ Aid Society,Ladies’ Aid Society,21-Apr-03,,LOC Conundrum Supper
98,"internal-pdf://3386519673/The daily morning journal and courier, Februar.pdf",,,"February 21, 1898",The daily morning journal and courier,Contains eBOF,St. James’ Church,"Fair Haven, Connecticut",6050, Newspaper Article,,Young People’s Social chapter of St. James’ church,Young People’s Social chapter of St. James’ church,"February 21, 1898",,LOC Conundrum Supper
99,"internal-pdf://1244316433/The daily morning journal and courier, Februar.pdf",,,"February 01, 1897",The daily morning journal and courier,Same event is referenced in the issue from January 28,Linsley’s hall,"North Haven, Connecticut",6048, Newspaper Article,,Mizpah circle of the King’s Daughters of the Congregational church,Mizpah circle of the King’s Daughters of the Congregational church,"February 25, 1897",,LOC Conundrum Supper
100,"internal-pdf://1911165189/The daily morning journal and courier, March 1.pdf",,,11-Mar-01,The daily morning journal and courier,Contains eBOF; Same event is referenced in the issues from March 13 and March 14,Chapel,"Fair Haven, Connecticut",6044, Newspaper Article,,Men of the Grand avenue Baptist church,Men of the Grand avenue Baptist church,13-Mar-01,,LOC Conundrum Supper
101,"internal-pdf://3287385118/The daily morning journal and courier, Novembe.pdf",,,"November 23, 1898",The daily morning journal and courier,,Charter Oak lodge No. 188 N.E.O.P.,"New Haven, Connecticut",6049, Newspaper Article,,Charter Oak lodge,Charter Oak lodge,"November 22, 1898",,LOC Conundrum Supper
102,"internal-pdf://1960709855/The daily morning journal and courier, October.pdf",,,"October 15, 1895",The daily morning journal and courier,,Epworth M.E. church,"New Haven, Connecticut",6047, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,"October 16, 1895",,LOC Conundrum Supper
103,"internal-pdf://2351586395/Daily Press, February 02, 1909.pdf",,,2-Feb-09,Daily Press,,First Methodist Church,"Newport, Virginia",6385, Newspaper Article,,N/A,N/A,2-Feb-09,,LOC Conundrum Supper
104,"internal-pdf://0655495364/Dakota County herald, March 12, 1909.pdf",,,12-Mar-09,Dakota County herald,Same event is referenced in the issue from March 19; event was postponed to a later date,N/A,"Dakota City, Nebraska",6307, Newspaper Article,,Epworth league,Epworth league,19-Mar-09,,LOC Conundrum Supper
105,"internal-pdf://4269716693/Dakota Farmers’ Leader, March 27, 1896.pdf",,,"March 27, 1896",Dakota Farmers’ Leader,,M.E. Church,"Canton, South Dakota",5984, Newspaper Article,,Ladies of the M.E. Aid Society,Ladies of the M.E. Aid Society,"April 01, 1896",,LOC Conundrum Supper
106,"internal-pdf://0613058580/Dakota Farmers’ Leader, April 09, 1909.pdf",,,9-Apr-09,Dakota Farmers’ Leader,,N/A,"Canton, South Dakota",5983, Newspaper Article,,Philatheas,Philatheas,2-Apr-09,,LOC Conundrum Supper
107,"internal-pdf://2855384617/The DeLand weekly news, October 26, 1906.pdf",,,26-Oct-06,The DeLand weekly news,,Residence of Mr. and Mrs. S.B. Wilson,"DeLand, Florida",6072, Newspaper Article,,Epworth League of the M.E. church south,Epworth League of the M.E. church south,1-Nov-06,,LOC Conundrum Supper
108,"internal-pdf://1364090032/Deming graphic, February 18, 1910.pdf",,,18-Feb-10,Deming graphic,Contains eBOF; same event is referenced in the issue from February 11,Basement of the new Christian church,"Deming, New Mexico",6403, Newspaper Article,,Young people,Young people,14-Feb-10,,LOC Conundrum Supper
109,"internal-pdf://1869470119/The Democratic advocate, February 18, 1893.pdf",,,"February 18, 1893",The Democratic advocate,,Horner’s hall,"Finksburg, Maryland",6228, Newspaper Article,,Ladies’ Aid society of Mt. Zion,Ladies’ Aid society of Mt. Zion,"February 23, 1893 AND February 25, 1893",,LOC Conundrum Supper
110,"internal-pdf://3422857386/The Democratic advocate, March 21, 1896.pdf",,,"March 21, 1896",The Democratic advocate,,Rooms formerly occupied by MRs. Mary Wilson (near the railroad),"Wastminster, Maryland",6229, Newspaper Article,,Ladies of Grace Lutheran Church,Ladies of Grace Lutheran Church,"March 25, 1896 AND March 26, 1896 AND March 27, 1896 AND March 28, 1896",,LOC Conundrum Supper
111,"internal-pdf://1911165188/The Democratic advocate, October 10, 1913.pdf",,,10-Oct-13,The Democratic advocate,,Residence of Mr. Milton Yingling (near this city),"Westminster, Maryland",6227, Newspaper Article,,Sunday school of St. Benjamin’s Lutheran Church,Sunday school of St. Benjamin’s Lutheran Church,16-Oct-13,,LOC Conundrum Supper
112,"internal-pdf://1960709854/Democratic messenger, January 18, 1913.pdf",,,18-Jan-13,Democratic messenger,,Mason’s Palace of Sweets,"Snow Hill, Maryland",6230, Newspaper Article,,Young Ladies of the Junior Aid society of the Presbyterian Church,Young Ladies of the Junior Aid society of the Presbyterian Church,23-Jan-13,,LOC Conundrum Supper
113,"internal-pdf://3516616713/Democratic Northwest and Henry County News, Ma.pdf",,,"March 25, 1897",Democratic Northwest and Henry County News,The Staff. What the Street Cars do on the Switch. Sea Nymphs Embellished. Paddy’s Last Resort. I am Sour by You Like Me. I Settle Above Ground. Boston Overthrow. Sahara. Sliced Sweetness. Seed Wrappers. Spring Offerings.,G.A.R. Hall,"Napoleon, Ohio",5939, Newspaper Article,,Choate Womens’ Relief Corps,Choate Womens’ Relief Corps,"April 01, 1897",,LOC Conundrum Supper
114,"internal-pdf://0628175007/Democratic Northwest and Henry County News, Ap.pdf",,,"April 01, 1897",Democratic Northwest and Henry County News,,Residence of Mrs. M.E. Loose,"Napoleon, Ohio",5940, Newspaper Article,,Ladies of Presybyterian Churvh,Ladies of Presybyterian Churvh,"April 07, 1897",,LOC Conundrum Supper
115,"internal-pdf://3516616710/The Denison review, August 21, 1900.pdf",,,21-Aug-00,The Denison review,,Residence of Rev. Allen,"Manilla, Iowa",6194, Newspaper Article,,Epworth league,Epworth league,27-Aug-00,,LOC Conundrum Supper
116,"internal-pdf://2901955280/Deseret Evening News, November 11, 1902.pdf",,,11-Nov-02,Deseret Evening News,,N/A,"Great Salt Lake City, Utah",5998, Newspaper Article,,Miss Jennie Mitchell,Miss Jennie Mitchell,5-Nov-02,,LOC Conundrum Supper
117,"internal-pdf://1858721858/Deseret Evening News, November 01, 1907.pdf",,,1-Nov-07,Deseret Evening News,,Lecture room of the church,"Salt Lake City, Utah",6097, Newspaper Article,,Ladies’ Aid society of the Westminister Presbyterian Church,Ladies’ Aid society of the Westminister Presbyterian Church,31-Oct-07,,LOC Conundrum Supper
118,"internal-pdf://4172670833/The Detroit times, March 10, 1916.pdf",,,10-Mar-16,The Detroit times,,G.A.R. hall,"Detroit, Michigan",6259, Newspaper Article,,Daughters of Veterans,Daughters of Veterans,16-Mar-16,,LOC Conundrum Supper
119,"internal-pdf://0216220853/The Dickinson press, February 13, 1892.pdf",,,"February 13, 1892",The Dickinson press,Contains eBOF,"Lawrence building, on Villard street","Dickinson, North Dakota",6417, Newspaper Article,,Ladies of the Episcopal church,Ladies of the Episcopal church,"February 18, 1892",,LOC Conundrum Supper
120,"internal-pdf://3390474063/The Eddy current, April 22, 1899.pdf",,,"April 22, 1899",The Eddy current,Same event is referenced in the issue from April 29,City hall,"Eddy, New Mexico",6404, Newspaper Article,,Ladies of the M.E. church,Ladies of the M.E. church,"April 27, 1899",,LOC Conundrum Supper
121,"internal-pdf://0304089168/The Enterprise, December 07, 1892.pdf",,,"December 07, 1892",The Enterprise,,Town Hall,"Wellington, Ohio",5935, Newspaper Article,,The Ladies of the Congretional Church,The Ladies of the Congretional Church,"December 03, 1892",,LOC Conundrum Supper
122,"internal-pdf://2044897758/The Enterprise, June 03, 1891.pdf",,,"June 03, 1891",The Enterprise,,M.E. Parsonage,"Wellington, Ohio",5934, Newspaper Article,,N/A,N/A,"May 30, 1891",,LOC Conundrum Supper
123,"internal-pdf://3172686005/The Enterprise, September 23, 1896.pdf",,,"September 23, 1896",The Enterprise,Woman’s weapon,Home of Mr and Mrs W. J. Krebs,"Wellington, Ohio",5933, Newspaper Article,,The Ladies’ Aid Society of the M. E. Church,The Ladies’ Aid Society of the M. E. Church,"September 16, 1896",,LOC Conundrum Supper
124,"internal-pdf://0719885381/The Entreprise, April 29, 1891.pdf",,,"April 29, 1891",The Entreprise,,Basement of the church,"Columbus, Ohio",5932, Newspaper Article,,Ladies of the Baptist Aid Society,Ladies of the Baptist Aid Society,"April 24, 1891",,LOC Conundrum Supper
125,"internal-pdf://1402961680/Essex County Herald, August 14, 1902.pdf",,,15-Aug-02,Essex County Herald,,Vestry,"Guildhall, Vermont",6126, Newspaper Article,,Young Ladies of the Universalist Society,Young Ladies of the Universalist Society,14-Aug-02,,LOC Conundrum Supper
126,"internal-pdf://3651368884/Essex County Herald, December 22, 1893.pdf",,,"December 22, 1893",Essex County Herald,,N/A,"Guildhall, Vermont",6123, Newspaper Article,,Cobweb Club,Cobweb Club,"December 20, 1893",,LOC Conundrum Supper
127,"internal-pdf://0655495365/Essex County Herald, February 02, 1894.pdf",,,"February 02, 1894",Essex County Herald,,M.E. Church,"Guildhall, Vermont",6124, Newspaper Article,,Ladies of the M.E. Church,Ladies of the M.E. Church,"January 26, 1894",,LOC Conundrum Supper
128,"internal-pdf://0337453824/Essex County Herald, June 11, 1897.pdf",,,"June 11, 1897",Essex County Herald,,Congregational parsonage,"Guildhall, Vermont",6127, Newspaper Article,,Ladies Aid Society,Ladies Aid Society,"June 08, 1897",,LOC Conundrum Supper
129,"internal-pdf://2283978989/Essex County Herald, October 01, 1897.pdf",,,"October 01, 1897",Essex County Herald,,N/A,"Guildhall, Vermont",6122, Newspaper Article,,Ladies of the Reading Circle,Ladies of the Reading Circle,"October 01, 1897",,LOC Conundrum Supper
130,"internal-pdf://0389040741/Essex County Herald, October 13, 1916.pdf",,,13-Oct-16,Essex County Herald,,Town hall,"Guildhall, Vermnont",6125, Newspaper Article,,M.E. Church Ladies’ Aid society,M.E. Church Ladies’ Aid society,6-Oct-16,,LOC Conundrum Supper
131,"internal-pdf://1953443372/Evening bulletin, February 10, 1906.pdf",,,10-Feb-06,Evening bulletin,,Residence of Rev. Mr. Wadman,"Honolulu, Hawaii",6078, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,6-Feb-06,,LOC Conundrum Supper
132,"internal-pdf://1192707554/The Evening Caledonian, November 26, 1918.pdf",,,26-Nov-18,The Evening Caledonian,,Church vestry,"St. Johnsbury, Vermont",6115, Newspaper Article,,N/A,N/A,22-Nov-18,,LOC Conundrum Supper
133,"internal-pdf://3211441676/Evening Capital Journal, February 25, 1892.pdf",,,"February 25, 1892",Evening Capital Journal,,Christian Church,"Salem, Oregon",5960, Newspaper Article,,N/A,N/A,"February 26, 1892",,LOC Conundrum Supper
134,"internal-pdf://2550207931/Evening Capital Journal, January 25, 1893.pdf",,,"January 25, 1893",Evening Capital Journal,Also mentioned January 24.,Presbyterian Church,"Salem, Oregon",5957, Newspaper Article,,N/A,N/A,"January 25, 1893",,LOC Conundrum Supper
135,"internal-pdf://3617318126/Evening Capital Journal,March 26, 1892.pdf",,,"March 26, 1892",Evening Capital Journal,Menu included.,Insurance building,"Salem, Oregon",5961, Newspaper Article,,Ladies of the WRC,Ladies of the WRC,"March 28, 1892",,LOC Conundrum Supper
136,"internal-pdf://0352406215/The Evening Herald, March 18, 1921.pdf",,,18-Mar-21,The Evening Herald,,Home of Mr. And Mrs. HE Wilson,"Klamath Falls, Oregon",5964, Newspaper Article,,Mr And Mrs. HE Wilson,Mr And Mrs. HE Wilson,N/A,,LOC Conundrum Supper
137,"internal-pdf://1590079440/Evening journal, June 05, 1913.pdf",,,5-Jun-13,Evening journal,Contains eBOF,St. Paul’s R.C. Church,"Wilmington, Delaware",6067, Newspaper Article,,N/A,N/A,5-Jun-13,,LOC Conundrum Supper
138,"internal-pdf://3455528522/Evening journal, October 03, 1911.pdf",,,3-Oct-11,Evening journal,"Same event is referenced in the issues from September 19, September 26, October 21, October 24, and probably October 10",Newport,"Newport, Delaware",6066, Newspaper Article,,Delaware Grange,Delaware Grange,21-Oct-11,,LOC Conundrum Supper
139,"internal-pdf://3594751249/Evening journal, September 24, 1900.pdf",,,24-Sep-00,Evening journal,,Gilpin’s Rocks,"Bay View, Delaware",6065, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,26-Sep-00,,LOC Conundrum Supper
140,"internal-pdf://1736491298/The Evening Statesman, February 09, 1907.pdf",,,9-Feb-07,The Evening Stateman,,Residence of J.W. Jones,"Walla Walla, Washington",6426, Newspaper Article,,Birthday party for D.H. Jones and Lydia Schnasse,Birthday party for D.H. Jones and Lydia Schnasse,7-Feb-07,,LOC Conundrum Supper
141,"internal-pdf://0628175004/Evening times-Republican, February 15, 1908.pdf",,,15-Feb-08,Evening times-Republican,,"Residence of Mr. and Mrs. Charles Carroll, 511 West Church street","Marshalltown, Iowa",6195, Newspaper Article,,Young ladies,Young ladies,13-Feb-08,,LOC Conundrum Supper
142,"internal-pdf://3006968062/Evening times-Republican, October 10, 1906.pdf",,,10-Oct-06,Evening times-Republican,Contains eBOF,G.V.A. hall,"Gilman, Iowa",6196, Newspaper Article,,Y.P.S.C.E.,Y.P.S.C.E.,13-Oct-06,,LOC Conundrum Supper
143,"internal-pdf://0146533149/The Fargo forum and daily republican, December.pdf",,,10-Dec-06,The Fargo forum and daily republican,Same event is referenced in the issues from  December 07 and December 08,Stone’s Hall,"Fargo, North Dakota",6420, Newspaper Article,,Feld-Kerch-Ner’s School of Dancing and Deportment,Feld-Kerch-Ner’s School of Dancing and Deportment,10-Dec-06,,LOC Conundrum Supper
144,"internal-pdf://2935172774/The Fargo forum and daily republican, February.pdf",,,11-Feb-04,The Fargo forum and daily republican,"Same event is referenced in the issues from February 17, February 20, February 13, and February 15",Presbyterian church,"Fargo, North Dakota",6419, Newspaper Article,,N/A,N/A,22-Feb-04,,LOC Conundrum Supper
145,"internal-pdf://1498617644/Fergus County argus, May 18, 1904.pdf",,,18-May-04,Fergus County argus,Contains eBOF; same event is referenced twice in the same newspaper as well as in the issue from May 11,N/A,"Lewiston, Montana",6301, Newspaper Article,,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,20-May-04,,LOC Conundrum Supper
146,"internal-pdf://2442186209/The Florence tribune, October 22, 1898.pdf",,,"October 22, 1898",The Florence tribune,,Rooms adjoining the post office on Main street,"Florence, Arizona",6008, Newspaper Article,,Ladies of the W.C.T.U.,Ladies of the W.C.T.U.,"October 25, 1898",,LOC Conundrum Supper
147,"internal-pdf://4172670834/The Florida agriculturist, August 29, 1906.pdf",,,29-Aug-06,The Florida agriculturist,"Not an actual CS, but a resquest for a CS (from the issue from August 22) and response menu (August 29, this one); Contains eBOF",N/A,"DeLand, Florida",6076, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
148,"internal-pdf://0238962596/Fort Pierce news, April 22, 1910.pdf",,,22-Apr-10,Fort Pierce news,Contains eBOF,Residence of Mr. and Mrs. S. P. VanLandingham on Pine street,"Fort Pierce, Florida",6070, Newspaper Article,,Epworth League,Epworth League,26-Apr-10,,LOC Conundrum Supper
149,"internal-pdf://3249819489/Fort Worth Gazette, February 05, 1892pdf.pdf",,,"February 05, 1892",Fort Worth Gazette,Menu included. Also mentioned February 02.,Mulkey Memorial Church,"Fort Worth, Texas",5996, Newspaper Article,,The Ladies Aid Society of the Mulkey Memorial Church,The Ladies Aid Society of the Mulkey Memorial Church,"February 12, 1892",,LOC Conundrum Supper
150,"internal-pdf://1374344038/Franklin's paper the statesman, April 16, 1910.pdf",,,16-Apr-10,Franklin’s paper the statesman,Even is also referenced in the April 23rd issue,N/A,"Denver, Colorado",6022, Newspaper Article,,Thimble Club,Thimble Club,29-Apr-10,,LOC Conundrum Supper
151,"internal-pdf://2365410983/The Free-Lance, March 07, 1905.pdf",,,7-Mar-05,The Free-Lance,,Home of Misses Halsey,"Fredericksburg, Virginia",6384, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
152,"internal-pdf://1129566405/The Globe-republican, October 28, 1897.pdf",,,"October 28, 1897",The Globe-republican,"Same event is referenced in the Hutchinson gazette, October 28, 1897 AND The Chanute times, October 29, 1897",N/A,"Dodge City, Kansas",6198, Newspaper Article,,Daughters of Rebecca at Galena,Daughters of Rebecca at Galena,N/A,,LOC Conundrum Supper
153,"internal-pdf://2426206505/Graham guardian, April 02, 1909.pdf",,,2-Apr-09,Graham guardian,Event is also referenced in the April 9 and April 23 issues,Church opposite the Jones Hotel,"Safford, Arizona",6009, Newspaper Article,,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,6-Apr-09,,LOC Conundrum Supper
154,"internal-pdf://0238962595/Grand Rapids herald, April 28, 1893.pdf",,,"April 28, 1893",Grand Rapids,,"Calvary baptist church, corner South Jonia and Sixth avenue","Grand Rapids, Michigan",6253, Newspaper Article,,Calvary baptist church,Calvary baptist church,"April 28, 1893",,LOC Conundrum Supper
155,"internal-pdf://2706896567/Grand Rapids herald, May 15, 1892.pdf",,,"May 15, 1892",Grand Rapids herald,Contains eBOF,Residence of Dr. and Mrs. C.H. Johnston,"Grand Rapids, Michigan",6252, Newspaper Article,,Mrs. A.B. Coffinberry’s of Grace church,Mrs. A.B. Coffinberry’s of Grace church,"May 12, 1892",,LOC Conundrum Supper
156,"internal-pdf://3456866948/The Grenada sentinel, May 20, 1899.pdf",,,"May 20, 1899",The Grenada sentinel,Same event is referenced in the issue from June 03,Grove of the Baptist church,"Cascilla, Mississippi",6288, Newspaper Article,,N/A,N/A,"May 30, 1899",,LOC Conundrum Supper
157,"internal-pdf://2953234490/The Guthrie Daily Leader, April 28, 1894.pdf",,,"April 28, 1894",The Guthrie Daily Leader,"Mention in 2 other issues, April 26, 27",Presbyterian Church,"Guthrie, Oklahoma",5946, Newspaper Article,,Ladies of the Presbyterian Church,Ladies of the Presbyterian Church,"April 27, 1894",,LOC Conundrum Supper
158,"internal-pdf://2803342344/The Harlowton news, August 05, 1910.pdf",,,5-Aug-10,The Harlowton news,Contains eBOF; same event is referenced in the issue from August 19,M.E. church,"Harlowton, Montana",6299, Newspaper Article,,Ladies Mission Circle of Harlowton,Ladies Mission Circle of Harlowton,12-Aug-10,,LOC Conundrum Supper
159,"internal-pdf://3520709984/Harrisburg Telegraph, February 11, 1915.pdf",,,11-Feb-15,Harrisburg Telegraph,Mentioned February 06.,Home of Mrs. Robert Hawbecker,"Harrisburg, Pennsylvania",5967, Newspaper Article,,Ladies’ Aid society of Camp Hill Methodist Episcopal Church,Ladies’ Aid society of Camp Hill Methodist Episcopal Church,12-Feb-15,,LOC Conundrum Supper
160,"internal-pdf://1704365080/The Hawaiian gazette, November 06, 1917.pdf",,,6-Nov-17,The Hawaiian gazette,,Residence of Mrs. James Barbin,"Honolulu, Hawaii",6077, Newspaper Article,,Mrs. James Barbin of Schofield Barracks,Mrs. James Barbin of Schofield Barracks,1-Nov-17,,LOC Conundrum Supper
161,"internal-pdf://2643543673/The Helena independent, January 20, 1893.pdf",,,"January 20, 1893",The Helena independent,,Lodge and Beanmout’s hall,"Helena, Montana",6297, Newspaper Article,,Ladies of the St. James’ Guild,Ladies of the St. James’ Guild,"January 20, 1893",,LOC Conundrum Supper
162,"internal-pdf://2577737059/The Helena independent, April 26, 1891.pdf",,,"April 26, 1891",The Helena independent,,N/A,"Helena, Montana",6296, Newspaper Article,,Organ fund of St. Peter’s parish,Organ fund of St. Peter’s parish,N/A,,LOC Conundrum Supper
163,"internal-pdf://1734575194/The herald, February 17, 1893.pdf",,,"February 17, 1893",The herald,Contains eBOF; proximity to but not identical event to another CS in an issue on February 25th,N/A,"South Pasadena, California",6014, Newspaper Article,,Young People’s Christian Endeavor society,Young People’s Christian Endeavor society,"February 14, 1893",,LOC Conundrum Supper
164,"internal-pdf://1129566408/The herald, February 25, 1893.pdf",,,"February 25, 1893",The herald,,Y.M.C.A. hall,"Redlands, California",6015, Newspaper Article,,Ladies’ Aid society of the First Presbyterian church,Ladies’ Aid society of the First Presbyterian church,"February 28, 1893",,LOC Conundrum Supper
165,"internal-pdf://4084960727/The herald, July 29, 1898.pdf",,,"July 29, 1898",The herald,Event is also referenced in the issue from July 24,Super room,"Ventura, California",6018, Newspaper Article,,Ladies of the Red Cross society,Ladies of the Red Cross society,"July 27, 1898",,LOC Conundrum Supper
166,"internal-pdf://3289099767/The herald, December 17, 1896.pdf",,,"December 17, 1896",The herald,,"Residence of Mr. Hoch, No. 1961 Lovelace avenue","Los Angeles, California",6020, Newspaper Article,,W.C.T.U. of Los Angeles,W.C.T.U. of Los Angeles,N/A,,LOC Conundrum Supper
167,"internal-pdf://1360613073/Herald and News, December 04, 1902.pdf",,,4-Dec-02,Herald and News,,Vestry,"West Randolph, Vermont",6366, Newspaper Article,,Ladies’ Aid Society of the M.E. Church,Ladies’ Aid Society of the M.E. Church,6-Dec-02,,LOC Conundrum Supper
168,"internal-pdf://2255218361/Herald and News, February 11, 1897.pdf",,,"February 18, 1897",Herald and News,Also mentioned February 11.,N/A,"West Randolph, Vermont",6359, Newspaper Article,,Ladies’ Aid Society,Ladies’ Aid Society,"February 10, 1897",,LOC Conundrum Supper
169,"internal-pdf://2777077262/Herald and News, February 20, 1894.pdf",,,"February 22, 1894",Herald and News,,Church at North Pomfret,"West Randolph, Vermont",6353, Newspaper Article,,N/A,N/A,"February 20, 1894",,LOC Conundrum Supper
170,"internal-pdf://0746349250/Herald and News, February 19, 1903.pdf",,,19-Feb-03,Herald and News,,N/A,"West Randolph, Vermont",6367, Newspaper Article,,The Universalists,The Universalists,21-Feb-03,,LOC Conundrum Supper
171,"internal-pdf://1464415775/Herald and News, March 04, 1897.pdf",,,"March 04, 1897",Herald and News,,Parsonage,"West Randolph, Vermont",6360, Newspaper Article,,N/A,N/A,"March 05, 1897",,LOC Conundrum Supper
172,"internal-pdf://2299003582/Herald and News, March 15, 1906.pdf",,,15-Mar-06,Herald and News,,E.L. Marshall’s,"West Randolph, Vermont",6352, Newspaper Article,,King’s Daughters and Sons and Ladies’ Aid Society,King’s Daughters and Sons and Ladies’ Aid Society,16-Mar-06,,LOC Conundrum Supper
173,"internal-pdf://3397856309/Herald and News, March 21, 1895.pdf",,,"March 21, 1895",Herald and News,,Town Hall,"West Randolph, Vermont",6364, Newspaper Article,,Young ladies,Young ladies,"March 19, 1895",,LOC Conundrum Supper
174,"internal-pdf://2725204768/Herald and News, April 04, 1901.pdf",,,4-Apr-01,Herald and News,,N/A,"West Randolph, Vermont",6369, Newspaper Article,,N/A,N/A,28-Mar-01,,LOC Conundrum Supper
175,"internal-pdf://2807122654/Herald and News, November 15, 1900.pdf",,,15-Nov-00,Herald and News,,N/A,"West Randolph, Vermont",6368, Newspaper Article,,N/A,N/A,N/A,,LOC Conundrum Supper
176,"internal-pdf://2851033901/Herald and News, November 03, 1892.pdf",,,"November 03, 1892",Herald and News,Also mentioned November 11.,Congregational church hall,"West Randolph, Vermont",6358, Newspaper Article,,N/A,N/A,"November 04, 1892",,LOC Conundrum Supper
177,"internal-pdf://0639806732/Herald and News, October 07, 1897.pdf",,,"October 07, 1897",Herald and News,,N/A,"West Randolph, Vermont",6361, Newspaper Article,,Sewing and Mite Society,Sewing and Mite Society,"October 15, 1897",,LOC Conundrum Supper
178,"internal-pdf://2262243883/Herald and News, October 28, 1897.pdf",,,"October 21, 1897",Herald and News,Also mentioned on 28 October.,Barrett Memorial Hall,"West Randolph, Vermont",6362, Newspaper Article,,Baptist Ladies,Baptist Ladies,"October 28, 1897",,LOC Conundrum Supper
179,"internal-pdf://1392740049/Herald and News, January 18, 1906.pdf",,18-Jan-06,,Herald and News.,,Cashing’s Hall,"West Randolph, Vermont",6351, Newspaper Article,,Bethen Cornet Band,Bethen Cornet Band,24-Jan-06,,LOC Conundrum Supper
180,"internal-pdf://0932522763/Herald and Tribune, September 23, 1896.pdf",,,"September 23, 1896",Herald and Tribune,,Residence of Dr. Whitlock,"Jonesborough, Tennessee",5993, Newspaper Article,,Young Ladies of the Baptist Church,Young Ladies of the Baptist Church,"September 24, 1896",,LOC Conundrum Supper
181,"internal-pdf://2501878586/The Herald-Advance, May 06, 1892.pdf",,,"May 06, 1892",The Herald-Advance,Menu included,Lender building,"Milbank, South Dakota",5990, Newspaper Article,,Ladies of the WCTU,Ladies of the WCTU,"May 05, 1892",,LOC Conundrum Supper
182,"internal-pdf://3269346591/The Herald-Advance, September 11, 1908.pdf",,,11-Sep-08,The Herald-Advance,,Dr Coulter’s lawn,"Milbank, South Dakota",5991, Newspaper Article,,N/A,N/A,12-Sep-08,,LOC Conundrum Supper
183,"internal-pdf://3172686004/The Holbrook news, August 6, 1920.pdf",,,6-Aug-20,The Holbrook news,Contains eBOF; event is also mentioned on the July 30st issue,L.D.S. Chapel,"Holbrook, Arizona",6005, Newspaper Article,,L.D.S.,L.D.S.,4-Aug-20,,LOC Conundrum Supper
184,"internal-pdf://1745897490/The Hope pioneer, July 21, 1898.pdf",,,"July 21, 1898",The Hope pioneer,Same event is referenced in the issue from July 28,N/A,"Hope, North Dakota",6413, Newspaper Article,,N/A,N/A,"August 04, 1898",,LOC Conundrum Supper
185,"internal-pdf://2765392859/The Hope pioneer, August 22, 1890.pdf",,,"August 22, 1890",The Hope pioneer,Same event is referenced in the issue from August 29,Arcade hall,"Hope, North Dakota",6409, Newspaper Article,,Ladies Aid society of the Congregational church,Ladies Aid society of the Congregational church,"August 27, 1890",,LOC Conundrum Supper
186,"internal-pdf://1088590930/The Hope pioneer, April 10, 1891.pdf",,,"April 10, 1891",The Hope pioneer,,Devils Lake Inter-Ocean,"Hope, North Dakota",6410, Newspaper Article,,Ladies’ Aid society of the Congregational church,Ladies’ Aid society of the Congregational church,N/A,,LOC Conundrum Supper
187,"internal-pdf://1354270860/Hot Springs Weekly Star, January 23, 1903.pdf",,,23-Jan-03,Hot Springs Weekly Star,Menu included.,Congregational Church,"Hot Springs, South Dakota",5986, Newspaper Article,,Congregational Ladies Aid,Congregational Ladies Aid,28-Jan-03,,LOC Conundrum Supper
188,"internal-pdf://3829176417/The Indianapolis journal, April 01, 1894.pdf",,,"April 01, 1894",The Indianapolis journal,,Chapel,"Indianapolis, Indiana",6186, Newspaper Article,,Ladies’ Aid society of Mt. Jackson,Ladies’ Aid society of Mt. Jackson,"April 03, 1894",,LOC Conundrum Supper
189,"internal-pdf://0719885377/The Indianapolis journal, April 19, 1894.pdf",,,"April 19, 1894",The Indianapolis journal,"CS menu and event used the letter “C” for everything, all the dish names, the menu shape and even the “resolution” quoted in the article.",Chapel,"Indianapolis, Indiana",6187, Newspaper Article,,Ladies of the First Baptist Church,Ladies of the First Baptist Church,"April 18, 1894",,LOC Conundrum Supper
190,"internal-pdf://3172686001/The Indianapolis journal, March 30, 1893.pdf",,,"March 30, 1893",The Indianapolis journal,,Fourth Presbyterian Church,"Indianapolis, Indiana",6188, Newspaper Article,,N/A,N/A,"March 31, 1893",,LOC Conundrum Supper
191,"internal-pdf://3194224868/The Indianapolis journal, April 30, 1897.pdf",,,"April 30, 1897",The Indianapolis journal,,"Hall, No. 246 Virginia avenue","Indianapolis, Indiana",6091, Newspaper Article,,"Fidelity Lodge. No. 227, Daughters of Rebekah","Fidelity Lodge. No. 227, Daughters of Rebekah","May 03, 1897",,LOC Conundrum Supper
192,"internal-pdf://1101513921/Iowa state bystander, August 28, 1908.pdf",28-Aug-08,,,Iowa state bystander,,N/A,"Monmouth, Iowa",6193, Newspaper Article,,Oddgeninses club of the A.M.E. church,Oddgeninses club of the A.M.E. church,26-Aug-08,,LOC Conundrum Supper
