,'File' Attachments,Archive,Attendance,Contains_BOF,Date,Edition,Event_Date,Event_Location,Issue,Location,Newspaper,Notes,Organization_Hosting,Persons,Place Published,Price_Event,Record Number,Reference Type,Reporter,Revenue,Short Title,Title,Unique_Reference_Number,Year,MENU,Coordinates
353,"internal-pdf://1065311701/The Saint Paul globe, November 29, 1896.pdf",LOC Conundrum Social,,,"November 29, 1896",,,,,"St. Paul, Minnesota",The Saint Paul globe,,,,Church,,6605.0, Newspaper Article,,,Choral society of First German church,Choral society of First German church,,"November 24, 1896",,"[-93.1015026, 44.9504037]"
354,"internal-pdf://4098439583/The Saint Paul globe, November 18, 1896.pdf",LOC Conundrum Social,,,"November 18, 1896",,,,,"St. Paul, Minnesota",The Saint Paul globe,Same event is referenced in the issue from November 15,,,Church parlors,,6604.0, Newspaper Article,,,Y.P.S.C.E.,Y.P.S.C.E.,,"November 17, 1896",,"[-93.1015026, 44.9504037]"
355,"internal-pdf://2554970779/Herald and news, November 26, 1908.pdf",LOC Conundrum Social,,,"November 26, 1908",,,,,"West Randolph, Vermont",Herald and news,,,,,,6795.0, Newspaper Article,,,Home Rebekah lodge,Home Rebekah lodge,,1-Dec-08,,"[-72.666321, 43.925099]"
356,"internal-pdf://1869470116/The herald-advance, April 08, 1892.pdf",LOC Conundrum Social,,,"April 08, 1892",,,,,"Milbank, South Dakota",The herald-advance,,,,,,6720.0, Newspaper Article,,,Ladies of the W.C.T.U.,Ladies of the W.C.T.U.,,,,"[-96.635617, 45.219131]"
357,"internal-pdf://3260985861/Semi-Weekly Banner, October 30, 1894.pdf",LOC Conundrum Supper,,,"October 30, 1894",,,,,"Bennington, Vermont",Bennington Semi-Weekly Banner,,,,Moore’s Hall,,6120.0, Newspaper Article,,,Congregational Ladies’ Aid Society,Congregational Ladies’ Aid Society,,"October 30, 1894",,"[-73.1473048, 43.0125713]"
358,"internal-pdf://2407636603/The Palatka news and advertiser, September 04.pdf",LOC Conundrum Supper,,,"September 04, 1914",,,,,"Florahome, Florida",The Palatka news and advertiser,,,,,,6075.0, Newspaper Article,,,Village Improvement Association of Floralhome,Village Improvement Association of Floralhome,,5-Sep-14,,"[-81.8834269, 29.7327446]"
359,"internal-pdf://1395405989/The Newport Miner, June 10, 1909.pdf",LOC Conundrum Supper,,,"June 10, 1909",,,,,"Newport, Washington",The Newport Miner,Menu included.,,,Methodist Church Parlors,,6394.0, Newspaper Article,,,,,,15-May-09,Menu: The Way the Small Boy Goes Down Hill. Fruit of the Hub. Cereal Compound. Loves' Token. Old Maids' Delight. Curious Composition. Brazilian Ale. Sliced Maple. Spring's Offering. Quivering Dainties. Bovine Relish. Colored Garnish. Hidden Tsars. Earth's Apples.,"[-117.0432583, 48.1796277]"
360,"internal-pdf://0332238283/The Clarksburg Daily Telegram, March 13, 1909.pdf",LOC Conundrum Supper,,,"March 13, 1909",,,,,"Clarksburg, West Virginia",The Clarksburg Daily Telegram,,,,,,6431.0, Newspaper Article,,,Young people,Young people,,13-Mar-09,,"[-80.3445341, 39.2806451]"
361,"internal-pdf://2383229439/November 09, 1893, St. Johnsbury Caledonian.pdf",LOC Conundrum Supper,,,,,,,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,,,Town hall,,6338.0, Newspaper Article,,,,,,"November 14, 1893",,"[-72.0150951, 44.4192249]"
362,"internal-pdf://1129566405/The Globe-republican, October 28, 1897.pdf",LOC Conundrum Supper,,,"October 28, 1897",,,,,"Dodge City, Kansas",The Globe-republican,"Same event is referenced in the Hutchinson gazette, October 28, 1897 AND The Chanute times, October 29, 1897",,,,,6198.0, Newspaper Article,,,Daughters of Rebecca at Galena,Daughters of Rebecca at Galena,,,,"[-100.0170787, 37.7527982]"
363,"internal-pdf://1374344036/The Rice belt journal, March 17, 1916.pdf",LOC Conundrum Supper,,,"March 17, 1916",,,,,"Welsh, Louisiana",The Rice belt journal,Contains eBOF; duplicate reference in the same issue and the same event is referenced in the issue from March 24,,,Southern Marcantile building,,6205.0, Newspaper Article,,,Ladies’ Aid,Ladies’ Aid,,18-Mar-16,"A marine animal, Mixed up type, Tear drops, Go betweens, Berry juice, Maid of Orleans, A goat, A tight squeeze, Sad predicaments, Too good for you, A silenced squealer, Turns over and over.","[-92.8226453, 30.2360403]"
364,"internal-pdf://0655495364/Dakota County herald, March 12, 1909.pdf",LOC Conundrum Supper,,,"March 12, 1909",,,,,"Dakota City, Nebraska",Dakota County herald,Same event is referenced in the issue from March 19; event was postponed to a later date,,,,,6307.0, Newspaper Article,,,Epworth league,Epworth league,,19-Mar-09,,"[-96.41853, 42.4153516]"
365,"internal-pdf://0309198986/Orleans County Monitor, March 12, 1906.pdf",LOC Conundrum Supper,,,"March 12, 1906",,,,,"Barton, Vermont",Orleans County Monitor,,,,Home of Mr and Mrs W. Lamsden,,6325.0, Newspaper Article,,,Ladies’ Social Circle,Ladies’ Social Circle,,16-Mar-06,,"[-72.174317559118, 44.74844]"
366,"internal-pdf://1713258266/The Star-Independent, February 10, 1915,.pdf",LOC Conundrum Supper,,,,,,,,"Harrisburg, Pennsylvania",The Star-Independent,,,,Home of Mrs Robert Harbarker,,5966.0, Newspaper Article,,,The Ladies’ Aid Society of the Methodist Church,The Ladies’ Aid Society of the Methodist Church,,"February 12, 1915,",,"[-76.8861122, 40.2663107]"
367,"internal-pdf://0352406215/The Evening Herald, March 18, 1921.pdf",LOC Conundrum Supper,,,"March 18, 1921",,,,,"Klamath Falls, Oregon",The Evening Herald,,,,Home of Mr. And Mrs. HE Wilson,,5964.0, Newspaper Article,,,Mr And Mrs. HE Wilson,Mr And Mrs. HE Wilson,,,,"[-121.7816704, 42.224867]"
368,"internal-pdf://3617318124/News and Citizen, March 11, 1908.pdf",LOC Conundrum Supper,,,"March 11, 1908",,,,,"Morrisville, Vermont",News and Citizen,,,,Church parlors,,6166.0, Newspaper Article,,,,,,5-Mar-08,,"[-72.5923686622929, 44.5591997]"
369,"internal-pdf://4146382456/The Vermont Watchman, November 01, 1893.pdf",LOC Conundrum Supper,,,,,,,,Montpelier,The Vermont Watchman,,,,,,6153.0, Newspaper Article,,,Lyceum League,Lyceum League,,"October 25, 1893",,"[-72.575684, 44.260445]"
370,"internal-pdf://1911165189/The daily morning journal and courier, March 1.pdf",LOC Conundrum Supper,,,"March 11, 1901",,,,,"Fair Haven, Connecticut",The daily morning journal and courier,Contains eBOF; Same event is referenced in the issues from March 13 and March 14,,,Chapel,,6044.0, Newspaper Article,,,Men of the Grand avenue Baptist church,Men of the Grand avenue Baptist church,,13-Mar-01,"1. Pearls cast among swine 2. The unruly member 3. Fruit of the vine, assorted sizes 4. A son of Noah 5. Berries roasted and boiled -sweetened to taste 6. Oil well before using 7. Boston's overthrow -old maid's friend 8. The wise beverage - good for all. 9. Many ingredients concreted-assorted 10. The mouse's friend 11. Ivory manipulators 12. A Texas steer -chopped and spiced 13. Shell fruit in layers -baked 14. Billy goat and Uneeda? 15. Pickled fruit -pastor's favorite.","[-72.8956569, 41.3112082]"
371,"internal-pdf://2920117873/Williston graphic, March 20, 1896.pdf",LOC Conundrum Supper,,,"March 20, 1896",,,,,"Williston, North Dakota",Williston graphic,,,,Church rooms,,6416.0, Newspaper Article,,,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,,"March 24, 1896",,"[-103.621814, 48.1465457]"
372,"internal-pdf://1061730689/The Brattleboro Daily Reformer, October 26, 19.pdf",LOC Conundrum Supper,,,"October 26, 1915",,,,,"Brattleboro, Vermont",The Brattleboro Daily Reformer,Also mentioned Oct 30.,,,Vestry,,6131.0, Newspaper Article,,,Women of the Methodist church,Women of the Methodist church,,27-Oct-15,,"[-72.5578678, 42.8509152]"
373,"internal-pdf://1417076376/Peninsula Enterprise, October 26, 1907.pdf",LOC Conundrum Supper,,,"October 26, 1907",,,,,"Accomac, Virginia",Peninsula Enterprise,,,,Jr. O. U. A M.  Hall at Harborton,,6389.0, Newspaper Article,,,"Robert E. Lee Council, No. 29, Daughters of Liberty,  and Iroquois Tribe, No. 24, Improved Order of Red Men","Robert E. Lee Council, No. 29, Daughters of Liberty,  and Iroquois Tribe, No. 24, Improved Order of Red Men",,30-Oct-07,,"[-75.6654845, 37.7195742]"
374,"internal-pdf://0337453823/Omaha daily bee, March 11, 1895.pdf",LOC Conundrum Supper,,,"March 11, 1895",,,,,"Omaha, Nebraska",Omaha daily bee,,,,Hall in the Continental block,,6310.0, Newspaper Article,,,"Life Boat lodge No. 150, Independent Order of Good Templars","Life Boat lodge No. 150, Independent Order of Good Templars",,"March 28, 1895",,"[-95.9383758, 41.2587459]"
375,"internal-pdf://1504569914/The Press, June 10, 1914.pdf",LOC Conundrum Supper,,,"June 10, 1914",,,,,"Staffordville, Connecticut",The Press,Same event is referenced in the issue from June 03,,,Congregational vestry,,6056.0, Newspaper Article,,,,,,11-Jun-14,,"[-72.25869, 41.9939848]"
376,"internal-pdf://4172670833/The Detroit times, March 10, 1916.pdf",LOC Conundrum Supper,,,"March 10, 1916",,,,,"Detroit, Michigan",The Detroit times,,,,G.A.R. hall,,6259.0, Newspaper Article,,,Daughters of Veterans,Daughters of Veterans,,16-Mar-16,,"[-83.0466403, 42.3315509]"
377,"internal-pdf://0631704561/The Londonerry Sifter, October 27, 1893.pdf",LOC Conundrum Supper,,,"October 27, 1893",,,,,"South Londonerry, Vermont",The Londonerry Sifter,,,,Grange Hall,,6167.0, Newspaper Article,,,,,,"November 03, 1893",,
378,"internal-pdf://0501772887/The Sedalia weekly bazoo, December 26, 1893.pdf",LOC Conundrum Supper,,,,,,,,"Boonville, Missouri",The Sedalia weekly bazoo,"December 26, 1893",,,,,6289.0, Newspaper Article,,,,,,,,"[-92.7440277, 38.9751547]"
379,"internal-pdf://1943003492/St. Johnsbury Caledonian, September 03, 1891.pdf",LOC Conundrum Supper,,,"September 03, 1891",,,,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,,,,,6334.0, Newspaper Article,,,YPSMW,YPSMW,,"August 28, 1891",,"[-72.0150951, 44.4192249]"
380,"internal-pdf://0943947734/Waterbury Democrat, June 10, 1897.pdf",LOC Conundrum Supper,,,"June 10, 1897",,,,,"Waterbury, Connecticut",Waterbury Democrat,,,,The grange,,6026.0, Newspaper Article,,,The grange,The grange,,"June 11, 1897",,"[-73.0438362, 41.5538091]"
381,"internal-pdf://2009726310/Perth Amboy evening news, June 08, 1910.pdf",LOC Conundrum Supper,,,"June 08, 1910",,,,,"Woodbridge, New Jersey",Perth Amboy evening news,"Same event is referenced in the issues from June 2, May 31, June 09, and June 11; This newspaper contains a reference to another CS event as well",,,Lecture room of the church,,6316.0, Newspaper Article,,,Builders of the M.E. church and Mrs. H. Turner,Builders of the M.E. church and Mrs. H. Turner,,9-Jun-10,,"[-74.2860007694445, 40.55418]"
382,"internal-pdf://1395235123/The aegis & intelligencer, March 15, 1901.pdf",LOC Conundrum Supper,,,"March 15, 1901",,,,,"Jarrettsville, Maryland",The aegis & intelligencer,Contains eBOF,,,Residence of J.E. Eggleston,,6238.0, Newspaper Article,,,C.E. of Calvary church,C.E. of Calvary church,,8-Mar-01,"An American author, the Irish for tea, a part of the foot, a son of Noah, a color, to put under the ground, employment of some women and the dread of all, drawing with the mouth, a narrow bed, a kind of tree, part of a house and a letter, a favorite Oriental Beverage, a doll's composition, a personal pronoun, bivalvular mollusks with fire-works, married people, chopped stupidity, Staff of life, a popular resort, a carpenter's sgn, a lacking quantity in Jarrettsville and surrounding county, an accompanient to a cold, the delight of the lawyer, shopped contention, sumptuously seasoned, what Pharoah saw in a dream, parson prey, an insect and a letter.","[-76.4777422, 39.60455]"
383,"internal-pdf://0711645628/Rock Island Argus, November 30, 1894.pdf",LOC Conundrum Supper,,,,"November 30, 1894",,,,"Rock Island, Illinois",Rock Island Argus,,,,Christian church,,6089.0, Newspaper Article,,,Christian Endeavor society,Christian Endeavor society,,"December 04, 1894",,"[-90.5787477, 41.5094771]"
384,"internal-pdf://1369602724/Perth Amboy evening news, June 08, 1910.pdf",LOC Conundrum Supper,,,"June 08, 1910",,,,,"Metuchen, New Jersey",Perth Amboy evening news,,,,,,6317.0, Newspaper Article,,,Ladies of the Baptist church,Ladies of the Baptist church,,9-Jun-10,,"[-74.3632049, 40.5431598]"
385,"internal-pdf://3520709983/The Newtown bee, March 15, 1895.pdf",LOC Conundrum Supper,,,"March 15, 1895",,,,,"Nichols, Connecticut",The Newtown bee,,,,Residence of Miss Julia Thorp,,6040.0, Newspaper Article,,,Y.P.S.C.E.,Y.P.S.C.E.,,"March 21, 1895",,"[-73.1612225, 41.2409299]"
386,"internal-pdf://4059243598/Burlington Weekly Free Press, June 09, 1892.pdf",LOC Conundrum Supper,,,"June 09, 1892",,,,,"Burlington, Vermont",Burlington Weekly Free Press,,,,Academy Green,,6148.0, Newspaper Article,,,The Students of Academy Green,The Students of Academy Green,,"June 07, 1892",,"[-73.2135472, 44.4762975]"
387,"internal-pdf://0352118602/The Press, November 05, 1891.pdf",LOC Conundrum Supper,,,,,,,,"Stafford, Connecticut",The Press,,,,Grace church,,6054.0, Newspaper Article,,,,,,"October 29, 1891",,"[-72.2889686, 41.9848183]"
388,"internal-pdf://4089174006/News and Citizen, March 15, 1894.pdf",LOC Conundrum Supper,,,"March 15, 1894",,,,,"Morrisville, Vermont",News and Citizen,,,,Church vestry,,6128.0, Newspaper Article,,,,,,"March 16, 1894",,"[-72.5923686622929, 44.5591997]"
389,"internal-pdf://2216617583/Salt Lake Tribune, October 30, 1907.png",LOC Conundrum Supper,,,"October 30, 1907",,,,,"Salt Lake City, Utah",The Salt Lake Tribune,,,,Lecture room of the church,,6000.0, Newspaper Article,,,The Ladies’ Aid Society of the Westminster Presbyterian Church,The Ladies’ Aid Society of the Westminster Presbyterian Church,,31-Oct-07,,"[-111.8904308, 40.7670126]"
390,"internal-pdf://1566288817/The Salt Lake Herald, October 30, 1907.pdf",LOC Conundrum Supper,,,"October 30, 1907",,,,,"Salt Lake City, Utah",The Salt Lake Herald,Event referred to on October 31 as well.,,,Lecture Room of the Church,,6094.0, Newspaper Article,,,Ladies Aid Society,Ladies Aid Society,,31-Oct-07,,"[-111.8904308, 40.7670126]"
391,"internal-pdf://3006968064/The record-union, March 15, 1892.pdf",LOC Conundrum Supper,,,"March 15, 1892",,,,,"Sacramento, California",The record-union,Contains eBOF; event is also referenced on the March 16 issue,,,,,6013.0, Newspaper Article,,,Y.P.S.C.E. of Westminster Presbyterian Church,Y.P.S.C.E. of Westminster Presbyterian Church,,"March 15, 1892","Supper bill of fare: An Unruly Member, Pride of Boston, April Blossoms, A Young Man's Sweetheart, Impertinences, Fruit of the Vine, Tree Cake, Spring's Offering, Lay of the Last Minstrel, Boston's Overthrow, One of Noah's Sons, No Grounds for Complaint, Prairie Flower, Raised in Town, Tramp Cake, Frozen Tree, What Some People Don't Know, Cake Hard to Beat.","[-121.4943996, 38.5815719]"
392,"internal-pdf://0337453824/Essex County Herald, June 11, 1897.pdf",LOC Conundrum Supper,,,"June 11, 1897",,,,,"Guildhall, Vermont",Essex County Herald,,,,Congregational parsonage,,6127.0, Newspaper Article,,,Ladies Aid Society,Ladies Aid Society,,"June 08, 1897",,"[-71.5610294, 44.5651812]"
393,"internal-pdf://2577737060/St. Johnsbury Caledonian, March 15, 1905.pdf",LOC Conundrum Supper,,,"March 15, 1905",,,,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,,,Church vestry,,6113.0, Newspaper Article,,,Epworth League,Epworth League,,17-Mar-05,,"[-72.0150951, 44.4192249]"
394,"internal-pdf://2299003582/Herald and News, March 15, 1906.pdf",LOC Conundrum Supper,,,"March 15, 1906",,,,,"West Randolph, Vermont",Herald and News,,,,E.L. Marshall’s,,6352.0, Newspaper Article,,,King’s Daughters and Sons and Ladies’ Aid Society,King’s Daughters and Sons and Ladies’ Aid Society,,16-Mar-06,,"[-72.666321, 43.925099]"
395,"internal-pdf://4098439584/St. Paul daily globe, March 15, 1891.pdf",LOC Conundrum Supper,,,"March 15, 1891",,,,,"St. Paul, Minnesota",St. Paul daily globe,,,,West Side Westminster Presbyterian church,,6268.0, Newspaper Article,,,,,,"March 20, 1891",,"[-93.1015026, 44.9504037]"
396,"internal-pdf://1335354335/The Cecil Whig, October 29, 1892.pdf",LOC Conundrum Supper,,,"October 29, 1892",,,,,"Elkton, Maryland",The Cecil Whig,,,,Chapel adjoining the church,,6247.0, Newspaper Article,,,Ladies of West Nottingham Presbyterian Church,Ladies of West Nottingham Presbyterian Church,,"November 01, 1892",,"[-75.8330934, 39.6065073]"
397,"internal-pdf://2426206503/Audubon County journal, October 30, 1913.pdf",LOC Conundrum Supper,,,"October 30, 1913",,,,,"Exira, Iowa",Audubon County journal,Contains eBOF; same event is referenced in the issue from Oct. 23.,,,League room of the M.E. church,,6192.0, Newspaper Article,,,Methodist Epworth league,Methodist Epworth league,,24-Oct-13,"Substantials: What some people don't know, Women of Grit, Heart throbs in vinegar, Split dead-head, Descendant of Noah, Chip of the old block, What you never will? do if you keep on doing as you are doing now, Salamagundi, Lirshman's? favorite. Desserts: Whip tips, Hidden tears, Fall of mankind, Floating Island, Cool Impudence, A tramp's breakfast, Young men's favorite fruit, What young men are fond of. Drinks: Bean soup, Nature's offering, Ivory manipulators.","[-94.8757758, 41.5905324]"
398,"internal-pdf://0209359415/The Jersey City news, October 29, 1892.pdf",LOC Conundrum Supper,,,"October 29, 1892",,,,,"Jersey City, New Jersey",The Jersey City news,Same event is referenced in the issue from November 2,,,"Reynolds Memorial Chapel, No. 138 Avenue D",,6401.0, Newspaper Article,,,Ladies Aid society of the Bergen Point M.E. church,Ladies Aid society of the Bergen Point M.E. church,,"November 01, 1892",,"[-74.0776417, 40.7281575]"
399,"internal-pdf://2040651427/The Portland daily press, January 08, 1895.pdf",LOC Conundrum Supper,,,,"January 08, 1895",,,,"North Deering, Maine",The Portland daily press,,,,Maple Lodge hall,,6211.0, Newspaper Article,,,Maple Lodge,Maple Lodge,,"January 04, 1895",,"[-70.2878269, 43.6998031]"
400,"internal-pdf://1369602725/Burlington Weekly Free Press, October 31, 1895.pdf",LOC Conundrum Supper,,,"October 31, 1895",,,,,"Burlington, Vermont",Burlington Weekly Free Press,,,,E.J. Parmelee,,6134.0, Newspaper Article,,,,,,"October 23, 1895",,"[-73.2135472, 44.4762975]"
401,"internal-pdf://1734575193/Burlington Weekly Free Press, October 31, 1895.pdf",LOC Conundrum Supper,,,"October 31, 1895",,,,,"Burlington, Vermont",Burlington Weekly Free Press,,,,Home of E. J. Parmelee,,6146.0, Newspaper Article,,,,,,"October 30, 1895",,"[-73.2135472, 44.4762975]"
402,"internal-pdf://2009726311/Burlington Weekly Free Press, March 16, 1893.pdf",LOC Conundrum Supper,,,"March 16, 1893",,,,,"Burlington, Vermont",Burlington Weekly Free Press,,,,,,6133.0, Newspaper Article,,,,,,"March 15, 1893",,"[-73.2135472, 44.4762975]"
403,"internal-pdf://1431742587/Santa Fe daily New Mexican, September 08, 1892.pdf",LOC Conundrum Supper,,,"September 08, 1892",,,,,"Santa Fe, New Mexico",Santa Fe daily New Mexican,Same event is referenced in the issue from September 3,,,"Mr. Goebel’s store room, Catron block",,6407.0, Newspaper Article,,,Ladies of the Methodist church,Ladies of the Methodist church,,"September 08, 1892",,"[-105.9377997, 35.6869996]"
404,"internal-pdf://0352118601/The aegis & intelligencer, June 29, 1900.pdf",LOC Conundrum Supper,,,"June 29, 1900",,,,,"Forest Hill, Maryland",The aegis & intelligencer,,,,W.C.T.U. hall,,6237.0, Newspaper Article,,,W.C.T.U.,W.C.T.U.,,4-Jul-00,,"[-76.387739, 39.5851063]"
405,"internal-pdf://0380390179/Perth Amboy evening news, September 08, 1905.pdf",LOC Conundrum Supper,,,"September 08, 1905",,,,,"Tottenville, New Jersey",Perth Amboy evening news,,,,Lawn of the church,,6397.0, Newspaper Article,,,Ladies’ Aid society of the South Baptist church of Tottenville,Ladies’ Aid society of the South Baptist church of Tottenville,,8-Sep-05,,
406,"internal-pdf://1504569913/The aegis & intelligencer, September 29, 1905.pdf",LOC Conundrum Supper,,,"September 29, 1905",,,,,"Bel Air, Maryland",The aegis & intelligencer,,,,Residence of Miss Mae F. Snodgrass,,6239.0, Newspaper Article,,,The Strollers’ Club,The Strollers’ Club,,21-Sep-05,,"[-76.3490396, 39.5355063]"
407,"internal-pdf://3130390638/Burlington Weekly Free Press, September 29, 18.pdf",LOC Conundrum Supper,,,"September 29, 1892",,,,,"Burlington, Vermont",Burlington Weekly Free Press,,,,,,6149.0, Newspaper Article,,,YPSCE and Ladies of the Congregational Church,YPSCE and Ladies of the Congregational Church,,"October 05, 1892",,"[-73.2135472, 44.4762975]"
408,"internal-pdf://1431419374/Alma record, September 20, 1895.pdf",LOC Conundrum Supper,,,"September 20, 1895",,,,,"Alma, Michigan",Alma record,,,,Residence of Mrs. Minnie McCarty,,6254.0, Newspaper Article,,,Mrs. Minnie McCarty,Mrs. Minnie McCarty,,"September 17, 1895",,"[-84.659727, 43.37892]"
409,"internal-pdf://2073785404/Orleans County Monitor, June 21, 1916.pdf",LOC Conundrum Supper,,,"June 21, 1916",,,,,"Barton, Vermont",Orleans County Monitor,,,,Schoolhouse,,6344.0, Newspaper Article,,,Willing Workers,Willing Workers,,27-Jun-16,,"[-72.174317559118, 44.74844]"
410,"internal-pdf://0076065814/Connecticut western news, September 20, 1900.pdf",LOC Conundrum Supper,,,"September 20, 1900",,,,,"Salisbury, Connecticut",Connecticut western news,,,,Town hall,,6051.0, Newspaper Article,,,Ladies of Christ church,Ladies of Christ church,,19-Sep-00,,"[-73.4212318, 41.983426]"
411,"internal-pdf://1464415775/Herald and News, March 04, 1897.pdf",LOC Conundrum Supper,,,"March 04, 1897",,,,,"West Randolph, Vermont",Herald and News,,,,Parsonage,,6360.0, Newspaper Article,,,,,,"March 05, 1897",,"[-72.666321, 43.925099]"
412,"internal-pdf://2444348465/The Coeur d'Alene press, March 04, 1893.pdf",LOC Conundrum Supper,,,"March 04, 1893",,,,,"Coeur d’Alene, Idaho",The Coeur d’Alene press,“on the European plan”,,,Graney’s hall,,6084.0, Newspaper Article,,,Ladies of the Methodist Aid society,Ladies of the Methodist Aid society,,"March 07, 1893",,"[-116.7811531, 47.6742994]"
413,"internal-pdf://3456866949/St Johnsbury Caledonian, September 27, 1911.pdf",LOC Conundrum Supper,,,"September 27, 1911",,,,,"St. Johnsbury, Vermont",St Johnsbury Caledonian,Menu included,,,Home of Mr and Mrs OB Exley,,6105.0, Newspaper Article,,,Ladies of the Village Improvement Society,Ladies of the Village Improvement Society,,22-Sep-11,"Fruit of the Vine, Brazilian Beverage, Chips of the Block, Fall of Man, Goat, Eve's Temptation, Pride of Boston, Oriental Delight, Woman's Weapon, Oliver Twist, Liquid Bovine, Hashed Bovine, Spring's offering, Feline Sauce, Staff of Life, (Malay, Caucasian), Noah''s Son, Lot's Wife, Cramp and Colic Cure, Tumble.","[-72.0150951, 44.4192249]"
414,"internal-pdf://0628175006/Amador ledger, September 25, 1903.pdf",LOC Conundrum Supper,,,"September 25, 1903",,,,,"Jackson, California",Amador ledger,,,,National hotel,,6012.0, Newspaper Article,,,N.D.G.W.,N.D.G.W.,,24-Sep-03,,"[-120.7741018, 38.3488024]"
415,"internal-pdf://3962693581/Peninsula Enterprise, September 21, 1901.pdf",LOC Conundrum Supper,,,"September 21, 1901",,,,Also mentioned on September 28.,"Accomac, Virginia",Peninsula Enterprise,,,,Church in Upshur’s neck,,6387.0, Newspaper Article,,,Ladies of Smith’s Chapel,Ladies of Smith’s Chapel,,28-Sep-01,,"[-75.6654845, 37.7195742]"
416,"internal-pdf://0653448033/The commonwealth, June 23, 1899.pdf",LOC Conundrum Supper,,,"June 23, 1899",,,,,"Greenwood, Mississippi",The commonwealth,,,,Residence of Dr. Hart,,6287.0, Newspaper Article,,,Ladies of the Presbyterian church,Ladies of the Presbyterian church,,,,"[-90.1795281, 33.5162315]"
417,"internal-pdf://1528806445/The Clarksburg Telegram, June 25, 1897.pdf",LOC Conundrum Supper,,,"June 25, 1897",,,,,"Clarksburg, West Virginia",The Clarksburg Telegram,,,,Wilson’s Art Studio,,6430.0, Newspaper Article,,,Company F. of Goff’s Chapel,Company F. of Goff’s Chapel,,"June 29, 1897",,"[-80.3445341, 39.2806451]"
418,"internal-pdf://3936859991/The Cecil Whig, September 22, 1900.pdf",LOC Conundrum Supper,,,"September 22, 1900",,,,,"Elkton, Maryland",The Cecil Whig,Same event is referenced in the issue from September 29,,,Gilpius’ Rocks,,6245.0, Newspaper Article,,,Ladies’ Aid society of Bay View,Ladies’ Aid society of Bay View,,26-Sep-00,,"[-75.8330934, 39.6065073]"
419,"internal-pdf://3617318125/The Newtown bee, March 02, 1894.pdf",LOC Conundrum Supper,,,"March 02, 1894",,,,,"Georgetown, Connecticut",The Newtown bee,There is another CS reference (distinct) in this issue indicated with the February 16th issue,,,Bouton’s hall,,6034.0, Newspaper Article,,,Ladies of the Congregational church,Ladies of the Congregational church,,"February 28, 1894",,"[-73.4353070481373, 41.248775]"
420,"internal-pdf://3594751249/Evening journal, September 24, 1900.pdf",LOC Conundrum Supper,,,"September 24, 1900",,,,,"Bay View, Delaware",Evening journal,,,,Gilpin’s Rocks,,6065.0, Newspaper Article,,,Ladies’ Aid society,Ladies’ Aid society,,26-Sep-00,,"[-75.4013315, 38.6920451]"
421,"internal-pdf://3172686005/The Enterprise, September 23, 1896.pdf",LOC Conundrum Supper,,,"September 23, 1896",,,,,"Wellington, Ohio",The Enterprise,Woman’s weapon,,,Home of Mr and Mrs W. J. Krebs,,5933.0, Newspaper Article,,,The Ladies’ Aid Society of the M. E. Church,The Ladies’ Aid Society of the M. E. Church,,"September 16, 1896",,"[-82.2179354, 41.1689421]"
422,"internal-pdf://1129566406/Vermont Phoenix, September 24, 1897.pdf",LOC Conundrum Supper,,,"September 24, 1897",,,,,"Brattleboro, Vermont",Vermont Phoenix,,,,Town Hall,,6184.0, Newspaper Article,,,Young Ladies’ Aid Society,Young Ladies’ Aid Society,,"October 01, 1897",,"[-72.5578678, 42.8509152]"
423,"internal-pdf://2383132802/The Billings gazette, June 28, 1904.pdf",LOC Conundrum Supper,,,"June 28, 1904",,,,,"Billings, Montana",The Billings gazette,Same event is referenced in the issue from July 1,,,Church,,6295.0, Newspaper Article,,,Baptist Young People,Baptist Young People,,1-Jul-04,,"[-108.49607, 45.7874957]"
424,"internal-pdf://0932522763/Herald and Tribune, September 23, 1896.pdf",LOC Conundrum Supper,,,"September 23, 1896",,,,,"Jonesborough, Tennessee",Herald and Tribune,,,,Residence of Dr. Whitlock,,5993.0, Newspaper Article,,,Young Ladies of the Baptist Church,Young Ladies of the Baptist Church,,"September 24, 1896",,"[-82.4734089, 36.2944928]"
425,"internal-pdf://2557028566/The Londonderry Sifter, September 24, 1897.pdf",LOC Conundrum Supper,,,"September 24, 1897",,,,,"South Londonderry, Vermont",The Londonderry Sifter,,,,Town Hall,,6354.0, Newspaper Article,,,Young Ladies Aid Society,Young Ladies Aid Society,,"September 24, 1897",,"[-72.8142644, 43.1928538]"
426,"internal-pdf://2499606129/The Citizen, March 01, 1912.pdf",LOC Conundrum Supper,,,"March 01, 1912",,,,,"Honesdale, Pennsylvania",The Citizen,,,,High school building,,5969.0, Newspaper Article,,,Sterling High School Graduating Class,Sterling High School Graduating Class,,1-Mar-12,,"[-75.2587871, 41.5767552]"
