id,title,author,publication,date,location,content
DX1901052982,PUZZLEDOM.,,Good Words for the Young (UKP),"March 6, 1875",London England,
DX1901053004,PUZZLEDOM.,,Good Words for the Young (UKP),"March 20, 1875",London England,
DX1901053087,PUZZLEDOM.,,Good Words for the Young (UKP),"May 15, 1875",London England,
DX1901053106,PUZZLEDOM.,,Good Words for the Young (UKP),"May 29, 1875",London England,
DX1901148711,PUZZLES*,,Father William's Stories,"September 1, 1890",London England,
DX1901149338,PUZZLES*,,Father William's Stories,"September 1, 1891",London England,
CC1904016772,PUZZLES,,New Dominion Monthly (UKP),"January 1, 1878",Montreal Canada,
CC1904016802,PUZZLES,,New Dominion Monthly (UKP),"February 1, 1878",Montreal Canada,
CC1904016863,PUZZLES,,New Dominion Monthly (UKP),"April 1, 1878",Montreal Canada,
CC1904016899,PUZZLES,,New Dominion Monthly (UKP),"May 1, 1878",Montreal Canada,
CC1904016924,PUZZLES,,New Dominion Monthly (UKP),"June 1, 1878",Montreal Canada,
CC1904016965,PUZZLES,,New Dominion Monthly (UKP),"July 1, 1878",Montreal Canada,
CC1904016991,PUZZLES,,New Dominion Monthly (UKP),"August 1, 1878",Montreal Canada,
CC1904017014,PUZZLES,,New Dominion Monthly (UKP),"September 1, 1878",Montreal Canada,
CC1904017041,PUZZLES,,New Dominion Monthly (UKP),"October 1, 1878",Montreal Canada,
CC1904017075,PUZZLES,,New Dominion Monthly (UKP),"November 1, 1878",Montreal Canada,
CC1904017097,PUZZLES,,New Dominion Monthly (UKP),"December 1, 1878",Montreal Canada,
CC1904017434,PUZZLES,E. H. N.,New Dominion Monthly (UKP),"November 1, 1876",Montreal Canada,
CC1904017464,PUZZLES,,New Dominion Monthly (UKP),"December 1, 1876",Montreal Canada,
CC1904017615,PUZZLES,,New Dominion Monthly (UKP),"June 1, 1877",Montreal Canada,
CC1904017645,PUZZLES,,New Dominion Monthly (UKP),"July 1, 1877",Montreal Canada,
CC1904017671,PUZZLES,,New Dominion Monthly (UKP),"August 1, 1877",Montreal Canada,
CC1904017691,PUZZLES,,New Dominion Monthly (UKP),"September 1, 1877",Montreal Canada,
CC1904017713,PUZZLES,,New Dominion Monthly (UKP),"October 1, 1877",Montreal Canada,
CC1904017736,PUZZLES,,New Dominion Monthly (UKP),"November 1, 1877",Montreal Canada,
CC1904017763,PUZZLES,,New Dominion Monthly (UKP),"December 1, 1877",Montreal Canada,
DDORDM990437870,Puzzles,,Our Corner,"January 1, 1886",London England,
DX1901148532,PUZZLES,,Father William's Stories,"January 1, 1890",London England,
DX1901149591,PUZZLES,,Father William's Stories,"April 1, 1892",London England,
DX1901149683,PUZZLES,,Father William's Stories,"July 1, 1892",London England,
ANYNWJ917794051,Puzzles Riddles &c,,Boy's Herald,"March 9, 1878",London England,
BLQUIO893087628,Puzzles Riddles &c,,Boy's Herald,"March 16, 1878",London England,
CPRLPR769668481,Puzzles Riddles &c,,Boy's Herald,"July 20, 1878",London England,
CWYIFP279494754,Puzzles Riddles &c,,Boy's Herald,"April 27, 1878",London England,
AIXXMR733186174,Puzzles Riddles &c.,,Boy's Herald,"July 27, 1878",London England,
CGGSKG408132236,Puzzles Riddles &c.,,Boy's Herald,"June 1, 1878",London England,
COATUH002425779,Puzzles Riddles &c.,,Boy's Herald,"September 21, 1878",,
CVCMDP679831506,Puzzles Riddles &c.,B. G. L.,Boy's Herald,"August 17, 1878",London England,
DQBASP264368863,Puzzles Riddles &c.,,Boy's Herald,"February 17, 1877",London England,
ADVGGN777398318,Puzzles Riddles,,Boy's Herald,"November 17, 1877",London England,
AJLQYD269433042,Puzzles Riddles,,The Boy's Halfpenny Journal,"August 30, 1879",London England,
ANWWYU173036930,Puzzles Riddles,,The Boy's Halfpenny Journal,"June 7, 1879",London England,
AXOXXE500340346,Puzzles Riddles,,Boy's Herald,"November 3, 1877",London England,
AZHAVQ191788011,Puzzles Riddles,,Boy's Herald,"November 10, 1877",London England,
BEIVZG159134034,Puzzles Riddles,,Boy's Herald,"April 13, 1878",London England,
BGWIYP888687183,Puzzles Riddles,J. H Oliver,Boy's Herald,"September 28, 1878",London England,
BHUULK913348683,Puzzles Riddles,,Boy's Herald,"February 3, 1877",London England,
BITUAT438229202,Puzzles Riddles,,Boy's Herald,"February 16, 1878",London England,
CSHLJO399114452,Puzzles Riddles,,Boy's Herald,"July 21, 1877",London England,
CTUTCL808651544,Puzzles Riddles,,Boy's Herald,"January 27, 1877",London England,
CWDWVY572276487,Puzzles Riddles,,Boy's Herald,"June 22, 1878",London England,
CXVDWX284887962,Puzzles Riddles,,Boy's Herald,"August 11, 1877",London England,
DFGPFN065572032,Puzzles Riddles,G. F. Long,Boy's Herald,"May 25, 1878",,
DHWRVB876080532,Puzzles Riddles,Charles Marsh,The Boy's Halfpenny Journal,"July 5, 1879",London England,
DTLWJN506464284,Puzzles Riddles,,Boy's Herald,"January 26, 1878",London England,
CC1903255886,RECREATION COLUMN,,Australian Journal,"October 1, 1869",Melbourne Australia,
CC1903255964,RECREATION COLUMN,,Australian Journal,"June 1, 1869",Melbourne Australia,
CC1903256035,RECREATION COLUMN,,Australian Journal,"August 1, 1869",Melbourne Australia,
CC1903256162,RECREATION COLUMN,,Australian Journal,"November 1, 1869",Melbourne Australia,
CC1903256227,RECREATION COLUMN,J. T.,Australian Journal,"December 1, 1869",Melbourne Australia,
CC1903256295,RECREATION COLUMN,,Australian Journal,"September 1, 1871",Melbourne Australia,
CC1903256390,RECREATION COLUMN,,Australian Journal,"October 1, 1871",Melbourne Australia,
CC1903256474,RECREATION COLUMN,,Australian Journal,"November 1, 1871",Melbourne Australia,
CC1903256543,RECREATION COLUMN,,Australian Journal,"March 1, 1872",Melbourne Australia,
CC1903259124,RECREATION COLUMN,,Australian Journal,"April 1, 1870",Melbourne Australia,
CC1903259203,RECREATION COLUMN,,Australian Journal,"May 1, 1870",Melbourne Australia,
CC1903259284,RECREATION COLUMN,,Australian Journal,"June 1, 1870",Melbourne Australia,
CC1903259370,RECREATION COLUMN,,Australian Journal,"July 1, 1870",Melbourne Australia,
CC1903259456,RECREATION COLUMN,,Australian Journal,"August 1, 1870",Melbourne Australia,
CC1903259547,RECREATION COLUMN,,Australian Journal,"September 1, 1870",Melbourne Australia,
CC1903259636,RECREATION COLUMN,,Australian Journal,"October 1, 1870",Melbourne Australia,
CC1903259727,RECREATION COLUMN,,Australian Journal,"November 1, 1870",Melbourne Australia,
CC1903259823,RECREATION COLUMN,,Australian Journal,"December 1, 1870",Melbourne Australia,
CC1903259927,RECREATION COLUMN,,Australian Journal,"January 1, 1871",Melbourne Australia,
CC1903260002,RECREATION COLUMN,,Australian Journal,"May 1, 1871",Melbourne Australia,
CC1903260070,RECREATION COLUMN,,Australian Journal,"June 1, 1871",Melbourne Australia,
CC1903260147,RECREATION COLUMN,,Australian Journal,"July 1, 1871",Melbourne Australia,
CC1903260241,RECREATION COLUMN,,Australian Journal,"August 1, 1871",Melbourne Australia,
CC1903267759,RECREATION COLUMN,,Australian Journal,"September 1, 1869",Melbourne Australia,
CC1903267914,RECREATION COLUMN,,Australian Journal,"May 1, 1869",Melbourne Australia,
CC1903267996,RECREATION COLUMN,,Australian Journal,"December 1, 1871",Melbourne Australia,
CC1903268084,RECREATION COLUMN,,Australian Journal,"January 1, 1872",Melbourne Australia,
CC1903268164,RECREATION COLUMN,,Australian Journal,"February 1, 1872",Melbourne Australia,
CC1903268593,RECREATION COLUMN,,Australian Journal,"February 1, 1870",Melbourne Australia,
CC1903268674,RECREATION COLUMN,,Australian Journal,"March 1, 1870",Melbourne Australia,
CC1903268751,RECREATION COLUMN,,Australian Journal,"February 1, 1871",Melbourne Australia,
CC1903268830,RECREATION COLUMN,,Australian Journal,"March 1, 1871",Melbourne Australia,
CC1903268917,RECREATION COLUMN,,Australian Journal,"April 1, 1871",Melbourne Australia,
CC1903291765,RECREATION COLUMN,,Australian Journal,"July 1, 1869",Melbourne Australia,
CC1903322735,RECREATION COLUMN,,Australian Journal,"March 1, 1869",Melbourne Australia,
CC1903432457,RECREATION COLUMN,,Australian Journal,"January 1, 1870",Melbourne Australia,
CC1903255637,RECREATION CORNER,,Australian Journal,"December 12, 1868",Melbourne Australia,
CC1903255662,RECREATION CORNER,,Australian Journal,"December 19, 1868",Melbourne Australia,
CC1903255684,RECREATION CORNER,,Australian Journal,"January 2, 1869",Melbourne Australia,
CC1903255712,RECREATION CORNER,J. B.,Australian Journal,"January 9, 1869",Melbourne Australia,
CC1903255755,RECREATION CORNER,,Australian Journal,"January 23, 1869",Melbourne Australia,
CC1903267676,RECREATION CORNER,,Australian Journal,"December 26, 1868",Melbourne Australia,
DX1901053858,RIDDLE TOURANAMENT,J. G. BREHAUT,Our Young Folk's Weekly Budget,"May 15, 1880",London England,
DX1901053642,RIDDLE TOURNAMENT,F. WALLIS,Our Young Folk's Weekly Budget,"March 13, 1880",London England,
DX1901053924,RIDDLE TOURNAMENT,ALICE M. M'LACHLAN,Our Young Folk's Weekly Budget,"June 5, 1880",London England,
DX1901053969,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"June 19, 1880",London England,
DX1901054086,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 31, 1880",London England,
DX1901054427,RIDDLE TOURNAMENT,R. Bury DOUGLAS,Our Young Folk's Weekly Budget,"November 6, 1880",London England,
DX1901054640,RIDDLE TOURNAMENT,T. S. SHAUL,Our Young Folk's Weekly Budget,"January 1, 1881",London England,
DX1901054686,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 8, 1881",London England,
DX1901054725,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 22, 1881",London England,
DX1901054743,RIDDLE TOURNAMENT,S. W. HAYES,Our Young Folk's Weekly Budget,"January 29, 1881",London England,
DX1901054764,RIDDLE TOURNAMENT,L. FREEMAN,Our Young Folk's Weekly Budget,"February 5, 1881",London England,
DX1901054785,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 12, 1881",London England,
DX1901054831,RIDDLE TOURNAMENT,H. C. PRICE,Our Young Folk's Weekly Budget,"February 26, 1881",London England,
DX1901054854,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 5, 1881",London England,
DX1901054898,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 19, 1881",London England,
DX1901054925,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 26, 1881",London England,
DX1901054976,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 9, 1881",London England,
DX1901055002,RIDDLE TOURNAMENT,F. W. BINSTEAD,Our Young Folk's Weekly Budget,"April 16, 1881",London England,
DX1901055047,RIDDLE TOURNAMENT,R. GRANT,Our Young Folk's Weekly Budget,"April 23, 1881",London England,
DX1901055070,RIDDLE TOURNAMENT,E. J. WRIGHT,Our Young Folk's Weekly Budget,"April 30, 1881",London England,
DX1901055118,RIDDLE TOURNAMENT,T. S. SHAUL,Our Young Folk's Weekly Budget,"May 14, 1881",London England,
DX1901055241,RIDDLE TOURNAMENT,S. W. HAYES,Our Young Folk's Weekly Budget,"June 18, 1881",London England,
DX1901055280,RIDDLE TOURNAMENT,S. W. HAYES,Our Young Folk's Weekly Budget,"June 25, 1881",London England,
DX1901055388,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 23, 1881",London England,
DX1901055435,RIDDLE TOURNAMENT,R. GRANT,Our Young Folk's Weekly Budget,"August 6, 1881",London England,
DX1901055480,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"August 20, 1881",London England,
DX1901055527,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 3, 1881",London England,
DX1901055552,RIDDLE TOURNAMENT,MELANCHOLY HARRY,Our Young Folk's Weekly Budget,"September 10, 1881",London England,
DX1901055614,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 1, 1881",London England,
DX1901055673,RIDDLE TOURNAMENT,W. S. SMEE,Our Young Folk's Weekly Budget,"October 8, 1881",London England,
DX1901055698,RIDDLE TOURNAMENT,T. P. DOTCHON,Our Young Folk's Weekly Budget,"October 15, 1881",London England,
DX1901055723,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 22, 1881",London England,
DX1901055769,RIDDLE TOURNAMENT,T. STORR,Our Young Folk's Weekly Budget,"November 5, 1881",London England,
DX1901055794,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"November 12, 1881",London England,
DX1901055906,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 10, 1881",London England,
DX1901055929,RIDDLE TOURNAMENT,H. J. WEINTZ,Our Young Folk's Weekly Budget,"December 17, 1881",London England,
DX1901056016,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 31, 1881",London England,
DX1901056417,RIDDLE TOURNAMENT,H. W. W. LLOYD Tamworth,Our Young Folk's Weekly Budget,"April 15, 1882",London England,
DX1901056441,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 22, 1882",London England,
DX1901056464,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 29, 1882",London England,
DX1901056486,RIDDLE TOURNAMENT,BARENETT DE BEAR,Our Young Folk's Weekly Budget,"May 6, 1882",London England,
DX1901056511,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 13, 1882",London England,
DX1901056541,RIDDLE TOURNAMENT,F. J. COX,Our Young Folk's Weekly Budget,"May 20, 1882",London England,
DX1901056564,RIDDLE TOURNAMENT,F. T. RIDLEY,Our Young Folk's Weekly Budget,"May 27, 1882",London England,
DX1901056584,RIDDLE TOURNAMENT,R. MONTGOMERY,Our Young Folk's Weekly Budget,"June 3, 1882",London England,
DX1901056606,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"June 10, 1882",London England,
DX1901056721,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 8, 1882",London England,
DX1901056747,RIDDLE TOURNAMENT,ALEX S. Glasgow,Our Young Folk's Weekly Budget,"July 15, 1882",London England,
DX1901056774,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 22, 1882",London England,
DX1901056802,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 29, 1882",London England,
DX1901056830,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"August 5, 1882",London England,
DX1901056888,RIDDLE TOURNAMENT,DAMON / PYTHIAS,Our Young Folk's Weekly Budget,"August 19, 1882",London England,
DX1901056917,RIDDLE TOURNAMENT,L. E. M.,Our Young Folk's Weekly Budget,"August 26, 1882",London England,
DX1901056941,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 2, 1882",London England,
DX1901057030,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 23, 1882",London England,
DX1901057073,RIDDLE TOURNAMENT,M. F. GERAN,Our Young Folk's Weekly Budget,"September 30, 1882",London England,
DX1901057095,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 7, 1882",London England,
DX1901057120,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 14, 1882",London England,
DX1901057146,RIDDLE TOURNAMENT,MARION TAYLOR,Our Young Folk's Weekly Budget,"October 21, 1882",London England,
DX1901057166,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 28, 1882",London England,
DX1901057233,RIDDLE TOURNAMENT,H. R. Kennington PRESTON,Our Young Folk's Weekly Budget,"November 18, 1882",London England,
DX1901057257,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"November 25, 1882",London England,
DX1901057285,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 2, 1882",London England,
DX1901057314,RIDDLE TOURNAMENT,H. R. PRESTON,Our Young Folk's Weekly Budget,"December 9, 1882",London England,
DX1901057369,RIDDLE TOURNAMENT,DARK KNIGHT,Our Young Folk's Weekly Budget,"December 23, 1882",London England,
DX1901057413,RIDDLE TOURNAMENT,F. WALLIS,Our Young Folk's Weekly Budget,"December 30, 1882",London England,
DX1901057478,RIDDLE TOURNAMENT,Schorncliffe AMY BOEHMER,Our Young Folk's Weekly Budget,"January 13, 1883",London England,
DX1901057505,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 20, 1883",London England,
DX1901057532,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 27, 1883",London England,
DX1901057558,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 3, 1883",London England,
DX1901057586,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 10, 1883",London England,
DX1901057612,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 17, 1883",London England,
DX1901057682,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 10, 1883",London England,
DX1901057733,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 24, 1883",London England,
DX1901057780,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 31, 1883",London England,
DX1901057861,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 21, 1883",London England,
DX1901057888,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 28, 1883",London England,
DX1901057917,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 5, 1883",London England,
DX1901057993,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 26, 1883",London England,
DX1901058094,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"June 23, 1883",London England,
DX1901058131,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"June 30, 1883",London England,
DX1901058156,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 7, 1883",London England,
DX1901058179,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 14, 1883",London England,
DX1901058247,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"August 4, 1883",London England,
DX1901058271,RIDDLE TOURNAMENT,C. F. BARKER,Our Young Folk's Weekly Budget,"August 11, 1883",London England,
DX1901058349,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 1, 1883",London England,
DX1901058373,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 8, 1883",London England,
DX1901058435,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 22, 1883",London England,
DX1901058462,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 29, 1883",London England,
DX1901058510,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 13, 1883",London England,
DX1901058579,RIDDLE TOURNAMENT,F. W. MILES,Our Young Folk's Weekly Budget,"November 3, 1883",London England,
DX1901058598,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"November 10, 1883",London England,
DX1901058701,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 8, 1883",London England,
DX1901058742,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 22, 1883",London England,
DX1901058817,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 29, 1883",London England,
DX1901058872,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 12, 1884",London England,
DX1901058893,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 19, 1884",London England,
DX1901058981,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 16, 1884",London England,
DX1901059003,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 23, 1884",London England,
DX1901059026,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 1, 1884",London England,
DX1901059048,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 8, 1884",London England,
DX1901059071,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 15, 1884",London England,
DX1901059097,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 22, 1884",London England,
DX1901059141,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 5, 1884",London England,
DX1901059166,RIDDLE TOURNAMENT,ACROSTICON,Our Young Folk's Weekly Budget,"April 12, 1884",London England,
DX1901059188,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 19, 1884",London England,
DX1901059224,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 3, 1884",London England,
DX1901059309,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 31, 1884",London England,
DX1901059462,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"July 19, 1884",London England,
DX1901059511,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"August 2, 1884",London England,
DX1901059531,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"August 9, 1884",London England,
DX1901059551,RIDDLE TOURNAMENT,F. J. HODGES,Our Young Folk's Weekly Budget,"August 16, 1884",London England,
DX1901059610,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 6, 1884",London England,
DX1901059628,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 13, 1884",London England,
DX1901059647,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 20, 1884",London England,
DX1901059666,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"September 27, 1884",London England,
DX1901059709,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"October 11, 1884",London England,
DX1901059808,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"November 8, 1884",London England,
DX1901059937,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 13, 1884",London England,
DX1901059959,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 20, 1884",London England,
DX1901060359,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"November 15, 1879",London England,
DX1901060494,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 27, 1879",London England,
DX1901060533,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 1, 1888",London England,
DX1901060594,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 29, 1888",London England,
DX1901060640,RIDDLE TOURNAMENT,Glasgow R. WATT,Our Young Folk's Weekly Budget,"January 5, 1889",London England,
DX1901060680,RIDDLE TOURNAMENT,S. DE BEAR,Our Young Folk's Weekly Budget,"January 12, 1889",London England,
DX1901060731,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 19, 1889",London England,
DX1901060775,RIDDLE TOURNAMENT,ROBERTO / FALCONER,Our Young Folk's Weekly Budget,"January 26, 1889",London England,
DX1901060811,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 2, 1889",London England,
DX1901060852,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 9, 1889",London England,
DX1901060945,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 23, 1889",London England,
DX1901060982,RIDDLE TOURNAMENT,DIANA R. O'D,Our Young Folk's Weekly Budget,"March 2, 1889",London England,
DX1901061020,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 9, 1889",London England,
DX1901061115,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 23, 1889",London England,
DX1901061150,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 30, 1889",London England,
DX1901061203,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 6, 1889",London England,
DX1901061250,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 13, 1889",London England,
DX1901061297,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 20, 1889",London England,
DX1901061345,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 27, 1889",London England,
DX1901063169,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 2, 1886",London England,
DX1901063218,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 9, 1886",London England,
DX1901063267,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 16, 1886",London England,
DX1901063326,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 23, 1886",London England,
DX1901063385,RIDDLE TOURNAMENT,"W. PICKERING, Priestfield",Our Young Folk's Weekly Budget,"January 30, 1886",London England,
DX1901063439,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 6, 1886",London England,
DX1901063488,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 13, 1886",London England,
DX1901063538,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 20, 1886",London England,
DX1901063586,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 27, 1886",London England,
DX1901063641,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 6, 1886",London England,
DX1901063688,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 13, 1886",London England,
DX1901063737,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 20, 1886",London England,
DX1901063778,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 27, 1886",London England,
DX1901063829,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 3, 1886",London England,
DX1901063870,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 10, 1886",London England,
DX1901063909,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 17, 1886",London England,
DX1901063956,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 24, 1886",London England,
DX1901063998,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 1, 1886",London England,
DX1901064040,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 8, 1886",London England,
DX1901064087,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 15, 1886",London England,
DX1901064134,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"May 22, 1886",London England,
DX1901064179,RIDDLE TOURNAMENT,M. F. GERAN,Our Young Folk's Weekly Budget,"May 29, 1886",London England,
DX1901064222,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"December 1, 1887",London England,
DX1901064370,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 10, 1885",London England,
DX1901064408,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 17, 1885",London England,
DX1901064445,RIDDLE TOURNAMENT,F. SMITH,Our Young Folk's Weekly Budget,"January 24, 1885",London England,
DX1901064479,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"January 31, 1885",London England,
DX1901064511,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 7, 1885",London England,
DX1901064551,RIDDLE TOURNAMENT,ARCHER R. Kentish Town,Our Young Folk's Weekly Budget,"February 14, 1885",London England,
DX1901064596,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 21, 1885",London England,
DX1901064651,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"February 28, 1885",London England,
DX1901064697,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 7, 1885",London England,
DX1901064749,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 14, 1885",London England,
DX1901064793,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 21, 1885",London England,
DX1901064843,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"March 28, 1885",London England,
DX1901064892,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 4, 1885",London England,
DX1901064937,RIDDLE TOURNAMENT,,Our Young Folk's Weekly Budget,"April 11, 1885",London England,
