,Unnamed: 0,Unnamed: 0.1,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number,Corrosponding eBOF riddle
109,109,109,UR_352,Sweets to the Sweet / Sweets for the Sweet,,"The Goodland republic March 04, 1898; Fort Pierce news April 22, 1910; The Phoenix Pioneer March 07, 1903; The Morning Albertan September 20, 1909; ",,,These are all playing on Shakespeare Quotes,,4.0,
110,110,110,UR_353,I Found him Under a Tree like a Dropped ? ,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
111,111,111,UR_354,"??, Fair Ladies",,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
112,112,112,UR_355,(Golden) Gossip,,"Arizona republican March 05, 1903; Olds Gazette January 26, 1923; ",,,,,2.0,
113,113,113,UR_356,Hardshell Baptists,,"Arizona republican March 05, 1903",,,,,1.0,
114,114,114,UR_357,Lovers Like Them,,"Arizona republican March 05, 1903; The daily telegram August 28, 1908;",,,,,3.0,
115,115,115,UR_358,Pacific Islands,,"Arizona republican March 05, 1903",,,,,1.0,
116,116,116,UR_359,(Causes) Neighborhood Contention,"Chicken (The Medina Tribune November 15, 1894;)","Arizona republican March 05, 1903; The Red Cloud chief May 03, 1901; Evening times-Republican October 10, 1906; The Saint Paul globe October 09, 1896; Evening times-Republican October 10, 1906; Belmont Chronicle December 10, 1891; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Paducah daily sun February 12, 1898; The Bellefontaine Republican January 07, 1902; Willmar tribune April 20, 1897; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892;",,,,,15.0,
117,117,117,UR_360,Spring Chicken,,"Arizona republican March 05, 1903",,,,,1.0,
118,118,118,UR_361,Irish Apple Sauce,,"Arizona republican March 05, 1903",,,,,1.0,
119,119,119,UR_362,Youth's Sweetness,,"Arizona republican March 05, 1903",,,,,1.0,
120,120,120,UR_363,Gilt Edge,,"Arizona republican March 05, 1903",,,,,1.0,
121,121,121,UR_364,Upper Crust,,"Arizona republican March 05, 1903",,,,,1.0,
122,122,122,UR_365,Public Squares,,"Arizona republican March 05, 1903",,,,,1.0,
123,123,123,UR_366,Indian Food,,"Arizona republican March 05, 1903",,,,,1.0,
124,124,124,UR_367,Brazillian Ale / Beverage / Bean Juice / Stimulant,Coffee,"Arizona republican March 05, 1903; The Newport Miner June 10, 1909; St Johnsbury Caledonian September 27, 1911; The silver blade March 06, 1903; Morning journal and courier February 24, 1893; The County Review Riverhead May 18, 1923; Facts and Fallacies March 23, 1916;",,,,,8.0,
125,125,125,UR_368,Pap's Best,,"Arizona republican March 05, 1903",,,,,1.0,
126,126,126,UR_369,Extra Dry,,"Arizona republican March 05, 1903",,,,,1.0,
127,127,127,UR_370,Unfailing Dessert,,"Arizona republican March 05, 1903; Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,4.0,
128,128,128,UR_371,Joan of Arc,,"Alma record February 17, 1910",,,,,1.0,
129,129,129,UR_372,Summer Boys,,"Alma record February 17, 1910",,,,,1.0,
130,130,130,UR_373,Gritty Maidens / Women of Grit,Sandwiches,"Alma record February 17, 1910; The Red Cloud chief May 03, 1901; Evening times-Republican October 10, 1906; Omaha daily bee December 17, 1893; Audubon County journal October 30, 1913; Kansas City journal March 05, 1899; Corvallis Gazette March 09, 1906; Grand Rapids herald May 15, 1892; Evening times-Republican October 10, 1906; The Newtown bee November 24, 1893; Virginian-Pilot October 25, 1899; Norwich bulletin October 20, 1910; Evening journal June 05, 1913; The Madisonian February 22, 1896;  The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Dickinson press February 13, 1892; Mrs. Grundy February 12, 1914; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; Las Vegas free press April 09, 1892; The Bemidji pioneer April 16, 1903; The Bellefontaine Republican January 07, 1902; The Columbian April 26, 1892; The Press October 29, 1891; The Daily Sentinel April 14, 1900; Ithaca Daily Journal September 28, 1898; The Medina Tribune November 08, 1894; Watertown Times December 02, 1891; The Phoenix Pioneer March 07, 1903; The Daily News Batavia November 11, 1892; The East Hampton Star November 18, 1898; Cortland Standard February 19, 1901; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894
",,,Elsewhere solved as Sandwiches,,37.0,
131,131,131,UR_374,An Ugly Beast,,"Alma record February 17, 1910",,,,,1.0,
132,132,132,UR_375,Soldier's Home,Tent?,"Alma record February 17, 1910",,,,,1.0,UR_47
133,133,133,UR_376,Dominity of Cook,,"Alma record February 17, 1910",,,,,1.0,
134,134,134,UR_377,Relic of War,,"Alma record February 17, 1910",,,,,1.0,
135,135,135,UR_378,The Best of All / The Best Thing in the World,Cream?,"Alma record February 17, 1910; The State Rights Democrat April 03, 1891;",,,,,3.0,UR_238
136,136,136,UR_379,A Dutch Dream / Treaty / A Dutchman’s Delight,Something-Orange?,"Alma record February 17, 1910; The Evening Gazette Port Jarvis May 23, 1923; The Kingsville Reporter January 8, 1931; ",,,,,3.0,UR_20
137,137,137,UR_380,(The Joy of an American Boy on the) Fourth of July (Joy),,"Alma record February 17, 1910; Bellows Falls times May 02, 1901; Evening journal June 05, 1913; The aegis & intelligencer December 16, 1892;",,,,,5.0,
138,138,138,UR_381,A Delightful Couple,Pear?,"Alma record February 17, 1910",,,,,1.0,UR_93
139,139,139,UR_382,Summer Girls (Joy),,"Alma record February 17, 1910; The Morning Albertan September 20, 1909; ",,,,,2.0,
140,140,140,UR_383,Old Maid's (Old Ladies') (Spinster's) (Woman's) Consolation / Comfort / Delight / Solace ,Tea? (Sometimes written in the same riddle as Boston's Overthrow),"Alma record February 17, 1910; Williston graphic April 03, 1896; The Newport Miner June 10, 1909; The daily morning journal and courier March 11, 1901; The Mt. Sterling advocate June 16, 1896; Morning journal and courier May 21, 1894; The Ravalli Republican February 24, 1897; Hot Springs Weekly Star January 23, 1903; The Daily Journal April 23, 1903; The Bellefontaine Republican January 07, 1902; The Phoenix Pioneer March 07, 1903; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910; Penn Yan Express March 16, 1892; Norwood News January 27, 1903; On the St. Lawrence and Clayton Independent September 20, 1895; Sag-Harbor Express March 04, 1909; The Daily Leader Gloversville November 17, 1892; The Malone Palladium November 03, 1892; The Northern Advance April 7, 1898; The Kingsville Reporter January 8, 1931; ",,,,,21.0,
141,141,141,UR_384,A Member of the Smart Set,,"Alma record February 17, 1910",,,,,1.0,
142,142,142,UR_385,Something that Belonged to Noah,,"Alma record February 17, 1910",,,,,1.0,
143,143,143,UR_386,What You May have Been in,,"Alma record February 17, 1910",,,,,1.0,
144,144,144,UR_387,What Site was in Old Kentucky,,"Alma record February 17, 1910",,,,,1.0,
145,145,145,UR_388,Nothing with Something Around it,,"Alma record February 17, 1910",,,,,1.0,
146,146,146,UR_389,Imports from North Poles,,"Alma record February 17, 1910",,,,,1.0,
147,147,147,UR_390,What We All are at Times,,"Alma record February 17, 1910",,,,,1.0,
148,148,148,UR_391,A Household Necessity,,"Alma record February 17, 1910",,,,,1.0,
149,149,149,UR_392,What We all Hope to do Again,,"Alma record February 17, 1910",,,,,1.0,
150,150,150,UR_393,Preserved in the Ark / One Who Embarked in the Ark / Inhabitant of the Ark,Ham,"Omaha daily bee February 20, 1891; Omaha daily bee December 17, 1893; Kansas City journal March 05, 1899; The Saint Paul globe October 09, 1896; The Herald-Advance May 06, 1892; The aegis & intelligencer December 16, 1892; The Dickinson press February 13, 1892; Las Vegas free press April 09, 1892; The State Rights Democrat April 03, 1891; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; The morning call January 16, 1893; Ithaca Daily Journal September 28, 1898; Wyoming County Times Warsaw March 17, 1892; Chatham Courier February 26, 1913; The East Hampton Star November 18, 1898; The Elizabethtown Post November 23, 1893;",,,,,18.0,
151,151,151,UR_394,Dissolved Diamonds,Carrot-soup?,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,3.0,
152,152,152,UR_395,Support of Age,,"Ca√±on City record March 30, 1899",,,,,1.0,
153,153,153,UR_396,Pearl of the Orient,,"Ca√±on City record March 30, 1899",,,,,1.0,
154,154,154,UR_397,Crystallized Odors,,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,3.0,
155,155,155,UR_398,Ambrosia,,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,3.0,
156,156,156,UR_399,Nymph's Luncheon,,"Ca√±on City record March 30, 1899; The Red Cloud chief May 03, 1901;",,,,,3.0,
157,157,157,UR_400,Small Boy's Stand-by,,"Ca√±on City record March 30, 1899",,,,,1.0,
158,158,158,UR_401,Snow Flakes,,"Ca√±on City record March 30, 1899",,,,,1.0,
159,159,159,UR_402,Infant's Delight / A Child's Delight / A Baby’s Delight,Milk?,"Ca√±on City record March 30, 1899; Fergus County argus May 18, 1904; Olds Gazette January 26, 1923; ",,Drinks,,,3.0,
160,160,160,UR_403,Sylvan Sweetness,,"Ca√±on City record March 30, 1899",,,,,1.0,
161,161,161,UR_404,Dyspepeia's Forerunner,,"Ca√±on City record March 30, 1899",,,,,1.0,
162,162,162,UR_405,Hard Tack / Tuck?,,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,3.0,
163,163,163,UR_406,"Cupid's / Cherub's / Rations / Hearts Ease / Young Lovers all, of Every Nation Ever Delight in Cupid's Ration",Pickles,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899; The Holbrook news August 06, 1920; Deming graphic February 18, 1910; Oxford Democrat January 05, 1909;",,,,,6.0,
164,164,164,UR_407,Concentrated Nectar,,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899;",,,,,3.0,
165,165,165,UR_408,Crutch of Existence / Creation,,"Ca√±on City record March 30, 1899; Albuquerque daily citizen April 15, 1899; The true northerner April 05, 1895 ;",,,,,4.0,
166,166,166,UR_409,Trimmed Molasses,,"Ca√±on City record March 30, 1899",,,,,1.0,
167,167,167,UR_410,Coffee,Not Riddle?,"Ca√±on City record March 30, 1899",,,,,1.0,
168,168,168,UR_411,Doughnuts,Not Riddle?,"Ca√±on City record March 30, 1899",,,,,1.0,
169,169,169,UR_412,Amber Nectar,,"Bellows Falls times May 02, 1901",,,,,1.0,
170,170,170,UR_413,What Women Need Most,,"Bellows Falls times May 02, 1901; The Madisonian February 22, 1896;",,,,,3.0,
171,171,171,UR_414,Chip of(f) the Old Block,"Toothpicks (consistent except for one CS which solves it as Chipped Ham, Chatham Courier February 26, 1913;)","Bellows Falls times May 02, 1901; The daily telegram August 28, 1908; Omaha daily bee December 17, 1893; Audubon County journal October 30, 1913; St Johnsbury Caledonian September 27, 1911; The Saint Paul globe October 09, 1896; The Madisonian February 22, 1896; Mrs. Grundy February 12, 1914; Fort Pierce news April 22, 1910; The Daily Sentinel April 14, 1900; Sherbrooke Daily Record February 04, 1911; The Phoenix Pioneer March 07, 1903; Chatham Courier February 26, 1913; The Morning Albertan September 20, 1909; The Northern Advance April 7, 1898; The Newmarket Era November 5, 1906; ",,,,,16.0,
172,172,172,UR_415,Extract of Cane / Cane Fruits,Sugar plums,"Bellows Falls times May 02, 1901; Virginian-Pilot October 25, 1899; Ithaca Daily Journal September 28, 1898; The East Hampton Star November 18, 1898;",,,,,5.0,
173,173,173,UR_416,Sour Solidity / Preperation of Sour Perfection,,"Bellows Falls times May 02, 1901; The Bemidji pioneer April 16, 1903;",,,,,3.0,
174,174,174,UR_417,(Liquid) Bovine Lacteal / Food / Relish / Extract?,,"Bellows Falls times May 02, 1901; The Newport Miner June 10, 1909; St Johnsbury Caledonian September 27, 1911; The Herald-Advance May 06, 1892; The Madisonian February 22, 1896; The Newtown bee August 31, 1894; The Dickinson press February 13, 1892; The Daily Leader Gloversville November 17, 1892; Facts and Fallacies March 23, 1916; The Elizabethtown Post November 23, 1893;",,,,,11.0,
175,175,175,UR_418,Necessary Evils,,"Bellows Falls times May 02, 1901; The Elizabethtown Post November 23, 1893;",,,,,3.0,
176,176,176,UR_419,"Eve's Temptation (Sandwiched) / The First Temptation, Baked",Apples,"Bellows Falls times May 02, 1901; St Johnsbury Caledonian September 27, 1911; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910;",,,,,5.0,UR_27
177,177,177,UR_420,Agitated Fluid of Kine,,"Bellows Falls times May 02, 1901",,,,,1.0,
178,178,178,UR_421,Colored Staff,,"Bellows Falls times May 02, 1901; Omaha daily bee December 17, 1893;",,Main,,,3.0,
179,179,179,UR_422,Jack Grab,,"Bellows Falls times May 02, 1901",,,,,1.0,
180,180,180,UR_423,Nightmare Incubator / Nightmare,,"Bellows Falls times May 02, 1901; The Portland daily press November 22, 1895; Sherbrooke Daily Record February 04, 1911;",,,,,4.0,
181,181,181,UR_424,The Hub's Specialty / Fruit of the Hub / A Characteristic of the Hub,,"Bellows Falls times May 02, 1901; The Newport Miner June 10, 1909; The Brookfield Courier March 02, 1898;",,,,,4.0,
182,182,182,UR_425,Whetstone for the Wits,,"Bellows Falls times May 02, 1901",,,,,1.0,
183,183,183,UR_426,A Well-Produced Article,,"Bellows Falls times May 02, 1901",,,,,1.0,
184,184,184,UR_427,Covered Surprise,,"Bellows Falls times May 02, 1901",,,,,1.0,
185,185,185,UR_428,O' Baked,Doughnuts?,"The Red Cloud chief May 03, 1901",,,,,1.0,
186,186,186,UR_429,Food / Fruit for / of the Spinning Wheel,Rolls,"The Red Cloud chief May 03, 1901; Evening times-Republican October 10, 1906; The Saint Paul globe October 09, 1896; Evening times-Republican October 10, 1906; Norwich bulletin October 20, 1910; Belmont Chronicle December 10, 1891; St. Johnsbury Caledonian February 21, 1896; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Dickinson press February 13, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; Burlington Weekly Free Press January 26, 1893; The Daily Journal April 23, 1903; The Columbian April 26, 1892; The Press October 29, 1891; The Medina Tribune November 08, 1894; Watertown Times December 02, 1891; The Daily News Batavia November 11, 1892; The Malone Palladium November 03, 1892; The Elizabethtown Post November 23, 1893;",,,,,22.0,
187,187,187,UR_430,First Age of Mankind,,"The Red Cloud chief May 03, 1901",,,,,1.0,
188,188,188,UR_431,Pat's Delight,,"The Red Cloud chief May 03, 1901",,,,,1.0,
189,189,189,UR_432,What Asthmatic People Are,Coffee (Cough-y),"The Red Cloud chief May 03, 1901; Evening times-Republican October 10, 1906; The Saint Paul globe October 09, 1896; Evening times-Republican October 10, 1906; Evening Capital Journal March 26, 1892; Virginian-Pilot October 25, 1899; The Pensacola journal February 24, 1907; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892;  The Paducah daily sun February 12, 1898; The herald February 17, 1893; The Bemidji pioneer April 16, 1903; St. Paul daily globe January 04, 1892; The morning call January 16, 1893; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892; The Northern Advance April 7, 1898; ",,,,,18.0,
190,190,190,UR_433,A Joke with the First Letter Changed,,"The daily telegram August 28, 1908",,,,,1.0,
191,191,191,UR_434,Another Name for a Goat / The Goat / A Playful Nanny Goat / A Goat,"Butter (from Chatham Courier February 26, 1913;)","The daily telegram August 28, 1908; Williston graphic April 03, 1896; The Rice belt journal March 17, 1916; St Johnsbury Caledonian September 27, 1911; Fergus County argus May 18, 1904; The Harlowton news August 05, 1910; Fort Pierce news April 22, 1910; Chatham Courier February 26, 1913;",,,,,9.0,
192,192,192,UR_435,A Cure for Love / Lover's Antidote,Pickles,"The daily telegram August 28, 1908; Corvallis Gazette March 09, 1906; The Florida agriculturist August 29, 1906;",,,,,4.0,
193,193,193,UR_436,A Greek Letter,Pie?,"The daily telegram August 28, 1908",,,,,1.0,
194,194,194,UR_437,A Letter with an 'ake' / A Letter which Burdens (Ache),Cake?,"The daily telegram August 28, 1908; The Bemidji pioneer April 16, 1903;",,,,,3.0,
195,195,195,UR_438,What a Man Doesn't Like in His Wife,Pepper,"The daily telegram August 28, 1908",,,,,1.0,
196,196,196,UR_439,A Girl's Name with an 'ad',,"The daily telegram August 28, 1908; Corvallis Gazette March 09, 1906; Grand Rapids herald May 15, 1892; Norwich bulletin October 20, 1910; The Columbian April 26, 1892;",,,,,6.0,
197,197,197,UR_440,Shavings from a Summer Resort,,"The daily telegram August 28, 1908",,,,,1.0,
198,198,198,UR_441,What I do when I see a Mouse / hurt my finger,Ice Cream,"The daily telegram August 28, 1908; The Newtown bee November 24, 1893; The Malone Palladium November 03, 1892;",,,,,4.0,
199,199,199,UR_442,The Twentieth Letter in the Alphabet,Tea,"The daily telegram August 28, 1908",,,,,1.0,
200,200,200,UR_443,Rise of the Miller,,"Crawford avalanche September 08, 1892",,,,,1.0,
201,201,201,UR_444,Calve's Relatives,,"Crawford avalanche September 08, 1892",,,,,1.0,
202,202,202,UR_445,Rolling Stock,,"Crawford avalanche September 08, 1892",,,,,1.0,
203,203,203,UR_446,Improvisioned Cacklers,,"Crawford avalanche September 08, 1892",,,,,1.0,
204,204,204,UR_447,Age of Vehicles,,"Crawford avalanche September 08, 1892",,,,,1.0,
205,205,205,UR_448,Tabby's Party,Cat-sup ,"Crawford avalanche September 08, 1892; Corvallis Gazette March 09, 1906; Grand Rapids herald May 15, 1892; Juniata Sentinel and Repbulican May 18, 1892; Virginian-Pilot October 25, 1899; Belmont Chronicle December 10, 1891; Fort Worth Gazette February 05, 1892; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; The Daily Sentinel April 14, 1900; Wyoming County Times Warsaw March 17, 1892; The Northern Advance April 7, 1898; ",,,,,12.0,
206,206,206,UR_449,Of the Wood Pile,,"Crawford avalanche September 08, 1892",,,,,1.0,
207,207,207,UR_450,Strikers,,"Crawford avalanche September 08, 1892",,,,,1.0,
208,208,208,UR_451,Earth's Creepers,,"Crawford avalanche September 08, 1892",,,,,1.0,
209,209,209,UR_452,Occupants of the Ark / What They had in the Ark / What Noah Took in the Ark,Pears,"Crawford avalanche September 08, 1892; Las Vegas free press April 09, 1892; The Daily News Batavia November 11, 1892;",,,,,4.0,
210,210,210,UR_453,Forbidden Fruit (and Mixed Type),Apples?,"Crawford avalanche September 08, 1892; The Ravalli Republican February 24, 1897; The Bemidji pioneer April 16, 1903;",,,,,4.0,
211,211,211,UR_454,Risen Sweets,,"Crawford avalanche September 08, 1892",,,,,1.0,
212,212,212,UR_455,Skippers' Home / Harbor / Delight,"Cheese (The Jersey City news January 20, 1894; ) / Port?","Crawford avalanche September 08, 1892; The Saint Paul globe October 09, 1896; Juniata Sentinel and Repbulican May 18, 1892; Fergus County argus May 18, 1904; The Madisonian February 22, 1896; The Jersey City news January 20, 1894; The Daily Journal April 23, 1903; The Columbian April 26, 1892; The Daily Telegram, Nanaimo December 12, 1893; The Phoenix Pioneer March 07, 1903; Wyoming County Times Warsaw March 17, 1892; Chatham Courier February 26, 1913; Norwood News January 27, 1903; The Daily News Batavia February 19, 1914; Facts and Fallacies March 23, 1916; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894; 
",,,,,18.0,
213,213,213,UR_456,Nerve Strengthener,,"Crawford avalanche September 08, 1892",,,,,1.0,
214,214,214,UR_457,Arabian Cordial / Fragrant Beans from Arabia / Cordial Cheer / Arabian Nectar and Bossy's Best / Fragrant Beans from Java,Coffee,"Crawford avalanche September 08, 1892; Kansas City journal March 05, 1899; The Portland daily press November 22, 1895; Perrysburg Journal November 21, 1891; Oxford Democrat January 05, 1909; Ithaca Daily Journal September 28, 1898; Chatham Courier February 26, 1913; The East Hampton Star November 18, 1898; The Daily News Batavia February 19, 1914; The Gilboa Monitor October 07, 1897;",,,,,11.0,
215,215,215,UR_458,Ivory Manipulators / Wooden Manipulators,Toothpicks,"Crawford avalanche September 08, 1892; The daily morning journal and courier March 11, 1901; Audubon County journal October 30, 1913; The Saint Paul globe October 09, 1896; Juniata Sentinel and Repbulican May 18, 1892; Fergus County argus May 18, 1904; Virginian-Pilot October 25, 1899; The Herald-Advance May 06, 1892; The Pensacola journal February 24, 1907; Morning journal and courier February 24, 1893; The Dickinson press February 13, 1892; The Bemidji pioneer April 16, 1903; St. Paul daily globe January 04, 1892; Willmar tribune April 20, 1897; The Press October 29, 1891; The Daily Telegram, Nanaimo December 12, 1893; The Amherstburg Echo March 2, 1894; The Newmarket Era November 5, 1906; ",,Drinks,,,18.0,
216,216,216,UR_459,What a Boy Calls his Sweetheart,Honey,"Evening times-Republican October 10, 1906; The record-union March 15, 1892; Corvallis Gazette March 09, 1906; Evening times-Republican October 10, 1906; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; Las Vegas free press April 09, 1892; The Columbian April 26, 1892; The Daily Sentinel April 14, 1900; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892; The Elizabethtown Post November 23, 1893;",,,,,18.0,
217,217,217,UR_460,What Caused / Occasioned the Fall of Mankind / Man's Downfall / Adam's Fall,Apples?,"Evening times-Republican October 10, 1906; Audubon County journal October 30, 1913; St Johnsbury Caledonian September 27, 1911; Evening times-Republican October 10, 1906; The Portland daily press November 22, 1895; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; The Paducah daily sun February 12, 1898; The Medina Tribune November 08, 1894; The Daily News Batavia November 11, 1892; Facts and Fallacies March 23, 1916;",,,,,12.0,
218,218,218,UR_461,Changeable Politicians / What the Politicians Are,"Turnovers / Milk (Chatham Courier February 26, 1913;)","Evening times-Republican October 10, 1906; Evening times-Republican October 10, 1906; Belmont Chronicle December 10, 1891; St. Johnsbury Caledonian February 21, 1896; The Corvallis Gazette February 03, 1893; The Paducah daily sun February 12, 1898; The herald February 17, 1893; Chatham Courier February 26, 1913; The Daily News Batavia November 11, 1892; The Evening Gazette Port Jarvis May 23, 1923; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894; ",,,,,12.0,
219,219,219,UR_462,All Things / Same to All Men,,"Omaha daily bee December 17, 1893; The Herald-Advance May 06, 1892; Arizona weekly journal-miner February 17, 1892; The Press October 29, 1891; The Elizabethtown Post November 23, 1893;",,,,,6.0,
220,220,220,UR_463,Tearful Greeting,,"Omaha daily bee December 17, 1893",,Appetizer,,,1.0,
221,221,221,UR_464,What Shall We do with Langtry?,,"Omaha daily bee December 17, 1893; Belmont Chronicle December 10, 1891; Fort Worth Gazette February 05, 1892;",,Appetizer,,,4.0,
222,222,222,UR_465,What Mankind has been doing since Eve Ate the Apple,Stuffing / Pine-Apples?,"Omaha daily bee December 17, 1893; Virginian-Pilot October 25, 1899; Belmont Chronicle December 10, 1891; Fort Worth Gazette February 05, 1892; Arizona weekly journal-miner February 17, 1892; The Bellefontaine Republican January 07, 1902;",,Appetizer,,,7.0,UR_24
223,223,223,UR_466,Musical Cake / Musical Notes,Doughnuts? (Do - nuts),"Omaha daily bee December 17, 1893; Virginian-Pilot October 25, 1899; Belmont Chronicle December 10, 1891; St. Johnsbury Caledonian February 21, 1896; Willmar tribune April 20, 1897; The Morning Albertan September 20, 1909; The Northern Advance April 7, 1898; ",,Dessert,,,7.0,
224,224,224,UR_467,Maid of Orleans,Molasses Taffy,"Omaha daily bee December 17, 1893; The Rice belt journal March 17, 1916; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910; Wyoming County Times Warsaw March 17, 1892; Chatham Courier February 26, 1913; The Elizabethtown Post November 23, 1893; The Northern Advance April 7, 1898; ",,Dessert,,,10.0,
225,225,225,UR_468,Something Unearthly,,"Omaha daily bee December 17, 1893",,Dessert,,,1.0,
226,226,226,UR_469,One Kind of Nuts,,"Omaha daily bee December 17, 1893",,Dessert,,,1.0,
227,227,227,UR_470,Java La Grippe / Chinese La Grippe,,"Omaha daily bee December 17, 1893; The Portland daily press November 22, 1895; The State Rights Democrat April 03, 1891; The Bellefontaine Republican January 07, 1902;",,Drinks,,,5.0,
228,228,228,UR_471,Wise Beverage,,"Omaha daily bee December 17, 1893; The daily morning journal and courier March 11, 1901; Fergus County argus May 18, 1904; The Pensacola journal February 24, 1907; The Press October 29, 1891; The Elizabethtown Post November 23, 1893;",,Drinks,,,7.0,
229,229,229,UR_472,What Our Grandmothers used to Card,,"Williston graphic April 03, 1896; The Harlowton news August 05, 1910;",,,,,3.0,
230,230,230,UR_473,Condensed Curd / Squeezed Curd,,"Williston graphic April 03, 1896; The Harlowton news August 05, 1910; Hot Springs Weekly Star January 23, 1903; Oxford Democrat January 05, 1909;",,,,,5.0,
231,231,231,UR_474,Africa's Father,,"Williston graphic April 03, 1896",,,,,1.0,
232,232,232,UR_475,Printer's Aversion / Horror,Pie,"Williston graphic April 03, 1896; Corvallis Gazette March 09, 1906; The Phoenix Pioneer March 07, 1903; Gouverneur Free Press March 11, 1896; Sag-Harbor Express March 04, 1909;",,,,,6.0,
233,233,233,UR_476,Most Precious Mineral Mixture / Precious Stones,,"Williston graphic April 03, 1896; The Harlowton news August 05, 1910; The Northern Advance April 7, 1898; ",,,,,3.0,
234,234,234,UR_477,Graveyard Mixture,,"Williston graphic April 03, 1896",,,,,1.0,
235,235,235,UR_478,Sea-Shore Mixture,,"Williston graphic April 03, 1896",,,,,1.0,
236,236,236,UR_479,(Old) Bachelors' Comfort,Coffee,"Williston graphic April 03, 1896; The Ravalli Republican February 24, 1897; Hot Springs Weekly Star January 23, 1903; The Daily Journal April 23, 1903; The Columbian April 26, 1892; The Daily Telegram, Nanaimo December 12, 1893; On the St. Lawrence and Clayton Independent September 20, 1895; Sag-Harbor Express March 04, 1909; The Malone Palladium November 03, 1892; The Amherstburg Echo March 2, 1894
",,,,,10.0,
237,237,237,UR_480,(Sidewalk) Slippers,,"Williston graphic April 03, 1896; The Harlowton news August 05, 1910; Bradford Daily Telegraph September 26, 1903;",,,,,4.0,
238,238,238,UR_481,What Babies and Brides Receive,,"Williston graphic April 03, 1896",,,,,1.0,
239,239,239,UR_482,Eyed Fellows in Confusion,,"The true northerner April 05, 1895",,,,,1.0,
240,240,240,UR_483,??,,"The true northerner April 05, 1895",,,,,1.0,
241,241,241,UR_484,Cochin China Capsules,,"The true northerner April 05, 1895",,,,,1.0,
242,242,242,UR_485,?? Enemy,,"The true northerner April 05, 1895",,,,,1.0,
243,243,243,UR_486,"Picked from the Vine, Pressed, Left to Mould",,"The true northerner April 05, 1895",,,,,1.0,
244,244,244,UR_487,Celestial's Confection,,"The true northerner April 05, 1895",,,,,1.0,
245,245,245,UR_488,Beaten and Fried by Fire / Beaten to a Finish,,"The true northerner April 05, 1895; The Morning Albertan September 20, 1909; ",,,,,2.0,
246,246,246,UR_489,Enemy to Morpheus,Coffee?,"The true northerner April 05, 1895",,,,,1.0,
247,247,247,UR_490,Refused by the Colonials,,"The true northerner April 05, 1895",,,,,1.0,
248,248,248,UR_491,Nature's Greatest Need,Water?,"The true northerner April 05, 1895",,,,,1.0,
249,249,249,UR_492,Everybody's Friend,Toothpicks,"The true northerner April 05, 1895; The Columbian April 26, 1892; The Daily Telegram, Nanaimo December 12, 1893; Chatham Courier February 26, 1913; Cortland Standard February 19, 1901; The Amherstburg Echo March 2, 1894; ",,,,,6.0,
250,250,250,UR_493,The Way the Small Boy Goes Down Hill,Rolls?,"The Newport Miner June 10, 1909",,,,,1.0,
