,Unnamed: 0,Archive,Attendance,Contains_BOF,Newspaper Issue Date,Event_Date,Event_Location,Location,Newspaper,Notes,Organization_Hosting,Persons,Price_Event,Revenue,Unique_Reference_Number,MENU,Coordinates,Unnamed: 0.1,Date2,Library,Citation,File_Name
290,290.0,LOC Conundrum Social,,,"October 01, 1903",,Railroad Y.M.C.A rooms,"Marshalltown, Iowa",Evening times-Republican,,Christian Endeavor society of the First Baptist church,,,,,,"[-92.9123388, 42.0442545]",,,,,"Evening times-Republican October 01, 1903"
291,291.0,LOC Conundrum Social,,,"April 17, 1911",,,"Matawan, New Jersey",Peth Amboy evening news,Same event is referenced in the issue from April 17,Ladies of the Presbyterian church,,,,,,"[-74.2295891, 40.41483]",,,,,"Peth Amboy evening news April 17, 1911"
292,292.0,LOC Conundrum Social,,,"August 21, 1900",,Church,"Bismarck, North Dakota",Bismarck daily tribune,,Ladies of the Baptist Church,,,,,,"[-100.783739, 46.808327]",,,,,"Bismarck daily tribune August 21, 1900"
293,293.0,LOC Conundrum Social,,,"April 27, 1901",,Laurel house,"Laurel, Washington D.C.",Evening star,,Senior Epworth league,,,,,,"[-76.8483061, 39.0992752]",,,,,"Evening star April 27, 1901"
294,294.0,LOC Conundrum Social,,,"October 27, 1897",,M.E. church parlors,"Huntington, Ohio",The enterprise,Same event is referenced in the issue from November 03,Epworth league of the M.E. church,,,,,,"[-82.2209916, 41.1031097]",,,,,"The enterprise October 27, 1897"
295,295.0,LOC Conundrum Social,,,"April 29, 1896",,"Parsonage, on Marina street","Prescott, Arizona",Arizona weekly journal-miner,,Willing Workers of the United Brethren church,,,,,,"[-112.4687616, 34.5399962]",,,,,"Arizona weekly journal-miner April 29, 1896"
296,296.0,LOC Conundrum Social,,,"October 28, 1908",,,"Richmond, Indiana",The Richmond palladium and sun-telegram,,,,,,,,"[-84.8898521, 39.8286897]",,,,,"The Richmond palladium and sun-telegram October 28, 1908"
297,297.0,LOC Conundrum Social,,,"April 26, 1902",,Central Christian church,"St. Paul, Minnesota",The Saint Paul globe,,,,,,,,"[-93.1015026, 44.9504037]",,,,,"The Saint Paul globe April 26, 1902"
298,298.0,LOC Conundrum Social,,,"October 29, 1900",,M.E. church,"West Charleston, Vermont",Orleans County monitor,,,,,,,,"[-72.0595428, 44.8989366]",,,,,"Orleans County monitor October 29, 1900"
299,299.0,LOC Conundrum Social,,,"October 23, 1908",,School building,"Colfax, Washington",The Colfax gazette,,Y.P.S.C.E. of the First Baptist church,,,,,,"[-117.3643495, 46.8801655]",,,,,"The Colfax gazette October 23, 1908"
300,300.0,LOC Conundrum Social,,,"October 30, 1889",,"Residence of E.N. Brown, 1512 Harmon place","Saint Paul, Minnesota",St. Paul daily globe,Same event is referenced in the issue from November 3,Christian Endeavor society,,,,,,"[-93.1015026, 44.9504037]",,,,,"St. Paul daily globe October 30, 1889"
301,301.0,LOC Conundrum Social,,,"August 01, 1895",,,"Phillipsburg, Kansas",Phillipsburg herald,,Young People of the Second Methodist Protestant church,,,,,,"[-99.323985, 39.756121]",,,,,"Phillipsburg herald August 01, 1895"
302,302.0,LOC Conundrum Social,,,"October 23, 1892",,Second Methodist Protestant church,"Seattle, Washington",The Seattle post-intelligencer,Same event is referenced in the issue from October 24,,,,,,,"[-122.3300624, 47.6038321]",,,,,"The Seattle post-intelligencer October 23, 1892"
303,303.0,LOC Conundrum Social,,,"December 24, 1894",,Methodist church,"Omaha, Nebraska",Omaha daily bee,,Woman’s Relief corps,,,,,,"[-95.9383758, 41.2587459]",,,,,"Omaha daily bee December 24, 1894"
304,304.0,LOC Conundrum Social,,,"August 03, 1894",,Town hall,"Townshend, Vermont",Vermont phoenix,,,,,,,,"[-72.6675931, 43.0473014]",,,,,"Vermont phoenix August 03, 1894"
305,305.0,LOC Conundrum Social,,,"April 23, 1891",,Baptist church,"Pierre, South Dakota",Pierre weekly free press,,Ladies of the Presbyterian church,,,,,,"[-100.351185, 44.368305]",,,,,"Pierre weekly free press April 23, 1891"
306,306.0,LOC Conundrum Social,,,"April 22, 1903",,Residence of Mrs. Lizzie Fowler,"Stevensville, Montana",The Western news,,Junior Epworth league,,,,,,"[-114.094385, 46.510407]",,,,,"The Western news April 22, 1903"
307,307.0,LOC Conundrum Social,,,"August 06, 1897",,Town hall,"South Londonderry, Vermont",The Londonderry sifter,,Ladies of the Rebekah Relief association,,,,,,"[-72.8142644, 43.1928538]",,,,,"The Londonderry sifter August 06, 1897"
308,308.0,LOC Conundrum Social,,,"October 21, 1894",,Independent Order of Odd Fellows hall,"Omaha, Nebraska",Omaha daily bee,Same event is referenced in the issue from October 31,,,,,,,"[-95.9383758, 41.2587459]",,,,,"Omaha daily bee October 21, 1894"
309,309.0,LOC Conundrum Social,,,"August 09, 1905",,Residence of C.G. Mooney,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Ladies’ Aid society of the M.E. church,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian August 09, 1905"
310,310.0,LOC Conundrum Social,,,"September 08, 1892",,Opera house,"Grayling, Michigan",Crawford avalanche,Contains eBOF; same event is referenced in the issue from September 15,Young people of the Epworth league,,,,,"Menu: Rise of the Miller, Boston Relish, The lay of the last Minstrel, Calve's Relatives, Rolling Stock, Improvisioned Cacklers, Age of Vehicles, Tabby's party, ? Of the wood pile, Strikers, Earth's Creepers, Occupants of the Ark, Forbidden Fruit, Risen Sweets, Fruit of the Vine, Skippers' Home, Spring's Offering, Nerve Strenghtener, Arabian Cordial, Boston's Overthrow, Ivory Manipulators.","[-84.714637, 44.661517]",,,,,"Crawford avalanche September 08, 1892"
311,311.0,LOC Conundrum Social,,,"August 11, 1892",,Epworth hall,"Grand Rapids, Wisconsin",Wood County reporter,,Ladies of the First Baptist church,,,,,,"[-85.688559, 42.922927]",,,,,"Wood County reporter August 11, 1892"
312,312.0,LOC Conundrum Social,,,"October 20, 1893",,,"Sacramento, California",The record-union,,Rebekahs of Linden,,,,,,"[-121.4943996, 38.5815719]",,,,,"The record-union October 20, 1893"
313,313.0,LOC Conundrum Social,,,"September 08, 1898",,,"Mineral Point, Wisconsin",Mineral Point tribune,,,,,,,,"[-90.1842252, 42.8615791]",,,,,"Mineral Point tribune September 08, 1898"
314,314.0,LOC Conundrum Social,,,"October 20, 1893",,"Residence of Mr. W.W. Gardner’s, of Emsley","Emsley, South Dakota",The Mitchell capital,,Congregational Y.P.S.C.E.,,,,,,"[-98.14449555, 43.52460545]",,,,,"The Mitchell capital October 20, 1893"
315,315.0,LOC Conundrum Social,,,"September 11, 1891",,Church parlors,"Brattleboro, Vermont",Vermont phoenix,,,,,,,,"[-72.5578678, 42.8509152]",,,,,"Vermont phoenix September 11, 1891"
316,316.0,LOC Conundrum Social,,,"October 19, 1916",,Adamston United Brethren church,"Clarksburg, West Virginia",The daily telegram,Same event is referenced twice in the same issue,,,,,,,"[-80.3445341, 39.2806451]",,,,,"The daily telegram October 19, 1916"
317,317.0,LOC Conundrum Social,,,"August 16, 1894",,,"Bellows Falls, Vermont",Bellows Falls times,,,,,,,,"[-72.444534, 43.134063]",,,,,"Bellows Falls times August 16, 1894"
318,318.0,LOC Conundrum Social,,,"August 17, 1899",,Residence of Dana Rattles,"West Randolph, Vermont",Herald and news,,,,,,,,"[-72.666321, 43.925099]",,,,,"Herald and news August 17, 1899"
319,319.0,LOC Conundrum Social,,,"April 18, 1902",,Congregational church,"Watertown, Connecticut",Waterbury Democrat,,Teachers and pupils of Oak Shade school,,,,,,"[-73.1181658, 41.6062078]",,,,,"Waterbury Democrat April 18, 1902"
320,320.0,LOC Conundrum Social,,,"October 16, 1914",,Oak Shade schoolhouse,"Oak Shade, Ohio",Fulton County tribune,,Ladies of the Congregational church,,,,,,"[-82.0384751, 39.2259083]",,,,,"Fulton County tribune October 16, 1914"
321,321.0,LOC Conundrum Social,,,"October 16, 1890",,Parlors of the church,"Tolland, Connecticut",The Press,,,,,,,,"[-72.3562252, 41.818446]",,,,,"The Press October 16, 1890"
322,322.0,LOC Conundrum Social,,,"September 14, 1912",,,"Norwich, Connecticut",Norwich bulletin,,Church of the Endeavor(?),,,,,,"[-72.0759105, 41.5242649]",,,,,"Norwich bulletin September 14, 1912"
323,323.0,LOC Conundrum Social,,,"December 08, 1910",,Residence of Mr. and Mrs. _ F. Gilbert,"Cairo, Illinois",The Cairo bulletin,,Y.P.S.C.E.,,,,,,"[-89.1772449, 37.0057958]",,,,,"The Cairo bulletin December 08, 1910"
324,324.0,LOC Conundrum Social,,,"October 10, 1906",,G.V.A. hall,"Gilman, Iowa",Evening times-Republican,Contains eBOF,Railway Y.M.C.A.,,,,,"Unruly members, causes neighborhood contention, new England brains, food for the spinning wheel, what a boy calls his sweetheart, women of grit, what caused the fall of mankind, hidden tears, true cake, changeable politicans, what asthmatic people are, April's offering, Boston's overthrow.","[-92.7885874, 41.8794766]",,,,,"Evening times-Republican October 10, 1906"
325,325.0,LOC Conundrum Social,,,"December 17, 1903",,"Railway Y.M.C.A. hall, main street station","Fulton, Virginia",The times dispatch,,Sunday School,,,,,,"[-80.7117476, 40.0772948]",,,,,"The times dispatch December 17, 1903"
326,326.0,LOC Conundrum Social,,,"April 06, 1899",,,"Cañon City, Colorado",Cañon City record,,Epworth league of the First M.E. Church,,,,,,"[-105.2224947, 38.4423644]",,,,,"Cañon City record April 06, 1899"
327,327.0,LOC Conundrum Social,,,"November 19, 1895",,Church parlors,"Annapolis, Maryland",Evening capital,Contains a few eBOF dishes/riddles and a description of the event; same event is referenced in the issue from November 16,,,,,,,"[-76.492786, 38.9786401]",,,,,"Evening capital November 19, 1895"
328,328.0,LOC Conundrum Social,,,"November 22, 1898",,Seabrook,"Topeka, Kansas",The Topeka state journal,,,,,,,,"[-95.677556, 39.049011]",,,,,"The Topeka state journal November 22, 1898"
329,329.0,LOC Conundrum Social,,,,,Woodmen hall,"North Yakima, Washington",The Yakima herald,,Epworth league of the Washington street Methodist church,,,,,,"[-120.5108421, 46.601557]",,,,,The Yakima herald nan
330,330.0,LOC Conundrum Social,,,"November 22, 1891",,Residence of Rev. Pearson,"Phoenix, Arizona",Arizona republican,,R.F.O.M. Club,,,,,,"[-112.0773456, 33.4485866]",,,,,"Arizona republican November 22, 1891"
331,331.0,LOC Conundrum Social,,,,,Club rooms,"Harrisburg, Pennsylvania",The star-independent,,I.I. club of the Church of the Good Shepherd,,,,,,"[-76.8861122, 40.2663107]",,,,,The star-independent nan
332,332.0,LOC Conundrum Social,,,"November 21, 1903",,"Residence of Miss Heloise Green, 921 Harrison street","North Topeka, Kansas",The Topeka state journal,Same event is referenced in the issue from November 19,Ladies of the Greenbush Methodist church,,,,,,"[-97.334353, 37.718956]",,,,,"The Topeka state journal November 21, 1903"
333,333.0,LOC Conundrum Social,,,"November 21, 1901",,Greenbush church,"Princeton, Minnesota",The Princeton union,,,,,,,,"[-93.5853656, 45.5726619]",,,,,"The Princeton union November 21, 1901"
334,334.0,LOC Conundrum Social,,,"December 16, 1896",,Residence of Mrs. T. Varco,"Lansing, Minnesota",Mower County transcript,"Same event is referenced in the issue Mower County transcript, December 09, 1896",Young People of the Baptist church,,,,,,"[-92.9701918, 43.7452402]",,,,,"Mower County transcript December 16, 1896"
335,335.0,LOC Conundrum Social,,,"December 17, 1893",,Calvary Baptist church,"Omaha, Nebraska",Omaha daily bee,Contains eBOF,Epworth league,,,,,"Solids: Women of Grit, ? Staff, Preserved in the Ark, Unruly member, All Things to All Men, What Some People Don't Know. Appetizers: Tearful Greeting, Elevated Feline, What Shall We Do with Langiry? What Mankind Has Been Doing Since Eve Ate the Apple, Fruit of the Vine. Desert: Back Bone of History, Musical Cake, Maid of Orleans, Tree Cake, Something Unearthly, One Kind of Nuts. Drinks: Java la Grippe? Boston's Overthrow, Wise Beverage, Spring's Offering, Chip of the Old Block.","[-95.9383758, 41.2587459]",,,,,"Omaha daily bee December 17, 1893"
336,336.0,LOC Conundrum Social,,,"September 29, 1905",,"Residence of Mrs. D.J. Peppers, Bentley street","Perth Amboy, New Jersey",Perth Amboy evening news,,,,,,,,"[-74.2654234, 40.5067723]",,,,,"Perth Amboy evening news September 29, 1905"
337,337.0,LOC Conundrum Social,,,"November 21, 1900",,Unity church vestry,"Stowe, Vermont",Barre evening telegram,,,,,,,,"[-72.6860186, 44.4653741]",,,,,"Barre evening telegram November 21, 1900"
338,338.0,LOC Conundrum Social,,,"April 03, 1896",,Baptist church parlors,"Townshend, Vermont",Vermont phoenix,,Ladies’ Aid society of the M.E. church,,,,,,"[-72.6675931, 43.0473014]",,,,,"Vermont phoenix April 03, 1896"
339,339.0,LOC Conundrum Social,,,"April 03, 1896",,Church rooms,"Williston, North Dakota",Williston graphic,Contains eBOF; same event is referenced in the issue from March 20,Young People’s society of Christian Endeavor,,,,,"What our Grandmothers used to Card 5c, A Playful Nanny Goat 5c, Condensed Curd 5c, Prairie Produce 5c, Africa's Father 5c, Vegetable Compound 5c, Printers' Aversion 5c, Most Precious Mineral Mixture 5c, Graveyard Mixture 5c, Sea-Shore Mixture 5c, Bachelors' Comfort 5c, Old Maids' Comfort 5c, Sidewalk Slippers 5c, What Babies and Brides Receive 5c","[-103.621814, 48.1465457]",,,,,"Williston graphic April 03, 1896"
340,340.0,LOC Conundrum Social,,,"April 03, 1895",,United Presbyterian church,"Wichita, Kansas",The Wichita daily eagle,,Ladies of the Christian church,,,,,,"[-97.3375448, 37.6922361]",,,,,"The Wichita daily eagle April 03, 1895"
341,341.0,LOC Conundrum Social,,,"December 17, 1899",,,"Phoenix, Arizona",Arizona republican,,Y.P.S.C.E.,,,,,,"[-112.0773456, 33.4485866]",,,,,"Arizona republican December 17, 1899"
342,342.0,LOC Conundrum Social,,,"November 30, 1889",,First Presbyterian church,"Wichita, Kansas",Wichita eagle,,Ladies’ Auxillary,,,,,,"[-97.3375448, 37.6922361]",,,,,"Wichita eagle November 30, 1889"
343,343.0,LOC Conundrum Social,,,"December 17, 1903",,Railroad Y.M.C.A. rooms,"Marshalltown, Iowa",Evening times-Republican,Planned but canceled Conundrum social,,,,,,,"[-92.9123388, 42.0442545]",,,,,"Evening times-Republican December 17, 1903"
344,344.0,LOC Conundrum Social,,,"December 17, 1919",,Universalist church vestry,"St. Johnsbury, Vermont",Weekly Caledonian,,Mr. and Mrs. Powers,,,,,,"[-72.0150951, 44.4192249]",,,,,"Weekly Caledonian December 17, 1919"
345,345.0,LOC Conundrum Social,,,"December 18, 1891",,Residence of Mr. and Mrs. Powers,"Mt. Vernon, South Dakota",The Mitchell capital,,,,,,,,"[-98.260359, 43.710542]",,,,,"The Mitchell capital December 18, 1891"
346,346.0,LOC Conundrum Social,,,"December 20, 1900",,Residence of Mr. Lstten(?),"Abilene, Kansas",Abilene weekly reflector,,Ladies of the M.E. church,,,,,,"[-97.21377, 38.917252]",,,,,"Abilene weekly reflector December 20, 1900"
347,347.0,LOC Conundrum Social,,,"November 20, 1897",,Residence of Mrs. T.B. McElhiney,"Baxter Springs, Kansas",Baxter Springs news,,Young Men’s Christian Association,,,,,,"[-94.7355042, 37.0236759]",,,,,"Baxter Springs news November 20, 1897"
348,348.0,LOC Conundrum Social,,,"November 20, 1897",,Rooms of the Young Men’s Christian Association,"Sacramento, California",The record-union,Interesting description of the supper itself,Ladies Missionary society of the German M.E. church,,,,,,"[-121.4943996, 38.5815719]",,,,,"The record-union November 20, 1897"
349,349.0,LOC Conundrum Social,,,"September 29, 1898",,Church parlors,"Marietta, Ohio",Marietta daily leader,,Ladies of the Baptist church,,,,,,"[-81.4548392, 39.4167742]",,,,,"Marietta daily leader September 29, 1898"
350,350.0,LOC Conundrum Social,,,"April 05, 1895",,Church parlors,"Paw Paw, Michigan",The true northerner,Contains eBOF,Pupils of the High School,,,,,"Crutch of creation, Son of Noah, ? Eyed fellows in confusion, ?, Pride of Boston, Cochin China capsules, ? Enemy, Picked from the vine, pressed left to mould, Celestial's confection, Beaten and fried by fire, Enemy to morpheus, Refused by the colonials, Natures greatest need, Everybody's friend.","[-85.8911246, 42.2178171]",,,,,"The true northerner April 05, 1895"
351,351.0,LOC Conundrum Social,,,"December 22, 1911",,,"Bottineau, North Dakota",The Bottineau courant,,Miss Ida Diehl,,,,,,"[-100.445698, 48.82723]",,,,,"The Bottineau courant December 22, 1911"
352,352.0,LOC Conundrum Social,,,"September 28, 1905",,,"Hillsboro, Ohio",The News-Herald,,Choral society of First German church,,,,,,"[-83.611587, 39.2022866]",,,,,"The News-Herald September 28, 1905"
353,353.0,LOC Conundrum Social,,,"November 29, 1896",,Church,"St. Paul, Minnesota",The Saint Paul globe,,Y.P.S.C.E.,,,,,,"[-93.1015026, 44.9504037]",,,,,"The Saint Paul globe November 29, 1896"
354,354.0,LOC Conundrum Social,,,"November 18, 1896",,Church parlors,"St. Paul, Minnesota",The Saint Paul globe,Same event is referenced in the issue from November 15,Home Rebekah lodge,,,,,,"[-93.1015026, 44.9504037]",,,,,"The Saint Paul globe November 18, 1896"
355,355.0,LOC Conundrum Social,,,"November 26, 1908",,,"West Randolph, Vermont",Herald and news,,Ladies of the W.C.T.U.,,,,,,"[-72.666321, 43.925099]",,,,,"Herald and news November 26, 1908"
356,356.0,LOC Conundrum Social,,,"April 08, 1892",,,"Milbank, South Dakota",The herald-advance,,Congregational Ladies’ Aid Society,,,,,,"[-96.635617, 45.219131]",,,,,"The herald-advance April 08, 1892"
357,357.0,LOC Conundrum Supper,,,"October 30, 1894",,Moore’s Hall,"Bennington, Vermont",Bennington Semi-Weekly Banner,,Village Improvement Association of Floralhome,,,,,,"[-73.1473048, 43.0125713]",,,,,"Bennington Semi-Weekly Banner October 30, 1894"
358,358.0,LOC Conundrum Supper,,,"September 04, 1914",,,"Florahome, Florida",The Palatka news and advertiser,,,,,,,,"[-81.8834269, 29.7327446]",,,,,"The Palatka news and advertiser September 04, 1914"
359,359.0,LOC Conundrum Supper,,,"June 10, 1909",,Methodist Church Parlors,"Newport, Washington",The Newport Miner,Menu included.,Young people,,,,,Menu: The Way the Small Boy Goes Down Hill. Fruit of the Hub. Cereal Compound. Loves' Token. Old Maids' Delight. Curious Composition. Brazilian Ale. Sliced Maple. Spring's Offering. Quivering Dainties. Bovine Relish. Colored Garnish. Hidden Tsars. Earth's Apples.,"[-117.0432583, 48.1796277]",,,,,"The Newport Miner June 10, 1909"
360,360.0,LOC Conundrum Supper,,,"March 13, 1909",,,"Clarksburg, West Virginia",The Clarksburg Daily Telegram,,,,,,,,"[-80.3445341, 39.2806451]",,,,,"The Clarksburg Daily Telegram March 13, 1909"
361,361.0,LOC Conundrum Supper,,,,,Town hall,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,Daughters of Rebecca at Galena,,,,,,"[-72.0150951, 44.4192249]",,,,,St. Johnsbury Caledonian nan
362,362.0,LOC Conundrum Supper,,,"October 28, 1897",,,"Dodge City, Kansas",The Globe-republican,"Same event is referenced in the Hutchinson gazette, October 28, 1897 AND The Chanute times, October 29, 1897",Ladies’ Aid,,,,,,"[-100.0170787, 37.7527982]",,,,,"The Globe-republican October 28, 1897"
363,363.0,LOC Conundrum Supper,,,"March 17, 1916",,Southern Marcantile building,"Welsh, Louisiana",The Rice belt journal,Contains eBOF; duplicate reference in the same issue and the same event is referenced in the issue from March 24,Epworth league,,,,,"A marine animal, Mixed up type, Tear drops, Go betweens, Berry juice, Maid of Orleans, A goat, A tight squeeze, Sad predicaments, Too good for you, A silenced squealer, Turns over and over.","[-92.8226453, 30.2360403]",,,,,"The Rice belt journal March 17, 1916"
364,364.0,LOC Conundrum Supper,,,"March 12, 1909",,,"Dakota City, Nebraska",Dakota County herald,Same event is referenced in the issue from March 19; event was postponed to a later date,Ladies’ Social Circle,,,,,,"[-96.41853, 42.4153516]",,,,,"Dakota County herald March 12, 1909"
365,365.0,LOC Conundrum Supper,,,"March 12, 1906",,Home of Mr and Mrs W. Lamsden,"Barton, Vermont",Orleans County Monitor,,The Ladies’ Aid Society of the Methodist Church,,,,,,"[-72.174317559118, 44.74844]",,,,,"Orleans County Monitor March 12, 1906"
366,366.0,LOC Conundrum Supper,,,,,Home of Mrs Robert Harbarker,"Harrisburg, Pennsylvania",The Star-Independent,,Mr And Mrs. HE Wilson,,,,,,"[-76.8861122, 40.2663107]",,,,,The Star-Independent nan
367,367.0,LOC Conundrum Supper,,,"March 18, 1921",,Home of Mr. And Mrs. HE Wilson,"Klamath Falls, Oregon",The Evening Herald,,,,,,,,"[-121.7816704, 42.224867]",,,,,"The Evening Herald March 18, 1921"
368,368.0,LOC Conundrum Supper,,,"March 11, 1908",,Church parlors,"Morrisville, Vermont",News and Citizen,,Lyceum League,,,,,,"[-72.5923686622929, 44.5591997]",,,,,"News and Citizen March 11, 1908"
369,369.0,LOC Conundrum Supper,,,,,,Montpelier,The Vermont Watchman,,Men of the Grand avenue Baptist church,,,,,,"[-72.575684, 44.260445]",,,,,The Vermont Watchman nan
370,370.0,LOC Conundrum Supper,,,"March 11, 1901",,Chapel,"Fair Haven, Connecticut",The daily morning journal and courier,Contains eBOF; Same event is referenced in the issues from March 13 and March 14,Ladies’ Aid society of the M.E. church,,,,,"1. Pearls cast among swine 2. The unruly member 3. Fruit of the vine, assorted sizes 4. A son of Noah 5. Berries roasted and boiled -sweetened to taste 6. Oil well before using 7. Boston's overthrow -old maid's friend 8. The wise beverage - good for all. 9. Many ingredients concreted-assorted 10. The mouse's friend 11. Ivory manipulators 12. A Texas steer -chopped and spiced 13. Shell fruit in layers -baked 14. Billy goat and Uneeda? 15. Pickled fruit -pastor's favorite.","[-72.8956569, 41.3112082]",,,,,"The daily morning journal and courier March 11, 1901"
371,371.0,LOC Conundrum Supper,,,"March 20, 1896",,Church rooms,"Williston, North Dakota",Williston graphic,,Women of the Methodist church,,,,,,"[-103.621814, 48.1465457]",,,,,"Williston graphic March 20, 1896"
372,372.0,LOC Conundrum Supper,,,"October 26, 1915",,Vestry,"Brattleboro, Vermont",The Brattleboro Daily Reformer,Also mentioned Oct 30.,"Robert E. Lee Council, No. 29, Daughters of Liberty,  and Iroquois Tribe, No. 24, Improved Order of Red Men",,,,,,"[-72.5578678, 42.8509152]",,,,,"The Brattleboro Daily Reformer October 26, 1915"
373,373.0,LOC Conundrum Supper,,,"October 26, 1907",,Jr. O. U. A M.  Hall at Harborton,"Accomac, Virginia",Peninsula Enterprise,,"Life Boat lodge No. 150, Independent Order of Good Templars",,,,,,"[-75.6654845, 37.7195742]",,,,,"Peninsula Enterprise October 26, 1907"
374,374.0,LOC Conundrum Supper,,,"March 11, 1895",,Hall in the Continental block,"Omaha, Nebraska",Omaha daily bee,,,,,,,,"[-95.9383758, 41.2587459]",,,,,"Omaha daily bee March 11, 1895"
375,375.0,LOC Conundrum Supper,,,"June 10, 1914",,Congregational vestry,"Staffordville, Connecticut",The Press,Same event is referenced in the issue from June 03,Daughters of Veterans,,,,,,"[-72.25869, 41.9939848]",,,,,"The Press June 10, 1914"
376,376.0,LOC Conundrum Supper,,,"March 10, 1916",,G.A.R. hall,"Detroit, Michigan",The Detroit times,,,,,,,,"[-83.0466403, 42.3315509]",,,,,"The Detroit times March 10, 1916"
377,377.0,LOC Conundrum Supper,,,"October 27, 1893",,Grange Hall,"South Londonerry, Vermont",The Londonerry Sifter,,,,,,,,,,,,,"The Londonerry Sifter October 27, 1893"
378,378.0,LOC Conundrum Supper,,,,,,"Boonville, Missouri",The Sedalia weekly bazoo,"December 26, 1893",YPSMW,,,,,,"[-92.7440277, 38.9751547]",,,,,The Sedalia weekly bazoo nan
379,379.0,LOC Conundrum Supper,,,"September 03, 1891",,,"St. Johnsbury, Vermont",St. Johnsbury Caledonian,,The grange,,,,,,"[-72.0150951, 44.4192249]",,,,,"St. Johnsbury Caledonian September 03, 1891"
380,380.0,LOC Conundrum Supper,,,"June 10, 1897",,The grange,"Waterbury, Connecticut",Waterbury Democrat,,Builders of the M.E. church and Mrs. H. Turner,,,,,,"[-73.0438362, 41.5538091]",,,,,"Waterbury Democrat June 10, 1897"
381,381.0,LOC Conundrum Supper,,,"June 08, 1910",,Lecture room of the church,"Woodbridge, New Jersey",Perth Amboy evening news,"Same event is referenced in the issues from June 2, May 31, June 09, and June 11; This newspaper contains a reference to another CS event as well",C.E. of Calvary church,,,,,,"[-74.2860007694445, 40.55418]",,,,,"Perth Amboy evening news June 08, 1910"
382,382.0,LOC Conundrum Supper,,,"March 15, 1901",,Residence of J.E. Eggleston,"Jarrettsville, Maryland",The aegis & intelligencer,Contains eBOF,Christian Endeavor society,,,,,"An American author, the Irish for tea, a part of the foot, a son of Noah, a color, to put under the ground, employment of some women and the dread of all, drawing with the mouth, a narrow bed, a kind of tree, part of a house and a letter, a favorite Oriental Beverage, a doll's composition, a personal pronoun, bivalvular mollusks with fire-works, married people, chopped stupidity, Staff of life, a popular resort, a carpenter's sgn, a lacking quantity in Jarrettsville and surrounding county, an accompanient to a cold, the delight of the lawyer, shopped contention, sumptuously seasoned, what Pharoah saw in a dream, parson prey, an insect and a letter.","[-76.4777422, 39.60455]",,,,,"The aegis & intelligencer March 15, 1901"
383,383.0,LOC Conundrum Supper,,,,,Christian church,"Rock Island, Illinois",Rock Island Argus,,Ladies of the Baptist church,,,,,,"[-90.5787477, 41.5094771]",,,,,Rock Island Argus nan
384,384.0,LOC Conundrum Supper,,,"June 08, 1910",,,"Metuchen, New Jersey",Perth Amboy evening news,,Y.P.S.C.E.,,,,,,"[-74.3632049, 40.5431598]",,,,,"Perth Amboy evening news June 08, 1910"
385,385.0,LOC Conundrum Supper,,,"March 15, 1895",,Residence of Miss Julia Thorp,"Nichols, Connecticut",The Newtown bee,,The Students of Academy Green,,,,,,"[-73.1612225, 41.2409299]",,,,,"The Newtown bee March 15, 1895"
386,386.0,LOC Conundrum Supper,,,"June 09, 1892",,Academy Green,"Burlington, Vermont",Burlington Weekly Free Press,,,,,,,,"[-73.2135472, 44.4762975]",,,,,"Burlington Weekly Free Press June 09, 1892"
387,387.0,LOC Conundrum Supper,,,,,Grace church,"Stafford, Connecticut",The Press,,,,,,,,"[-72.2889686, 41.9848183]",,,,,The Press nan
388,388.0,LOC Conundrum Supper,,,"March 15, 1894",,Church vestry,"Morrisville, Vermont",News and Citizen,,The Ladies’ Aid Society of the Westminster Presbyterian Church,,,,,,"[-72.5923686622929, 44.5591997]",,,,,"News and Citizen March 15, 1894"
389,389.0,LOC Conundrum Supper,,,"October 30, 1907",,Lecture room of the church,"Salt Lake City, Utah",The Salt Lake Tribune,,Ladies Aid Society,,,,,,"[-111.8904308, 40.7670126]",,,,,"The Salt Lake Tribune October 30, 1907"
390,390.0,LOC Conundrum Supper,,,"October 30, 1907",,Lecture Room of the Church,"Salt Lake City, Utah",The Salt Lake Herald,Event referred to on October 31 as well.,Y.P.S.C.E. of Westminster Presbyterian Church,,,,,,"[-111.8904308, 40.7670126]",,,,,"The Salt Lake Herald October 30, 1907"
391,391.0,LOC Conundrum Supper,,,"March 15, 1892",,,"Sacramento, California",The record-union,Contains eBOF; event is also referenced on the March 16 issue,Ladies Aid Society,,,,,"Supper bill of fare: An Unruly Member, Pride of Boston, April Blossoms, A Young Man's Sweetheart, Impertinences, Fruit of the Vine, Tree Cake, Spring's Offering, Lay of the Last Minstrel, Boston's Overthrow, One of Noah's Sons, No Grounds for Complaint, Prairie Flower, Raised in Town, Tramp Cake, Frozen Tree, What Some People Don't Know, Cake Hard to Beat.","[-121.4943996, 38.5815719]",,,,,"The record-union March 15, 1892"
392,392.0,LOC Conundrum Supper,,,"June 11, 1897",,Congregational parsonage,"Guildhall, Vermont",Essex County Herald,,Epworth League,,,,,,"[-71.5610294, 44.5651812]",,,,,"Essex County Herald June 11, 1897"
