,level_0,Unnamed: 0,index,Unnamed: 0.1,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Coordinates
115,115,115,115,115,Cortland Standard,1901-02-19,1901-02-19,U.S.,NY,Cortland(?),The ladies of Grover Relief Corps,Grand Army Hall,,10 cents,,,y,,"(50.0956766, 19.0098815)"
116,116,116,116,116,Cortland Standard,1893-02-24,,U.S.,NY,Cortland(?),The young people,Homer-ave. church,,10 cents,,,n,"Interestingly writes: ""Conundrum supper served on the European plan""","(50.0956766, 19.0098815)"
117,117,117,117,117,Cortland Standard,1894-01-12,,U.S.,NY,Scott,The Ladies' Aid Society of the S.D.B. church,S.D.R. Church,,,,,n,,"(42.7295128, -76.2432628)"
118,118,118,118,118,Cortland Standard,1894-01-23,,U.S.,NY,Scott,The Ladies' Aid Society of the S.D.B. church,S.D.R. Church,,,10.50$ USD,,n,References the same event as R_118,"(42.7295128, -76.2432628)"
119,119,119,119,119,Cortland Standard,1893-03-03,1893-03-07,U.S.,NY,McGrawville,Methodist Church,Residence of Mr. C.B. Warren,Mrs. H. K. Alexander; Mr. C.B. Warren,,,,n,"writes ""on the European plan""; also has relics and a unique art exhibition","(42.3492323, -78.2275126)"
120,120,120,120,120,Cortland Standard,1896-03-03,1896-03-05,U.S.,NY,McGrawville,The members of William H Tarbell W.R.C.,G.A.R. Hall,,,,,n,,"(42.3492323, -78.2275126)"
121,121,121,121,121,Cortland Standard,1896-11-24,1896-11-21,U.S.,NY,McGrawville,Epworth league,M.E. Church,,,,,n,,"(42.3492323, -78.2275126)"
122,122,122,122,122,Cortland Standard,1893-09-22,1893-09-15,U.S.,NY,Groton City,,Residence of Francis Webster,Francis Webster,,,,n,,"(42.6150703, -76.2852096)"
123,123,123,123,123,Courier and Freeman,1922-08-02,1922-08-04,U.S.,NY,Parishville,The ladies of the Eastern Star,The ladies of Eastern hall's banquet room,,,,,n,,"(44.6279506, -74.8153687)"
124,124,124,124,124,Courier and Freeman,1911-12-20,1911-12-15,U.S.,NY,Potsdam,Professor L.K. Russel,"Residence of Prof. L.K. Russel of the Tech, lawrence ave",Professor L.K. Russel,,,,y,"Not a classical CS but a chemistry one, using conundrums from chemistry to describe menus. This newspaper has two references to CS events","(44.6697996, -74.9813349)"
125,125,125,125,125,Courier and Freeman,1911-12-20,1911-12-15,U.S.,NY,Potsdam,,The Forget-me-not Birthday Club,Mrs. Benj. Thompson; Mrs. Benson,,,,n,The sitting arrangment of this supper was through playing with conundrum cards. This is the second reference to a CS on the same newspaper as R_125,"(44.6697996, -74.9813349)"
126,126,126,126,126,Courier and Freeman,1902-02-12,1902-02-14,U.S.,NY,Raymondville,L.E. Barnett,Residence of L.E. Barnett,L.E. Barnett; Mrs. Babcock,,,,n,,"(44.8381078, -74.9779795)"
127,127,127,127,127,Courier and Freeman,1892-11-30,1892-11-26,U.S.,NY,Childwold,The church,A.M. Lonkey,A.M. Lonkey,,,,n,,"(44.2864502, -74.6632351)"
128,128,128,128,128,Dunkirk Evening Observer,1892-12-06,1892-12-06,U.S.,NY,Dunkirk,,Union Hall,,25 cents,,,n,,"(42.479502, -79.333932)"
129,129,129,129,129,Endicott Bulletin,1928-03-02,1928-03-01,U.S.,NY,Endicott,Employes of the administration department of the Endicott Johnson sales building,Ideal Home,Miss Anne Riley,,,,n,,"(8.9691124, -79.5660572)"
130,130,130,130,130,Facts and Fallacies,1916-03-23,1916-03-28,U.S.,NY,Brushton,,M.E. Church,,,,,y,,"(44.830552, -74.513741)"
131,131,131,131,131,Fayetteville Bulletin,1924-09-12,1924-09-26,U.S.,NY,Fayetteville,Epworth league,M.E. Church parlors,,,,,n,,"(43.0297887, -76.0043643)"
132,132,132,132,132,Geneva Advertiser,1901-02-19,1901-02-14,U.S.,NY,Geneva,,St. Peter's Chapel,Mrs. Lena Watson,,38.00$ USD,,n,"Writes that ""There was a heap of amusement over the menu cards, and all of them were taken away as souvenirs. There were very prettily written by three young ladies of the Union School, and painted by Mrs. Lena Watson""","(42.8690271, -76.9786122)"
133,133,133,133,133,Geneva Advertiser,1892-11-01,,U.S.,NY,Geneva,The ladies of the M.E. church,,,around 5 cents per dish,,,n,"Writes: ""It is a supper on the European plan""","(42.8690271, -76.9786122)"
134,134,134,134,134,Geneva Advertiser-gazette,1905-01-31,,U.S.,NY,Geneva,The church of Mrs. Sally Watchorn (of Buffalo),Mrs. Sally Watchorn,,,,,n,,"(42.8690271, -76.9786122)"
135,135,135,135,135,Geneva Daily Times,1901-02-11,1901-02-14,U.S.,NY,Geneva,The Parish Aid Society,St. Peter's Chapel,,,,,n,,"(42.8690271, -76.9786122)"
136,136,136,136,136,Geneva Daily Times,1901-02-13,1901-02-14,U.S.,NY,Geneva,The Parish Aid Society,St. Peter's Chapel,,,,,n,References the same event as R_136,"(42.8690271, -76.9786122)"
137,137,137,137,137,Gouverneur Free Press,1896-03-11,1896-03-09,U.S.,NY,Richville,The Congregational society of Richville,Residence of Wm. Walker,Rev. Jones; Mrs. Jones,,,,y,Mentions that the menu cards were issued by the Free Press office of the villiage,"(44.417352, -75.39196)"
138,138,138,138,138,Gouverneur Free Press,1893-03-15,1893-03-13,U.S.,NY,Edwards,The ladies of the M.e. society,Town Hall,,,18$ USD,,n,,"(44.324585, -75.251198)"
139,139,139,139,139,Herkimer Democrat,1900-08-15,,U.S.,NY,,,,,,,,n,"Not an actual event reference but references a column in another magazine called ""The Designer"" for September 1900 that has a ""Conundrum Supper"" column","(50.2721249, 19.0252592)"
140,140,140,140,140,Herkimer Democrat,1891-03-11,1891-03-04,U.S.,NY,Frankfort,,Baptist Church,,,45$ USD,,n,,"(43.038959, -75.070436)"
141,141,141,141,141,Herkimer Democrat,1892-03-16,1892-03-18,U.S.,NY,Norway,Excelsior Lodge of Good Templars,Excelsior Lodge of Good Templars' rooms,,10 cents,,,n,"Also called a ""cobweb social""","(43.208429, -74.952164)"
142,142,142,142,142,Herkimer Democrat,1892-10-12,1892-10-14,U.S.,NY,Newville,The young people of Newville,Parlors of Mrs. J.A. Houpt,Mrs. J.A. Houpt; Rev. Mr. Taber,,,,n,,"(42.9764603, -74.8257051)"
143,143,143,143,143,Herkimer Democrat,1895-10-23,1895-10-26,U.S.,NY,Fairfield,Epworth league,,,,,,n,,"(42.232574, -76.2785444)"
144,144,144,144,144,Ithaca Daily Journal,1904-03-25,1904-03-25,U.S.,NY,Ithaca,Epworth league of the State Street Methodist Episcopal Church,Church parlors,,,,,n,,"(42.4396039, -76.4968019)"
145,145,145,145,145,Ithaca Daily Journal,1898-09-28,,U.S.,NY,Ithaca,,,,,,,y,"Has the quote ""A clever woman has invented the conundrum supper..."". Also contains answers to the eBOF, not just the menu itself. ","(42.4396039, -76.4968019)"
146,146,146,146,146,Lewis County Democrat,1904-02-03,1904-02-12,U.S.,NY,Lowville,,Residence of Hiram Schell,Hiram Schell; Rev. A.F. Beebe,,,,n,,"(43.786711, -75.49221)"
147,147,147,147,147,Mexico Independent,1901-03-27,1901-03-27,U.S.,NY,Mexico,The ladies of the Baptist church,Washington Hall,,,,,n,"Also called ""Mapple sugar and Conundrum Supper""","(59.7166855, 12.4704265)"
148,148,148,148,148,Mexico Independent,1901-03-27,1901-03-27,U.S.,NY,Mexico,The ladies of the Baptist church,Washington Hall,,"Sugar 10 cents, supper extra",,,n,Two different ads on different pages in the same newspaper (R_148 + R_149),"(59.7166855, 12.4704265)"
149,149,149,149,149,Mexico Independent,1894-03-28,1894-03-28,U.S.,NY,Mexico,,M.E. church,,,,,n,,"(59.7166855, 12.4704265)"
150,150,150,150,150,Mexico Independent,1906-10-31,,U.S.,NY,Mexico,,,,,,,n,"Not a specific event reference but interesting quote: ""'I see that the latest social novelty in the East is the conundrum supper.' 'Gracious, do they have to give it up if they don't guess it?'""","(59.7166855, 12.4704265)"
151,151,151,151,151,Monroe County Mail,1908-02-20,1908-02-14,U.S.,NY,Webster,The L.L.L. class of the German Evangelical Sunday school,Church parlors,,,,,n,,"(43.212285, -77.429994)"
152,152,152,152,152,Monroe County Mail,1893-10-19,1893-10-20,U.S.,NY,Fairport,The Baptist young people's union,First baptist church,,,,,n,,"(43.0993, -77.443014)"
153,153,153,153,153,Monroe County Mail,1896-10-29,1896-10-29,U.S.,NY,Webster,Y.P.S.C.E. of the baptist church,Residence of Miss Hattie Smith,Miss Hattie Smith,,,,n,,"(43.212285, -77.429994)"
154,154,154,154,154,Nassau County Review,1899-01-27,1899-01-18,U.S.,NY,Seaford,The ladies of the episcopal church,,,,,,n,,"(40.6659344, -73.4881809)"
155,155,155,155,155,Nassau County Review,1908-11-20,1908-12-10,U.S.,NY,Valley Stream,The Ladies' Aid society of Grace Methodist Episcopal Church,Firemen's Hall,,,,,n,,"(40.6848002, -73.6885597)"
156,156,156,156,156,Norwood News,1895-02-26,1895-02-26,U.S.,NY,East Brasher,,Residence of R.W. Smith ,R.W. Smith; Rev. Funnel,,,,n,,
157,157,157,157,157,Norwood News,1903-01-27,1903-01-27,U.S.,NY,Norwood,Court Prudence ,Foresters' Hall,,,,,y,,"(44.75161, -74.994392)"
158,158,158,158,158,Norwood News,1907-11-05,1907-10-25,U.S.,NY,Skinnerville,,Residence of H. Munson,H. Munson,,,,n,"Interestingly also called a ""pedro party""","(44.7844986, -74.8157496)"
159,159,159,159,159,Olean Herald,1902-02-19,1902-02-19,U.S.,NY,Olean,The church aid society of the A.M.E. church,,,,,,n,,"(42.077565, -78.4297419)"
160,160,160,160,160,On the St. Lawrence and Clayton Independent,1896-12-04,1896-12-05,U.S.,NY,Depauville,Society fair and sale,Depauville fair,,,,,n,Conundrum supper at a local fair,"(44.1383847, -76.0654913)"
161,161,161,161,161,On the St. Lawrence and Clayton Independent,1895-09-20,1895-09-25,U.S.,NY,Clayton(?),Epworth league,M.E. church,,15 cents / 10 cents,,,y,Interestingly has a host called William O'Fare (Bill of Fare),"(9.01106725, -79.5727164599273)"
162,162,162,162,162,Oswego Palladium,1919-10-28,1919-10-24,U.S.,NY,Minetto,Grange comittee ,Grange hall,,,,,n,mentions dressing in costume for the event,"(43.398124, -76.47744)"
163,163,163,163,163,Penn Yan Express,1896-04-15,1896-04-22,U.S.,NY,Penn Yan,,Hall,F.R. Andrews,,,,n,,"(42.6603037, -77.0540989)"
164,164,164,164,164,Penn Yan Express,1892-04-27,1892-04-29,U.S.,NY,Penn Yan,Ladies' Helping Hand Society,"Lounsbery's Hall, Potter Center",,,,,n,,"(42.6603037, -77.0540989)"
165,165,165,165,165,Penn Yan Express,1897-12-15,1897-12-17,U.S.,NY,Bluff Point,,Residence of Lee Baker,Lee Baker,,,,n,,"(43.0620098, -76.710784)"
166,166,166,166,166,Penn Yan Express,1892-03-02,1892-03-08,U.S.,NY,Keuka College,Ladies' Aid Society of the Park,Chapel,,,,,n,"""This entertainment is entiery new and novel""","(42.6151643, -77.0905662)"
167,167,167,167,167,Penn Yan Express,1892-03-16,1892-03-08,U.S.,NY,Keuka College,Ladies' Aid Society of the Park,Chapel,,,25$ USD,,y,References the same event as R_167,"(42.6151643, -77.0905662)"
168,168,168,168,168,Penn Yan Express,1893-11-08,1893-11-15,U.S.,NY,Penn Yan,Y.P.S.C.E. of Second Milo,Residence of F.B. Swarthout,F.B. Swarthout,,,,n,,"(42.6603037, -77.0540989)"
169,169,169,169,169,Penn Yan Express,1898-11-23,1898-11-25,U.S.,NY,Rushville,The Young Ladies of the Congregational Sunday School,Residence of Emory Green,Emory Green,,,,n,,"(42.7600665, -77.226367)"
170,170,170,170,170,Plattsburgh Daily Press,1907-04-26,1907-04-26,U.S.,NY,Plattsburgh,The Young Men of the M.E. Church of West Chazy,Residence of R.H. Carroll,R.H. Carroll,,,,n,,"(44.69670275, -73.4464301307879)"
171,171,171,171,171,Poughkeepsie Eagle,1898-02-01,1898-01-26,U.S.,NY,Viewmonte,The Members of the Lutheran Church,Church parlors,,,35$ USD,,n,,"(42.0987012, -73.8740205)"
172,172,172,172,172,Poughkeepsie Eagle,1903-07-31,1903-08-08,U.S.,NY,Milan,The Ladies of the Christian Church,,,,,,n,,"(59.7166855, 12.4704265)"
173,173,173,173,173,Poughkeepsie Eagle,1900-03-20,1900-03-21,U.S.,NY,Moore's Mills,,Rooms of Floral Home ,Miss V. Gildersleeve,,,,n,,
174,174,174,174,174,Poughkeepsie Eagle,1911-03-21,1911-03-21,U.S.,NY,Schultzville,,Church hall,,,,,n,,"(41.8775928, -73.8040204)"
175,175,175,175,175,Poughkeepsie Eagle,1903-05-05,1903-05-01,U.S.,NY,Pleasant Valley,,M.E. church,,,,,n,,"(41.7445382, -73.8212439)"
176,176,176,176,176,Poughkeepsie Eagle,1908-09-18,1908-10-08,U.S.,NY,Verbank,,Church parlors,,,,,n,,"(41.7287051, -73.710407)"
177,177,177,177,177,Queens County Review,1897-04-09,1897-04-14,U.S.,NY,Freeport,Ladies' Aid Society of the M.E. Church,Church Lecture Room,,25 cents,,,n,,"(40.6573384, -73.5826737)"
178,178,178,178,178,Queens County Review,1897-10-08,1897-10-14,U.S.,NY,Bellmore,Dorcas Society of the M.E. Church,Parsonage,,,,,n,,"(40.6540805, -73.5285878127105)"
179,179,179,179,179,Richmond County Advance,1901-02-23,1901-02-22,U.S.,NY,West New Brighton(?),The Ladies of the Park Baptist Church of Port Richmond ,Church Lecture Room,,,,,n,,"(40.6345481, -74.1120867)"
180,180,180,180,180,Richmond County Advance,1905-06-17,1905-06-27,U.S.,NY,West New Brighton(?),The Ladies of Trinity M.E. Church,Church Lecture Room,,,,,n,,"(40.6345481, -74.1120867)"
181,181,181,181,181,Richmond County Advance,1905-06-24,1905-06-27,U.S.,NY,West New Brighton(?),The Ladies' Aid Society of the Trinity M.E. Church,Church Lecture Room,,25 cents,,,n,"References the same event as R_181.  Also contains a verse invitation (transcribed here): An invitation to all we now extend, / Our conundrum supper to attend. / Queer-titled(?) viands we'll serve Tuesday night. / And hope each one will taste all right. / Boiled roasted, and baked will these dainties be, / But named to test your inqunuity. / We'll serve nothing odd -no, not even hash-- / But familiar dainties we'll give for cash. / In each queerly-named dish you'll find a friend, . E'en though to detect it you're at your wit's end. / That you come to this supper--taste of each dish, / Our chuch ladies sincerely, cordially wish.","(40.6345481, -74.1120867)"
182,182,182,182,182,Richmond County Advance,1892-11-05,1892-11-10,U.S.,NY,West New Brighton(?),The Emanuel Circle of King's Daughters,"The Reformed Chapel, Mariner's Harbor",,"Admission 10 cents, Supper 25 cents",,,n,,"(40.6345481, -74.1120867)"
183,183,183,183,183,Rockland County Journal,1900-02-04,1900-02-02,U.S.,NY,Suffers,Epworth League,,,,,,n,,
184,184,184,184,184,Rockland County Journal,1892-02-20,,U.S.,NY,Nyack,,,,,,,n,Does not reference an actual event; Exact same quote as R_108,"(41.0906519, -73.9179146)"
185,185,185,185,185,Rockland County Journal,1900-01-21,1900-01-26,U.S.,NY,Suffers,Epworth League of the M.E. Church,Church chapel,,,,,n,Possibly same event as R_184,
186,186,186,186,186,Rockland County Journal,1892-03-12,1892-03-15,U.S.,NY,Nyack,The Ladies of the Dorcas Society,"The lecture room of the Clarkstown Reformed Church, Mont Moor",,,,,n,,"(41.0906519, -73.9179146)"
187,187,187,187,187,Sag-Harbor Express,1893-12-21,,U.S.,NY,Sag-Harbor,,,Rebecca T. Dudley,,,,y,"Does not reference an event, speaks of the CS practice in general","(40.9978727, -72.2922292)"
188,188,188,188,188,Sag-Harbor Express,1909-03-04,,U.S.,NY,Wainscott,The Ladies of the Sewing Society,,,,,,y,,"(40.9367664, -72.2428587)"
189,189,189,189,189,Salamanca Inquirer,1939-02-17,1939-02-17,U.S.,NY,Steamburg,The Ladies' Aid Society,,Mrs. John Monroe; Mrs. Minnie Gallagher; Mrs. Lemuel Oakes; Mrs. Campbell Putnam; Mrs. Bernice Hill; Mrs. Mable Stacey; Mrs. Cortez Jaquay; Mrs. Paul Arrance; Mrs. H.V. Lindquist; Mrs. L.E. Darling,,,,n,,"(42.1081167, -78.9042042)"
190,190,190,190,190,Salamanca Inquirer,1939-02-24,1939-02-17,U.S.,NY,Steamburg,The Ladies' Aid Society,Grange Hall,,,,,n,"References the same event as R_190; Interestingly, this dinner is 'Americanized' American flags were mounted and the waiters and waitressess wore red white and blue","(42.1081167, -78.9042042)"
191,191,191,191,191,Sandy Creek News,1913-01-30,1913-02-13,U.S.,NY,Sandy Creek,B.Y.P.U. of the Baptist Church,TBD,,,,,n,,"(43.644235, -76.086035)"
192,192,192,192,192,South Side Signal,1892-12-03,1892-12-01,U.S.,NY,Babylon,,Woman's Exchange,,,,,n,17 appetizing items on the menu,"(55.6665028, 12.5160926)"
193,193,193,193,193,South Side Signal,1892-11-19,1892-12-01,U.S.,NY,Babylon,,Woman's Exchange,,,,,n,References the same event as R_193,"(55.6665028, 12.5160926)"
194,194,194,194,194,St. Lawrence Republican and Ogdensburgh Weekly Journal,1911-12-20,1911-12-15,U.S.,NY,Simpson,Professor L.K. Russel,"Residence of Prof. L.K. Russel of the Tech, lawrence ave",Professor L.K. Russel,,,,y,"Chemistry eBOF, references the same event as R_125",
195,195,195,195,195,St. Lawrence Republican and Ogdensburgh Weekly Journal,1899-01-25,1899-01-31,U.S.,NY,Depeyster,The Young Ladies' Mission Circle,Residence of George Rounds,George Rounds; Miss Vera Fleetham,,,,n,,
196,196,196,196,196,St. Lawrence Republican and Ogdensburgh Weekly Journal,1901-03-06,1901-03-08,U.S.,NY,Depeyster,Epworth League,Residence of J. Wesley Walker,J. Wesley Walker,,,,n,"Not the first event to mention a picture gallery at the CS as well, reminds of the Satire tradition with Heath",
197,197,197,197,197,St. Lawrence Republican and Ogdensburgh Weekly Journal,1910-10-26,1910-10-24,U.S.,NY,Madrin Grange,The Lecturer,,Worthy Master Fulton; Mrs. B. Hesselgrave; Mrs. H.E. Partch,,,30,n,,
198,198,198,198,198,Sullivan County Record,1900-11-08,1900-11-18,U.S.,NY,Kenoza Lake,The Ladies of the M.E. church,Residence of E.E. Miller,,,,,n,,"(41.72694285, -74.9469806111241)"
199,199,199,199,199,Tarrytown Daily News ,1915-02-19,1915-02-17,U.S.,NY,Tarrytown,The young people of the parish,Hope Chapel,Miss ella Briggs; Miss Olive Walthew; Dr. Daniel Russell; Rev. George M. Whitmore;,,,,n,,"(41.0762077, -73.8587461)"
200,200,200,200,200,Tarrytown Daily News ,1914-09-30,1914-10-01,U.S.,NY,Tarrytown,Epworth league of Asbury M.E. Church,Church parlors,,,,,n,,"(41.0762077, -73.8587461)"
201,201,201,201,201,The Adirondack Record-Elizabethtown Post,1935-01-17,1935-01-16,U.S.,NY,Upper Jay,The Ladies Guild,M.E. Parsonage,,,,,n,,"(44.3364359, -73.7756963)"
202,202,202,202,202,The Brockport Republic,1907-02-21,,U.S.,NY,Morton,Hamlin Grange,,,,,,n,,"(43.3284457, -77.9955584)"
203,203,203,203,203,The Brockport Republic,1910-11-10,1910-11-11,U.S.,NY,Adams Basin,I.A. Brice,M.P. Church,I.A. Brice,,,,n,,"(43.1961806, -77.8571354)"
204,204,204,204,204,The Brockport Republic,1891-10-22,1891-10-16,U.S.,NY,Hamlin,,Residence of F.B. Cary,F.B. Cary,42 cents,7.50$ USD,,n,"(1) An early reference to CS calls them ""Conundrum Course"" and (2) This is an eBOF were not only food is served: ""as likely to get a toothbrush as a cup of coffee""","(43.303115, -77.921124)"
205,205,205,205,205,The Brookfield Courier,1908-01-15,1908-01-18,U.S.,NY,Brookfield,Ladies' Aid Society of the M.E. Church (south-west division),Residence of Mrs. Dayton Palmiter,Mrs. Dayton Palmiter,,,,n,"Also called a ""stunt social""","(42.8128488, -75.3176677)"
206,206,206,206,206,The Brookfield Courier,1898-03-02,,U.S.,NY,Unadilla Forks,Gentlement of the F.B. Society,F.B. Church,,8 dishes for 10 cents,,,y,,"(42.841738, -75.2401636)"
207,207,207,207,207,The Brookfield Courier,1922-03-29,1922-04-06,U.S.,NY,Brookfield,M.E. Social,Residence of Jerome Prescott,,,,,n,"Also called a ""Daffy Social"" - Prozes awarded for those who solve the ""famous Cobweb puzzle""","(42.8128488, -75.3176677)"
208,208,208,208,208,The Brookfield Courier,1918-11-06,1898-11-07,U.S.,NY,West Edmston,Ladies' Aid Society,Residence of E.A. Felton,,,,,n,"(1) Interesting because the newspaper is referencing an ""on this day"" piece of news from 20 years earlier. (2) Interesting because it mentions that the poorest dressed person will recieve a prize, and that everyone should ""put on old clothes and thinking caps"" for the CS",
209,209,209,209,209,The Brooklyn Daily Eagle,1897-04-11,1897-04-14,U.S.,NY,Freeport,The Aid Society of the Methodist Episcopal ,,,,,,n,,"(40.6573384, -73.5826737)"
210,210,210,210,210,The Brooklyn Daily Eagle,1899-04-30,1899-04-27,U.S.,NY,Bedford,The Bedford Progressive Euchre Club,Residence of Mrs. Frank Brown,Mrs. Frank Brown; Mrs. Drake; Mrs. Wills; Mr. and Mrs. J. W. Stopford; Mr. and Mrs. F. A. A. Horton; Mr. and Mrs. A. Drake; Mr. and Mrs. H. Barringer; Mr. and Mrs. W. Wills; Mr. and Mrs. J. Davis; Miss Annie Russell; Mrs. Elford; George Smith; Miss Grace Brown; Miss Rose Wills; Mrs. Chatles Benson; Miss Minnie Wills;,,,,n,Long list of names listed,"(41.2042741, -73.6426507)"
211,211,211,211,211,The Brooklyn Daily Eagle,1897-12-07,1897-12-09,U.S.,NY,Long Island,The Epworth League of the Moriches M. E. Church,,,,,,n,,"(40.85172235, -73.0992188219997)"
212,212,212,212,212,The Brooklyn Daily Eagle,1897-12-17,1897-12-15,U.S.,NY,Long Island,The Epworth League of the Moriches M. E. Church,Residence of Charles H. Thomas,,,,,n,Event referenced in R_212 but was postponed twice,"(40.85172235, -73.0992188219997)"
213,213,213,213,213,The Brooklyn Daily Eagle,1899-01-29,,U.S.,NY,Brooklyn(?),Regular Encampment of General Henry W. Slocum Post No. 28,,,,,,n,"""shortly"" will hold a supper","(40.64530975, -73.9550230275334)"
214,214,214,214,214,The Brooklyn Daily Eagle,1901-07-26,1901-07-24,U.S.,NY,Bay Ridge/ Fort Hamilton,The Young People's Society of the East End Baptist Church,Residence of George Closter (404 Hendrix Street),George Closter; William A. Closter; Miss Jennie Winan; Sadle Schievely; Henry George Jackson; Mr. Bedell; Mr. Ward; Mr. Broome;,,,,n,,
215,215,215,215,215,The Brooklyn Daily Eagle,1893-05-18,1893-05-17,U.S.,NY,Brooklyn(?),The Young People's Association of the Greene avenue Baptist church,The Sunday school room of the Greene avenue Baptist church,Miss Stone; Genevieve King; Master L. H. Schreiner; William Schreiner; Miss Depew; Mr. and Mrs. Werderman; Mr. and Mrs. BEnnett; Mrs. Seaman; Miss Forbell; Miss Lilian Randall; Miss Frailey; Mr. Head,,"""a large sum""",,n,,"(40.64530975, -73.9550230275334)"
216,216,216,216,216,The Brooklyn Daily Eagle,1900-11-28,,U.S.,NY,Brooklyn(?),The Ladies of the Valley Stream M. E. Sunday School,Firemen's Hall,,,,,n,,"(40.64530975, -73.9550230275334)"
217,217,217,217,217,The Brooklyn Daily Eagle,1895-10-12,1895-10-11,U.S.,NY,Long Island,The Women of the Congregational Aid Society,Patebogue church,,,,,n,,"(40.85172235, -73.0992188219997)"
218,218,218,218,218,The Brooklyn Daily Eagle,1897-09-25,1897-09-21,U.S.,NY,Brooklyn(?),,,,,,,n,"""For the benefit of the Christian Endeavor Society""","(40.64530975, -73.9550230275334)"
219,219,219,219,219,The Catskill Recorder,1894-01-19,1894-01-23,U.S.,NY,Catskill,,Residence of Chas. Covell,,,,,n,"""For the benefit of the Canterskill chapel""","(42.2173102, -73.8645734)"
220,220,220,220,220,The Catskill Recorder,1893-01-27,,U.S.,NY,Catskill,The Endeavor Society,,,,45$ USD,,n,,"(42.2173102, -73.8645734)"
221,221,221,221,221,The Catskill Recorder,,,U.S.,NY,Cornwallsville,,Durham,,,,15,n,,
222,222,222,222,222,The Catskill Recorder,1892-03-25,1892-03-18,U.S.,NY,Greenville,The Young People of the Greenville Presbyterian Church,,,,,,n,,"(40.9931534, -73.8198556)"
223,223,223,223,223,The Catskill Recorder,1893-05-19,1893-05-18,U.S.,NY,Catskill,The Young People of the Baptist Church,,,,,,n,,"(42.2173102, -73.8645734)"
224,224,224,224,224,The Chronicle Mount Vernon,1895-11-14,1895-11-25,U.S.,NY,Mont Vernon,The Male Members of the Epworth League of the North M. E. Church,,,,,,n,,"(40.9125992, -73.8370786)"
225,225,225,225,225,The City Island Drift,1895-04-27,1895-05-07,U.S.,NY,City Island,The Ladies of Grace Church,Leviness Hall,,,,,n,,"(40.847456, -73.7864663715554)"
226,226,226,226,226,The City Island Drift,1895-05-04,1895-05-07,U.S.,NY,City Island,The Ladies of Grace Church,Leviness Hall,,35 cents,,,n,,"(40.847456, -73.7864663715554)"
227,227,227,227,227,The Cobleskill Index,1915-03-18,1915-04-03,U.S.,NY,Sloansville,The Gentlemen of the Baptist church,Church hall,,,,,n,,"(42.7570192, -74.330409)"
228,228,228,228,228,The Cobleskill Index,1906-03-22,,U.S.,NY,Rural Grove,,,,,,"""well attended""",n,,
229,229,229,229,229,The Coeymans Herald,1894-11-21,1894-11-16,U.S.,NY,Dormansville,,,,,~25$ USD,"""well attended""",n,,"(42.4995235, -73.9945751)"
230,230,230,230,230,The Columbia Republican,1903-08-20,,U.S.,NY,North Chatham,The Epworth League,,,,~10$ USD,,n,,"(42.4720265, -73.6317837)"
231,231,231,231,231,The Columbia Republican,1894-02-01,,U.S.,NY,Stuyvesant Falls,,Residence of Mrs. S. G. Miller,Mrs. and Mr. S. G. Miller,,,,n,,"(42.3553625, -73.7309556)"
232,232,232,232,232,The Columbia Republican,1895-02-07,1895-01-31,U.S.,NY,West Taghkanic,,Parsonage,,,~14$ USD,,n,,"(42.1239785, -73.7206813)"
233,233,233,233,233,The Columbia Republican,1896-02-13,1896-02-20,U.S.,NY,Taghkanic(?),The Ladies Missionary Society of the Reformed Church,Parsonage,,,,,n,,"(42.1423116, -73.6773462)"
234,234,234,234,234,The Columbia Republican,1896-02-27,1896-02-20,U.S.,NY,Taghkanic,The Ladies Missionary Society of the Reformed Church,Parsonage,,,,,n,References same event as R_234,"(42.1423116, -73.6773462)"
235,235,235,235,235,The Columbia Republican,1906-03-08,1906-03-13,U.S.,NY,Greendale,,Residence of Frank R. Hathaway,,,,,n,,"(42.2073103, -73.8470729)"
236,236,236,236,236,The Columbia Republican,1921-05-31,1921-06-02,U.S.,NY,Germantown,,Cneviot M.E. church,,,,,n,,"(42.1345339, -73.8917982)"
237,237,237,237,237,The Columbia Republican,1904-10-06,1904-10-14,U.S.,NY,North Germantown,The Epworth League,,,,,,n,"Interesting gender reference: ""supper...conducted entirely by young men. Ladies will please not 'butt in.'"" ","(42.1545335, -73.8773529)"
238,238,238,238,238,The Columbia Republican,1904-10-13,1904-10-14,U.S.,NY,North Germantown,,The league rooms,,,,,n,"Interesting gender reference: ""Everything is to be done by the gentlemen...""","(42.1545335, -73.8773529)"
239,239,239,239,239,The Columbia Republican,1904-10-20,1904-10-14,U.S.,NY,North Germantown,,The league rooms,,,,,n,References the same event as R_239,"(42.1545335, -73.8773529)"
240,240,240,240,240,The Columbia Republican,1900-09-27,1900-10-03,U.S.,NY,Martindale,,"West Hillsdale M.E. church, near Craryville",,,,,n,,"(42.2070329, -73.6317874)"
241,241,241,241,241,The County Review Riverhead,1917-02-02,,U.S.,NY,East Quogue,,Residence of George W. Howell,George W. Howell,,,,n,postponed due to illness,"(40.8406554, -72.5814814)"
242,242,242,242,242,The County Review Riverhead,1917-02-16,1917-02-08,U.S.,NY,East Quogue,The Ladies Aid,East Quogue House,,,,,n,Seems to be same event that was postponed in R_242,"(40.8406554, -72.5814814)"
