Unique_Reference_Number,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,,,,,,,,,,,,
R_112,Cortland Standard,"December 23, 1892","December 30, 1892",U.S.,NY,Virgil,n/a,n/a,Mr. Shaw; Mrs. Gertie Elster; Miss Lillie Lang; Mrs. Kate McKinney; |Mrs. Eva Muncey; Mrs. Eva Gee; Mr. Frankchristman; Mr. Lou Christman; Merton; Mr. A.V. Rounds; Aldine Watros; Nora Bell; May Reese; Ina Stillman; Iva Berlou; Etta Oaks; Lelia Curtis; John Warwick; MRs. Clinton Sager; Mrs. E.A. Craine; A. II Bruce; Mrs. Rodolph Trice,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_113,Cortland Standard,"January 06, 1893","December 30, 1892",U.S.,NY,Virgil,n/a,M.E. Church,Mr. Shaw; Mrs. Gertie Elster; Miss Lillie Lang; Mrs. Kate McKinney; |Mrs. Eva Muncey; Mrs. Eva Gee; Mr. Frankchristman; Mr. Lou Christman; Merton; Mr. A.V. Rounds; Aldine Watros; Nora Bell; May Reese; Ina Stillman; Iva Berlou; Etta Oaks; Lelia Curtis; John Warwick; MRs. Clinton Sager; Mrs. E.A. Craine; A. II Bruce; Mrs. Rodolph Trice,n/a,n/a,300,n,"References the same event as R_112; interestingly has a ""conundrum song"" by Katie McKinney as part of the program.",,,,,,,,,,,,
R_114,Cortland Standard,"April 05, 1898","April 06, 1898",U.S.,NY,Cortland(?),Young men of Rev. J.C.B. Moyer's class and Prof. L.J. Higgin's class of young ladies ,Homer-ave M.E. Church,Rev. J.C.B. Moyer; Prof. K.J. Higgin,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_115,Cortland Standard,"December 11, 1900","December 14, 1900",U.S.,NY,Cortland(?),Young ladies of the Hough class,Memorial Baptist Church,n/a,10 cents,n/a,n/a,n,,,,,,,,,,,,,
R_116,Cortland Standard,"February 19, 1901","February 19, 1901",U.S.,NY,Cortland(?),The ladies of Grover Relief Corps,Grand Army Hall,n/a,10 cents,n/a,n/a,y,,,,,,,,,,,,,
R_117,Cortland Standard,"February 24, 1893","February, 21 1893",U.S.,NY,Cortland(?),The young people,Homer-ave. church,n/a,10 cents,n/a,n/a,n,"Interestingly writes: ""Conundrum supper served on the European plan""",,,,,,,,,,,,
R_118,Cortland Standard,"January 12, 1894",n/a,U.S.,NY,Scott,The Ladies' Aid Society of the S.D.B. church,S.D.R. Church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_119,Cortland Standard,"January 23, 1894",n/a,U.S.,NY,Scott,The Ladies' Aid Society of the S.D.B. church,S.D.R. Church,n/a,n/a,10.50$ USD,n/a,n,References the same event as R_118,,,,,,,,,,,,
R_120,Cortland Standard,"March 03, 1893","March 07, 1893",U.S.,NY,McGrawville,Methodist Church,Residence of Mr. C.B. Warren,Mrs. H. K. Alexander; Mr. C.B. Warren,n/a,n/a,n/a,n,"writes ""on the European plan""; also has relics and a unique art exhibition",,,,,,,,,,,,
R_121,Cortland Standard,"March 03, 1896","March 05, 1896",U.S.,NY,McGrawville,The members of William H Tarbell W.R.C.,G.A.R. Hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_122,Cortland Standard,"November 24, 1896","November 21, 1896",U.S.,NY,McGrawville,Epworth league,M.E. Church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_123,Cortland Standard,"September 22, 1893","September 15, 1893",U.S.,NY,Groton City,n/a,Residence of Francis Webster,Francis Webster,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_124,Courier and Freeman,"August 02, 1922","August 04, 1922",U.S.,NY,Parishville,The ladies of the Eastern Star,The ladies of Eastern hall's banquet room,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_125,Courier and Freeman,"December 20, 1911","December 15, 1911",U.S.,NY,Potsdam,Professor L.K. Russel,"Residence of Prof. L.K. Russel of the Tech, lawrence ave",Professor L.K. Russel,n/a,n/a,n/a,y,"Not a classical CS but a chemistry one, using conundrums from chemistry to describe menus. This newspaper has two references to CS events",,,,,,,,,,,,
R_126,Courier and Freeman,"December 20, 1911","December 15, 1911",U.S.,NY,Potsdam,n/a,The Forget-me-not Birthday Club,Mrs. Benj. Thompson; Mrs. Benson,n/a,n/a,n/a,n,The sitting arrangment of this supper was through playing with conundrum cards. This is the second reference to a CS on the same newspaper as R_125,,,,,,,,,,,,
R_127,Courier and Freeman,"February 12, 1902","February 14, 1902",U.S.,NY,Raymondville,L.E. Barnett,Residence of L.E. Barnett,L.E. Barnett; Mrs. Babcock,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_128,Courier and Freeman,"November 30, 1892","November 26, 1892",U.S.,NY,Childwold,The church,A.M. Lonkey,A.M. Lonkey,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_129,Dunkirk Evening Observer,"December 6, 1892","December 6, 1892",U.S.,NY,Dunkirk,n/a,Union Hall,n/a,25 cents,n/a,n/a,n,,,,,,,,,,,,,
R_130,Endicott Bulletin,"March 02, 1928","March 01, 1928",U.S.,NY,Endicott,Employes of the administration department of the Endicott Johnson sales building,Ideal Home,Miss Anne Riley,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_131,Facts and Fallacies,"March 23, 1916","March 28, 1916",U.S.,NY,Brushton,n/a,M.E. Church,n/a,n/a,n/a,n/a,y,,,,,,,,,,,,,
R_132,Fayetteville Bulletin,"September 12, 1924","September 26, 1924",U.S.,NY,Fayetteville,Epworth league,M.E. Church parlors,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_133,Geneva Advertiser,"February 19, 1901","February 14, 1901",U.S.,NY,Geneva,n/a,St. Peter's Chapel,Mrs. Lena Watson,n/a,38.00$ USD,n/a,n,"Writes that ""There was a heap of amusement over the menu cards, and all of them were taken away as souvenirs. There were very prettily written by three young ladies of the Union School, and painted by Mrs. Lena Watson""",,,,,,,,,,,,
R_134,Geneva Advertiser,"November 01, 1892","late November, 1892",U.S.,NY,Geneva,The ladies of the M.E. church,n/a,n/a,around 5 cents per dish,n/a,n/a,n,"Writes: ""It is a supper on the European plan""",,,,,,,,,,,,
R_135,Geneva Advertiser-gazette,"January 31, 1905",n/a,U.S.,NY,Geneva,The church of Mrs. Sally Watchorn (of Buffalo),Mrs. Sally Watchorn,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_136,Geneva Daily Times,"February 11, 1901","February 14, 1901",U.S.,NY,Geneva,The Parish Aid Society,St. Peter's Chapel,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_137,Geneva Daily Times,"February 13, 1901","February 14, 1901",U.S.,NY,Geneva,The Parish Aid Society,St. Peter's Chapel,n/a,n/a,n/a,n/a,n,References the same event as R_136,,,,,,,,,,,,
R_138,Gouverneur Free Press,"March 11, 1896","March 9, 1896",U.S.,NY,Richville,The Congregational society of Richville,Residence of Wm. Walker,Rev. Jones; Mrs. Jones,n/a,n/a,n/a,y,Mentions that the menu cards were issued by the Free Press office of the villiage,,,,,,,,,,,,
R_139,Gouverneur Free Press,"March 15, 1893","March 13, 1893",U.S.,NY,Edwards,The ladies of the M.e. society,Town Hall,n/a,n/a,18$ USD,n/a,n,,,,,,,,,,,,,
R_140,Herkimer Democrat,"August 15, 1900",n/a,U.S.,NY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n,"Not an actual event reference but references a column in another magazine called ""The Designer"" for September 1900 that has a ""Conundrum Supper"" column",,,,,,,,,,,,
R_141,Herkimer Democrat,"March 11, 1891","March 4, 1891",U.S.,NY,Frankfort,n/a,Baptist Church,n/a,n/a,45$ USD,n/a,n,,,,,,,,,,,,,
R_142,Herkimer Democrat,"March 16, 1892","March 18, 1892",U.S.,NY,Norway,Excelsior Lodge of Good Templars,Excelsior Lodge of Good Templars' rooms,n/a,10 cents,n/a,n/a,n,"Also called a ""cobweb social""",,,,,,,,,,,,
R_143,Herkimer Democrat,"October 12, 1892","October 14, 1892",U.S.,NY,Newville,The young people of Newville,Parlors of Mrs. J.A. Houpt,Mrs. J.A. Houpt; Rev. Mr. Taber,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_144,Herkimer Democrat,"October 23, 1895","October 26, 1895",U.S.,NY,Fairfield,Epworth league,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_145,Ithaca Daily Journal,"March 25, 1904","March 25, 1904",U.S.,NY,Ithaca,Epworth league of the State Street Methodist Episcopal Church,Church parlors,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_146,Ithaca Daily Journal,"September 28, 1898",n/a,U.S.,NY,Ithaca,n/a,n/a,n/a,n/a,n/a,n/a,y,"Has the quote ""A clever woman has invented the conundrum supper..."". Also contains answers to the eBOF, not just the menu itself. ",,,,,,,,,,,,
R_147,Lewis County Democrat,"February 03, 1904","February 12, 1904",U.S.,NY,Lowville,n/a,Residence of Hiram Schell,Hiram Schell; Rev. A.F. Beebe,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_148,Mexico Independent,"March 27, 1901","March 27, 1901",U.S.,NY,Mexico,The ladies of the Baptist church,Washington Hall,n/a,n/a,n/a,n/a,n,"Also called ""Mapple sugar and Conundrum Supper""",,,,,,,,,,,,
R_149,Mexico Independent,"March 27, 1901","March 27, 1901",U.S.,NY,Mexico,The ladies of the Baptist church,Washington Hall,n/a,"Sugar 10 cents, supper extra",n/a,n/a,n,Two different ads on different pages in the same newspaper (R_148 + R_149),,,,,,,,,,,,
R_150,Mexico Independent,"March 28, 1894","March 28, 1894",U.S.,NY,Mexico,n/a,M.E. church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_151,Mexico Independent,"October 31, 1906",n/a,U.S.,NY,Mexico,n/a,n/a,n/a,n/a,n/a,n/a,n,"Not a specific event reference but interesting quote: ""'I see that the latest social novelty in the East is the conundrum supper.' 'Gracious, do they have to give it up if they don't guess it?'""",,,,,,,,,,,,
R_152,Monroe County Mail,"February 20, 1908","February 14, 1908",U.S.,NY,Webster,The L.L.L. class of the German Evangelical Sunday school,Church parlors,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_153,Monroe County Mail,"October 19, 1893","October 20, 1893",U.S.,NY,Fairport,The Baptist young people's union,First baptist church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_154,Monroe County Mail,"October 29, 1896","October 29, 1896",U.S.,NY,Webster,Y.P.S.C.E. of the baptist church,Residence of Miss Hattie Smith,Miss Hattie Smith,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_155,Nassau County Review,"January 27, 1899","January 18, 1899",U.S.,NY,Seaford,The ladies of the episcopal church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_156,Nassau County Review,"November 20, 1908","December 10, 1908",U.S.,NY,Valley Stream,The Ladies' Aid society of Grace Methodist Episcopal Church,Firemen's Hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_157,Norwood News,"February 26, 1895","February 26, 1895",U.S.,NY,East Brasher,n/a,Residence of R.W. Smith ,R.W. Smith; Rev. Funnel,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_158,Norwood News,"January 27, 1903","January 27, 1903",U.S.,NY,Norwood,Court Prudence ,Foresters' Hall,n/a,n/a,n/a,n/a,y,,,,,,,,,,,,,
R_159,Norwood News,"November 05, 1907","October 25, 1907",U.S.,NY,Skinnerville,n/a,Residence of H. Munson,H. Munson,n/a,n/a,n/a,n,"Interestingly also called a ""pedro party""",,,,,,,,,,,,
R_160,Olean Herald,"February 19, 1902","February 19, 1902",U.S.,NY,Olean,The church aid society of the A.M.E. church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_161,On the St. Lawrence and Clayton Independent,"December 04, 1896","December 05, 1896",U.S.,NY,Depauville,Society fair and sale,Depauville fair,n/a,n/a,n/a,n/a,n,Conundrum supper at a local fair,,,,,,,,,,,,
R_162,On the St. Lawrence and Clayton Independent,"September 20, 1895","September 25, 1895",U.S.,NY,Clayton(?),Epworth league,M.E. church,n/a,15 cents / 10 cents,n/a,n/a,y,Interestingly has a host called William O'Fare (Bill of Fare),,,,,,,,,,,,
R_163,Oswego Palladium,"October 28, 1919","October 24, 1919",U.S.,NY,Minetto,Grange comittee ,Grange hall,n/a,n/a,n/a,n/a,n,mentions dressing in costume for the event,,,,,,,,,,,,
R_164,Penn Yan Express,"April 15, 1896","April 22, 1896",U.S.,NY,Penn Yan,n/a,Hall,F.R. Andrews,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_165,Penn Yan Express,"April 27, 1892","April 29, 1892",U.S.,NY,Penn Yan,Ladies' Helping Hand Society,"Lounsbery's Hall, Potter Center",n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_166,Penn Yan Express,"December 15, 1897","December 17, 1897",U.S.,NY,Bluff Point,n/a,Residence of Lee Baker,Lee Baker,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_167,Penn Yan Express,"March 02, 1892","March 08, 1892",U.S.,NY,Keuka College,Ladies' Aid Society of the Park,Chapel,n/a,n/a,n/a,n/a,n,"""This entertainment is entiery new and novel""",,,,,,,,,,,,
R_168,Penn Yan Express,"March 16, 1892","March 8, 1892",U.S.,NY,Keuka College,Ladies' Aid Society of the Park,Chapel,n/a,n/a,25$ USD,n/a,y,References the same event as R_167,,,,,,,,,,,,
R_169,Penn Yan Express,"November 08, 1893","November 15, 1893",U.S.,NY,Penn Yan,Y.P.S.C.E. of Second Milo,Residence of F.B. Swarthout,F.B. Swarthout,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_170,Penn Yan Express,"November 23, 1898","November 25, 1898",U.S.,NY,Rushville,The Young Ladies of the Congregational Sunday School,Residence of Emory Green,Emory Green,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_171,Plattsburgh Daily Press,"April 26, 1907","April 26, 1907",U.S.,NY,Plattsburgh,The Young Men of the M.E. Church of West Chazy,Residence of R.H. Carroll,R.H. Carroll,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_172,Poughkeepsie Eagle,"February 01, 1898","January 26, 1898",U.S.,NY,Viewmonte,The Members of the Lutheran Church,Church parlors,n/a,n/a,35$ USD,n/a,n,,,,,,,,,,,,,
R_173,Poughkeepsie Eagle,"July 31, 1903","August 8, 1903",U.S.,NY,Milan,The Ladies of the Christian Church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_174,Poughkeepsie Eagle,"March 20, 1900","March 21, 1900",U.S.,NY,Moore's Mills,n/a,Rooms of Floral Home ,Miss V. Gildersleeve,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_175,Poughkeepsie Eagle,"March 21, 1911","March 21, 1911",U.S.,NY,Schultzville,n/a,Church hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_176,Poughkeepsie Eagle,"May 5, 1903","May 1, 1903",U.S.,NY,Pleasant Valley,n/a,M.E. church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_177,Poughkeepsie Eagle,"September 18, 1908","October 8, 1908",U.S.,NY,Verbank,n/a,Church parlors,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_178,Queens County Review,"April 09, 1897","April 14, 1897",U.S.,NY,Freeport,Ladies' Aid Society of the M.E. Church,Church Lecture Room,n/a,25 cents,n/a,n/a,n,,,,,,,,,,,,,
R_179,Queens County Review,"October 08, 1897","October 14, 1897",U.S.,NY,Bellmore,Dorcas Society of the M.E. Church,Parsonage,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_180,Richmond County Advance,"February 23, 1901","February 22, 1901",U.S.,NY,West New Brighton(?),The Ladies of the Park Baptist Church of Port Richmond ,Church Lecture Room,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_181,Richmond County Advance,"June 17, 1905","June 27, 1905",U.S.,NY,West New Brighton(?),The Ladies of Trinity M.E. Church,Church Lecture Room,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_182,Richmond County Advance,"June 24, 1905","June 27, 1905",U.S.,NY,West New Brighton(?),The Ladies' Aid Society of the Trinity M.E. Church,Church Lecture Room,,25 cents,n/a,n/a,n,"References the same event as R_181.  Also contains a verse invitation (transcribed here): An invitation to all we now extend, / Our conundrum supper to attend. / Queer-titled(?) viands we'll serve Tuesday night. / And hope each one will taste all right. / Boiled roasted, and baked will these dainties be, / But named to test your inqunuity. / We'll serve nothing odd -no, not even hash-- / But familiar dainties we'll give for cash. / In each queerly-named dish you'll find a friend, . E'en though to detect it you're at your wit's end. / That you come to this supper--taste of each dish, / Our chuch ladies sincerely, cordially wish.",,,,,,,,,,,,
R_183,Richmond County Advance,"November 05, 1892","November 10, 1892",U.S.,NY,West New Brighton(?),The Emanuel Circle of King's Daughters,"The Reformed Chapel, Mariner's Harbor",n/a,"Admission 10 cents, Supper 25 cents",n/a,n/a,n,,,,,,,,,,,,,
R_184,Rockland County Journal,"February 04, 1900","February 02, 1900",U.S.,NY,Suffers,Epworth League,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_185,Rockland County Journal,"February 20, 1892",n/a,U.S.,NY,Nyack,n/a,n/a,n/a,n/a,n/a,n/a,n,Does not reference an actual event; Exact same quote as R_108,,,,,,,,,,,,
R_186,Rockland County Journal,"January 21, 1900","January 26, 1900",U.S.,NY,Suffers,Epworth League of the M.E. Church,Church chapel,n/a,n/a,n/a,n/a,n,Possibly same event as R_184,,,,,,,,,,,,
R_187,Rockland County Journal,"March 12, 1892","March 15, 1892",U.S.,NY,Nyack,The Ladies of the Dorcas Society,"The lecture room of the Clarkstown Reformed Church, Mont Moor",n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_188,Sag-Harbor Express,"December 21, 1893",n/a,U.S.,NY,Sag-Harbor,n/a,n/a,Rebecca T. Dudley,n/a,n/a,n/a,y,"Does not reference an event, speaks of the CS practice in general",,,,,,,,,,,,
R_189,Sag-Harbor Express,"March 04, 1909",n/a,U.S.,NY,Wainscott,The Ladies of the Sewing Society,n/a,n/a,n/a,n/a,n/a,y,,,,,,,,,,,,,
R_190,Salamanca Inquirer,"February 17, 1939","February 17, 1939",U.S.,NY,Steamburg,The Ladies' Aid Society,n/a,Mrs. John Monroe; Mrs. Minnie Gallagher; Mrs. Lemuel Oakes; Mrs. Campbell Putnam; Mrs. Bernice Hill; Mrs. Mable Stacey; Mrs. Cortez Jaquay; Mrs. Paul Arrance; Mrs. H.V. Lindquist; Mrs. L.E. Darling,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_191,Salamanca Inquirer,"February 24, 1939","February 17, 1939",U.S.,NY,Steamburg,The Ladies' Aid Society,Grange Hall,n/a,n/a,n/a,n/a,n,"References the same event as R_190; Interestingly, this dinner is 'Americanized' American flags were mounted and the waiters and waitressess wore red white and blue",,,,,,,,,,,,
R_192,Sandy Creek News,"January 30, 1913","February 13, 1913",U.S.,NY,Sandy Creek,B.Y.P.U. of the Baptist Church,TBD,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_193,South Side Signal,"December 03, 1892","December 01, 1892",U.S.,NY,Babylon,n/a,Woman's Exchange,n/a,n/a,n/a,n/a,n,17 appetizing items on the menu,,,,,,,,,,,,
R_194,South Side Signal,"November 19, 1892","December 01, 1892",U.S.,NY,Babylon,n/a,Woman's Exchange,n/a,n/a,n/a,n/a,n,References the same event as R_193,,,,,,,,,,,,
R_195,St. Lawrence Republican and Ogdensburgh Weekly Journal,"December 20, 1911","December 15, 1911",U.S.,NY,Simpson,Professor L.K. Russel,"Residence of Prof. L.K. Russel of the Tech, lawrence ave",Professor L.K. Russel,n/a,n/a,n/a,y,"Chemistry eBOF, references the same event as R_125",,,,,,,,,,,,
R_196,St. Lawrence Republican and Ogdensburgh Weekly Journal,"January 25, 1899","January 31, 1899",U.S.,NY,Depeyster,The Young Ladies' Mission Circle,Residence of George Rounds,George Rounds; Miss Vera Fleetham,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_197,St. Lawrence Republican and Ogdensburgh Weekly Journal,"March 06, 1901","March 08, 1901",U.S.,NY,Depeyster,Epworth League,Residence of J. Wesley Walker,J. Wesley Walker,n/a,n/a,n/a,n,"Not the first event to mention a picture gallery at the CS as well, reminds of the Satire tradition with Heath",,,,,,,,,,,,
R_198,St. Lawrence Republican and Ogdensburgh Weekly Journal,"October 26, 1910","October 24, 1910",U.S.,NY,Madrin Grange,The Lecturer,n/a,Worthy Master Fulton; Mrs. B. Hesselgrave; Mrs. H.E. Partch,n/a,n/a,30,n,,,,,,,,,,,,,
R_199,Sullivan County Record,"November 08, 1900","November 18, 1900",U.S.,NY,Kenoza Lake,The Ladies of the M.E. church,Residence of E.E. Miller,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_200,Tarrytown Daily News ,"February 19, 1915","February 17, 1915",U.S.,NY,Tarrytown,The young people of the parish,Hope Chapel,Miss ella Briggs; Miss Olive Walthew; Dr. Daniel Russell; Rev. George M. Whitmore;,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_201,Tarrytown Daily News ,"September 30, 1914","October 1, 1914",U.S.,NY,Tarrytown,Epworth league of Asbury M.E. Church,Church parlors,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_202,The Adirondack Record-Elizabethtown Post,"January 17, 1935","January 16, 1935",U.S.,NY,Upper Jay,The Ladies Guild,M.E. Parsonage,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_203,The Brockport Republic,"February 21, 1907",n/a,U.S.,NY,Morton,Hamlin Grange,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_204,The Brockport Republic,"November 10, 1910","November 11, 1910",U.S.,NY,Adams Basin,I.A. Brice,M.P. Church,I.A. Brice,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_205,The Brockport Republic,"October 22, 1891","October 16, 1891",U.S.,NY,Hamlin,n/a,Residence of F.B. Cary,F.B. Cary,42 cents,7.50$ USD,n/a,n,"(1) An early reference to CS calls them ""Conundrum Course"" and (2) This is an eBOF were not only food is served: ""as likely to get a toothbrush as a cup of coffee""",,,,,,,,,,,,
R_206,The Brookfield Courier,"January 15, 1908","January 18, 1908",U.S.,NY,Brookfield,Ladies' Aid Society of the M.E. Church (south-west division),Residence of Mrs. Dayton Palmiter,Mrs. Dayton Palmiter,n/a,n/a,n/a,n,"Also called a ""stunt social""",,,,,,,,,,,,
R_207,The Brookfield Courier,"March 02, 1898","~February 23, 1898",U.S.,NY,Unadilla Forks,Gentlement of the F.B. Society,F.B. Church,n/a,8 dishes for 10 cents,n/a,n/a,y,,,,,,,,,,,,,
R_208,The Brookfield Courier,"March 29, 1922","April 6, 1922",U.S.,NY,Brookfield,M.E. Social,Residence of Jerome Prescott,n/a,n/a,n/a,n/a,n,"Also called a ""Daffy Social"" - Prozes awarded for those who solve the ""famous Cobweb puzzle""",,,,,,,,,,,,
R_209,The Brookfield Courier,"November 06, 1918","November 07, 1898",U.S.,NY,West Edmston,Ladies' Aid Society,Residence of E.A. Felton,n/a,n/a,n/a,n/a,n,"(1) Interesting because the newspaper is referencing an ""on this day"" piece of news from 20 years earlier. (2) Interesting because it mentions that the poorest dressed person will recieve a prize, and that everyone should ""put on old clothes and thinking caps"" for the CS",,,,,,,,,,,,
R_210,The Brooklyn Daily Eagle,"April 11, 1897","April 14, 1897",U.S.,NY,Freeport,The Aid Society of the Methodist Episcopal ,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_211,The Brooklyn Daily Eagle,"April 30, 1899","April 27, 1899",U.S.,NY,Bedford,The Bedford Progressive Euchre Club,Residence of Mrs. Frank Brown,Mrs. Frank Brown; Mrs. Drake; Mrs. Wills; Mr. and Mrs. J. W. Stopford; Mr. and Mrs. F. A. A. Horton; Mr. and Mrs. A. Drake; Mr. and Mrs. H. Barringer; Mr. and Mrs. W. Wills; Mr. and Mrs. J. Davis; Miss Annie Russell; Mrs. Elford; George Smith; Miss Grace Brown; Miss Rose Wills; Mrs. Chatles Benson; Miss Minnie Wills;,n/a,n/a,n/a,n,Long list of names listed,,,,,,,,,,,,
R_212,The Brooklyn Daily Eagle,"December 07, 1897","December 09, 1897",U.S.,NY,Long Island,The Epworth League of the Moriches M. E. Church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_213,The Brooklyn Daily Eagle,"December 17, 1897","December 15, 1897",U.S.,NY,Long Island,The Epworth League of the Moriches M. E. Church,Residence of Charles H. Thomas,n/a,n/a,n/a,n/a,n,Event referenced in R_212 but was postponed twice,,,,,,,,,,,,
R_214,The Brooklyn Daily Eagle,"January 29, 1899",n/a,U.S.,NY,Brooklyn(?),Regular Encampment of General Henry W. Slocum Post No. 28,n/a,n/a,n/a,n/a,n/a,n,"""shortly"" will hold a supper",,,,,,,,,,,,
R_215,The Brooklyn Daily Eagle,"July 26, 1901","July 24, 1901",U.S.,NY,Bay Ridge/ Fort Hamilton,The Young People's Society of the East End Baptist Church,Residence of George Closter (404 Hendrix Street),George Closter; William A. Closter; Miss Jennie Winan; Sadle Schievely; Henry George Jackson; Mr. Bedell; Mr. Ward; Mr. Broome;,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_216,The Brooklyn Daily Eagle,"May 18, 1893","May 17, 1893",U.S.,NY,Brooklyn(?),The Young People's Association of the Greene avenue Baptist church,The Sunday school room of the Greene avenue Baptist church,Miss Stone; Genevieve King; Master L. H. Schreiner; William Schreiner; Miss Depew; Mr. and Mrs. Werderman; Mr. and Mrs. BEnnett; Mrs. Seaman; Miss Forbell; Miss Lilian Randall; Miss Frailey; Mr. Head,n/a,"""a large sum""",n/a,n,,,,,,,,,,,,,
R_217,The Brooklyn Daily Eagle,"November 28, 1900","~November 28, 1900",U.S.,NY,Brooklyn(?),The Ladies of the Valley Stream M. E. Sunday School,Firemen's Hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_218,The Brooklyn Daily Eagle,"October 12, 1895","October 11, 1895",U.S.,NY,Long Island,The Women of the Congregational Aid Society,Patebogue church,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_219,The Brooklyn Daily Eagle,"September 25, 1897","September 21, 1897",U.S.,NY,Brooklyn(?),n/a,n/a,n/a,n/a,n/a,n/a,n,"""For the benefit of the Christian Endeavor Society""",,,,,,,,,,,,
R_220,The Catskill Recorder,"January 19, 1894","January 23, 1894",U.S.,NY,Catskill,n/a,Residence of Chas. Covell,n/a,n/a,n/a,n/a,n,"""For the benefit of the Canterskill chapel""",,,,,,,,,,,,
R_221,The Catskill Recorder,"January 27, 1893","~January 27, 1893",U.S.,NY,Catskill,The Endeavor Society,n/a,n/a,n/a,45$ USD,n/a,n,,,,,,,,,,,,,
R_222,The Catskill Recorder,"March10,1893","March3,1893",U.S.,NY,Cornwallsville,n/a,Durham,n/a,n/a,n/a,15,n,,,,,,,,,,,,,
R_223,The Catskill Recorder,"March 25, 1892","March 18, 1892",U.S.,NY,Greenville,The Young People of the Greenville Presbyterian Church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_224,The Catskill Recorder,"May 19, 1893","May 18, 1893",U.S.,NY,Catskill,The Young People of the Baptist Church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_225,The Chronicle Mount Vernon,"November 14, 1895","November 25, 1895",U.S.,NY,Mont Vernon,The Male Members of the Epworth League of the North M. E. Church,n/a,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
R_226,The City Island Drift,"April 27, 1895","May 07, 1895",U.S.,NY,City Island,The Ladies of Grace Church,Leviness Hall,n/a,n/a,n/a,n/a,n,,,,,,,,,,,,,
